game_pk,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
778009,2025-05-07,579328,621244,Yusei Kikuchi,José Berríos,108,141,LAA,TOR,2025,2025,0,0,regular,regular,7,7,7,7,3,3,1,5,5,2,4.21,3.98,0,0,0,0,36.3,40.7,37,40,17,18,6,6,19,16,1.54,1.38,33,36,8.17,7.97,,
778013,2025-05-07,801403,695549,Chase Dollander,Jackson Jobe,115,116,COL,DET,2025,2025,0,0,regular,regular,5,5,5,5,0,1,2,3,3,0,6.48,3.38,0,0,0,0,25.0,24.0,28,18,18,9,8,3,10,14,1.52,1.33,25,18,9.0,6.75,,
778012,2025-05-07,608379,686563,Michael Wacha,Jonathan Cannon,118,145,KC,CWS,2025,2025,0,0,regular,regular,7,6,7,6,2,1,3,1,4,4,3.52,4.45,0,0,0,0,38.3,30.3,35,32,15,15,2,4,13,15,1.25,1.55,29,27,6.81,8.01,,
778023,2025-05-07,656550,668881,Grant Holmes,Hunter Greene,144,113,ATL,CIN,2025,2025,0,0,regular,regular,6,7,6,7,2,5,3,4,3,2,4.36,2.53,0,0,0,0,33.0,42.7,22,27,16,12,6,7,19,8,1.24,0.82,33,55,9.0,11.6,,
778019,2025-05-07,608331,656302,Max Fried,Dylan Cease,147,135,NYY,SD,2025,2025,0,0,regular,regular,7,7,7,7,5,1,6,3,0,2,1.01,5.61,0,0,0,0,44.7,33.7,31,39,5,21,2,3,11,15,0.94,1.6,39,39,7.86,10.43,,
778021,2025-05-07,669358,650911,Shane Baz,Cristopher Sánchez,139,143,TB,PHI,2025,2025,0,0,regular,regular,6,6,6,6,4,2,3,5,2,0,3.86,3.45,0,0,0,0,35.0,31.3,29,31,15,12,4,4,12,11,1.17,1.34,37,39,9.51,11.2,,
778018,2025-05-07,656557,641816,Tanner Houck,Tyler Mahle,111,140,BOS,TEX,2025,2025,0,0,regular,regular,7,7,7,7,3,4,0,3,5,3,6.38,1.19,0,0,0,0,36.7,37.7,42,23,26,5,7,0,12,14,1.47,0.98,30,32,7.36,7.65,,
778011,2025-05-07,680573,450203,Simeon Woods Richardson,Charlie Morton,142,110,MIN,BAL,2025,2025,0,0,regular,regular,5,5,5,5,0,0,2,0,2,3,3.65,10.89,0,0,0,0,24.7,20.7,24,31,10,25,4,5,10,15,1.38,2.23,27,21,9.85,9.15,,
778014,2025-05-07,518876,673540,Merrill Kelly,Kodai Senga,109,121,AZ,NYM,2025,2025,0,0,regular,regular,7,6,7,6,3,2,4,3,2,3,4.06,1.38,0,0,0,0,37.7,32.7,28,26,17,5,5,1,12,12,1.06,1.16,27,31,6.45,8.54,,
778010,2025-05-07,680684,693433,Gunnar Hoglund,Bryan Woo,133,136,ATH,SEA,2025,2025,0,0,regular,regular,1,6,1,6,1,5,1,4,0,2,1.5,2.58,0,0,0,0,6.0,38.3,6,25,1,11,1,3,0,7,1.0,0.83,7,38,10.5,8.92,,
778020,2025-05-07,676962,592662,Ben Brown,Robbie Ray,112,137,CHC,SF,2025,2025,0,0,regular,regular,6,7,6,7,2,3,3,5,1,0,4.71,3.05,0,0,0,0,28.7,38.3,34,27,15,13,3,5,11,21,1.57,1.25,30,41,9.42,9.63,,
778016,2025-05-07,543243,656605,Sonny Gray,Mitch Keller,138,134,STL,PIT,2025,2025,0,0,regular,regular,7,7,7,7,3,4,5,2,2,4,4.12,4.38,0,0,0,0,39.3,39.0,37,41,18,19,6,3,10,12,1.19,1.36,39,29,8.92,6.69,,
778015,2025-05-07,682990,664285,Quinn Priester,Framber Valdez,158,117,MIL,HOU,2025,2025,0,0,regular,regular,4,7,4,7,0,4,1,2,3,5,3.79,4.39,0,0,0,0,19.0,41.0,19,37,8,20,1,4,12,15,1.63,1.27,13,37,6.16,8.12,,
778022,2025-05-07,647336,671106,Michael Soroka,Logan Allen,120,114,WSH,CLE,2025,2025,0,0,regular,regular,1,6,1,6,0,0,0,2,1,3,7.2,4.02,0,0,0,0,5.0,31.3,5,33,4,14,1,3,1,15,1.2,1.53,3,22,5.4,6.32,,
778017,2025-05-07,678368,689017,Valente Bellozo,Landon Knack,146,119,MIA,LAD,2025,2025,0,0,regular,regular,3,2,3,2,0,0,0,0,1,0,4.97,9.45,0,0,0,0,12.7,6.7,13,8,7,7,1,1,8,6,1.66,2.1,7,4,4.97,5.4,,
