balldontlie_game_id,id,date,home_starter_id,away_starter_id,home_starter_full_name,away_starter_full_name,home_starter_team_id,away_starter_team_id,home_starter_team_abbreviation,away_starter_team_abbreviation,home_starter_season,away_starter_season,home_starter_postseason,away_starter_postseason,home_starter_season_type,away_starter_season_type,home_starter_pitching_gp,away_starter_pitching_gp,home_starter_pitching_gs,away_starter_pitching_gs,home_starter_pitching_qs,away_starter_pitching_qs,home_starter_pitching_w,away_starter_pitching_w,home_starter_pitching_l,away_starter_pitching_l,home_starter_pitching_era,away_starter_pitching_era,home_starter_pitching_sv,away_starter_pitching_sv,home_starter_pitching_hld,away_starter_pitching_hld,home_starter_pitching_ip,away_starter_pitching_ip,home_starter_pitching_h,away_starter_pitching_h,home_starter_pitching_er,away_starter_pitching_er,home_starter_pitching_hr,away_starter_pitching_hr,home_starter_pitching_bb,away_starter_pitching_bb,home_starter_pitching_whip,away_starter_pitching_whip,home_starter_pitching_k,away_starter_pitching_k,home_starter_pitching_k_per_9,away_starter_pitching_k_per_9,home_starter_pitching_war,away_starter_pitching_war
47742,776527,2025-08-30,592332,682990,Kevin Gausman,Quinn Priester,141,158,TOR,MIL,2025,2025,0,0,regular,regular,26,24,26,19,12,9,8,11,10,2,3.87,3.44,0,0,0,0,153.66666666666669,128.33333333333331,122,117,66,49,20,17,43,45,1.07,1.26,149,104,8.73,7.29,,
47746,776525,2025-08-30,663623,686752,Jake Irvin,Ryan Pepiot,120,139,WSH,TB,2025,2025,0,0,regular,regular,27,27,27,27,9,14,8,9,9,10,5.4,3.82,0,0,0,0,148.33333333333337,153.0,160,126,89,65,29,26,52,52,1.43,1.16,99,149,6.01,8.76,,
47743,776539,2025-08-30,669160,670912,Dustin May,Johan Oviedo,111,134,BOS,PIT,2025,2025,0,0,regular,regular,23,3,22,3,10,0,7,1,10,0,4.79,3.6,0,0,0,0,124.0,10.0,121,7,66,4,20,1,50,5,1.38,1.2,117,14,8.49,12.6,,
47741,776535,2025-08-30,656849,665795,David Peterson,Edward Cabrera,121,146,NYM,MIA,2025,2025,0,0,regular,regular,25,23,25,23,15,7,8,7,5,7,3.18,3.32,0,0,0,0,150.0,124.66666666666666,133,106,53,46,9,12,55,41,1.25,1.18,135,136,8.1,9.82,,
47740,776532,2025-08-30,650911,519242,Cristopher Sánchez,Chris Sale,143,144,PHI,ATL,2025,2025,0,0,regular,regular,26,15,26,15,18,8,11,5,5,4,2.72,2.52,0,0,0,0,162.33333333333334,89.33333333333333,142,78,49,25,10,7,41,26,1.13,1.16,173,114,9.59,11.49,,
47745,776536,2025-08-30,671096,700241,Andrew Abbott,Michael McGreevy,113,138,CIN,STL,2025,2025,0,0,regular,regular,23,11,23,10,10,4,8,5,4,2,2.62,4.43,0,0,0,0,134.0,63.0,113,66,39,31,15,6,35,9,1.1,1.19,118,40,7.93,5.71,,
47747,776531,2025-08-30,681293,543294,Spencer Arrighetti,Kyle Hendricks,117,108,HOU,LAA,2025,2025,0,0,regular,regular,6,25,6,25,1,7,1,6,5,9,6.21,5.04,0,0,0,0,29.0,130.33333333333334,29,135,20,73,5,21,15,37,1.52,1.32,23,87,7.14,6.01,,
47750,776530,2025-08-30,671737,601713,Taj Bradley,Nick Pivetta,142,135,MIN,SD,2025,2025,0,0,regular,regular,22,26,22,26,11,17,6,13,7,4,4.95,2.82,0,0,0,0,116.33333333333333,153.33333333333334,108,103,64,48,14,17,45,41,1.32,0.94,96,161,7.43,9.45,,
47749,776529,2025-08-30,681343,693645,Shane Smith,Cam Schlittler,145,147,CWS,NYY,2025,2025,0,0,regular,regular,23,8,23,8,5,2,4,2,7,2,3.87,2.76,0,0,0,0,114.0,42.33333333333333,92,36,49,13,13,6,48,19,1.23,1.3,105,46,8.29,9.78,,
47748,776528,2025-08-30,663568,656427,Stephen Kolek,Jack Flaherty,118,116,KC,DET,2025,2025,0,0,regular,regular,14,26,14,26,4,10,4,7,5,13,4.18,4.87,0,0,0,0,79.66666666666667,136.66666666666666,78,127,37,74,8,21,26,50,1.31,1.3,56,165,6.33,10.87,,
