Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2011-08-22,PHI,NYM,10,0,-225,210,-240,220,7.5,7.5,7.5,7.5,-110,-110,-120,110
2011-08-22,CLE,SEA,2,3,-155,145,-160,150,8.5,8.5,8.0,8.0,100,-120,-105,-105
2011-08-22,WAS,ARI,4,1,110,-120,-113,103,8.5,8.5,9.0,9.0,-110,-110,102,-112
2011-08-22,PIT,MIL,1,8,100,-110,102,-112,8.5,8.5,8.5,8.5,-120,100,105,-115
2011-08-22,TB,DET,2,5,135,-145,113,-123,7.0,7.0,7.0,7.0,-110,-110,-103,-107
2011-08-22,CHC,ATL,0,3,120,-130,100,-110,7.5,7.5,8.0,8.0,-110,-110,-105,-105
2011-08-22,TEX,BOS,4,0,-140,130,-146,136,9.0,9.0,8.5,8.5,-110,-110,-122,112
2011-08-22,MIN,BAL,1,4,-130,120,-135,125,8.5,8.5,8.5,8.5,-110,-110,-110,100
2011-08-22,SLC,LAD,1,2,-185,175,-182,172,7.0,7.0,7.0,7.0,-110,-110,-120,110
2011-08-22,COL,HOU,9,5,-200,185,-220,200,9.0,9.0,9.0,9.0,-110,-110,-108,-102
2011-08-22,PIT,MIL,1,8,165,-175,180,-190,8.0,8.0,8.0,8.0,-110,-110,110,-120
