Date,home team,away team,home score,away score,home ml open,away ml open,home ml close,away ml close,over open,under open,over close,under close,over open odds,under open odds,over close odds,under close odds
2011-08-19,CHC,SLC,5,4,140,-150,139,-149,8.5,8.5,9.0,9.0,-120,100,-110,100
2011-08-19,PIT,CIN,8,11,127,-137,122,-132,8.5,8.5,8.5,8.5,-110,-110,110,-120
2011-08-19,DET,CLE,4,1,-135,125,-138,128,8.5,8.5,9.0,9.0,-120,100,-101,-109
2011-08-19,WAS,PHI,8,4,143,-153,126,-136,8.5,8.5,8.5,8.5,-110,-110,-110,100
2011-08-19,NYM,MIL,1,6,137,-147,118,-128,8.0,8.0,8.0,8.0,-105,-115,105,-115
2011-08-19,TB,SEA,3,2,110,-120,-105,-105,7.5,7.5,7.0,7.0,-110,-110,-115,105
2011-08-19,ATL,ARI,4,2,-112,102,-119,109,7.5,7.5,8.0,8.0,-110,-110,-105,-105
2011-08-19,HOU,SF,6,0,123,-133,127,-137,7.0,7.0,7.0,7.0,-110,-110,-110,100
2011-08-19,KC,BOS,1,7,123,-133,112,-122,10.0,10.0,9.5,9.5,-105,-115,100,-110
2011-08-19,CHW,TEX,4,7,104,-114,102,-112,8.5,8.5,8.5,8.5,-110,-110,-105,-105
2011-08-19,MIN,NYY,1,8,160,-170,148,-158,9.0,9.0,9.0,9.0,-120,100,-105,-105
2011-08-19,COL,LAD,2,8,-105,-105,-115,105,9.0,9.0,9.5,9.5,-120,100,-107,-103
2011-08-19,SD,FLO,4,3,-127,117,-128,118,7.0,7.0,7.0,7.0,-120,100,-110,100
2011-08-19,OAK,TOR,2,0,-107,-103,-109,-101,7.5,7.5,8.0,8.0,-120,100,-105,-115
2011-08-19,LAA,BAL,8,3,-230,215,-245,225,7.5,7.5,7.5,7.5,-110,-110,-107,-103
