game_pk,home_bp_whip_rolling_5,away_bp_whip_rolling_5,home_bp_whip_rolling_10,away_bp_whip_rolling_10
661042,,,,
661577,,,,
662021,,,,
662571,,,,
662766,,,,
663178,,,,
663418,,,,
661041,1.384626035584889,0.857155102215746,1.384626035584889,0.857155102215746
661131,,,,
661333,,,,
661576,0.6000060000600006,1.0,0.6000060000600006,1.0
661750,,,,
661782,,,,
661918,,,,
662124,,,,
662559,1.8,1.25,1.8,1.25
662888,,,,
662933,,,,
663417,1.0,3.0,1.0,3.0
661040,1.9285783163511296,1.227278305810481,1.9285783163511296,1.227278305810481
661130,0.6666666666666666,3.0,0.6666666666666666,3.0
661332,1.0,1.4,1.0,1.4
661575,1.1428571428571428,1.034479191451064,1.1428571428571428,1.034479191451064
661756,1.2,0.5,1.2,0.5
661803,0.92307337279472,2.25,0.92307337279472,2.25
661917,0.8571367347376091,1.0,0.8571367347376091,1.0
662020,1.0,1.6,1.0,1.6
662123,1.5,1.0714209184220114,1.5,1.0714209184220114
662588,1.8,1.0,1.8,1.0
662765,1.5000150001500014,1.2000120001200012,1.5000150001500014,1.2000120001200012
662864,1.0,1.9285576531596205,1.0,1.9285576531596205
662931,0.9375058594116212,1.0,0.9375058594116212,1.0
663205,1.636348760465814,1.6666666666666667,1.636348760465814,1.6666666666666667
663404,1.2727272727272727,2.0,1.2727272727272727,2.0
661039,1.3846153846153846,1.3548430801389681,1.3846153846153846,1.3548430801389681
661129,1.2,2.117634602149399,1.2,2.117634602149399
661316,0.8461538461538461,0.9545497934081519,0.8461538461538461,0.9545497934081519
661573,1.0,1.0499947500262499,1.0,1.0499947500262499
661738,1.3928621173647047,0.5,1.3928621173647047,0.5
661802,0.7894716066536667,1.8571428571428572,0.7894716066536667,1.8571428571428572
661916,0.9310312723059577,0.7142857142857143,0.9310312723059577,0.7142857142857143
662019,0.9600038400153599,1.5555555555555556,0.9600038400153599,1.5555555555555556
662122,1.125,0.9230733727947201,1.125,0.9230733727947201
662570,1.6363599173638244,0.8,1.6363599173638244,0.8
662755,1.0909140496093164,1.3500135001350013,1.0909140496093164,1.3500135001350013
