game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
319734,2012-09-02,144,143,ATL,PHI,Atlanta Braves,Philadelphia Phillies,Braves,Phillies,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2012,2012,133,133,74,64,59,69,0.556,0.481,599,553,523,574,76,-21,4.5,4.16,3.93,4.32,0.57,-0.16,0.0,0.0,0.0,0.0,0.574,0.5,0.566,0.415,36,32,31,37,38,32,28,32,L3,W3,0,0,0.0,0.0,0.0,0.0,74-59,64-69,36-31,32-37,38-28,32-32,30-23,22-31,66-49,59-59,4-6,7-3,True
319739,2012-09-02,141,139,TOR,TB,Toronto Blue Jays,Tampa Bay Rays,Blue Jays,Rays,American League,American League,AL,AL,AL East,AL East,AL East,AL East,2012,2012,132,133,60,72,72,61,0.455,0.541,598,554,630,482,-32,72,4.53,4.17,4.77,3.62,-0.24,0.54,0.0,0.0,0.0,0.0,0.447,0.548,0.417,0.56,33,35,31,30,27,37,41,31,L1,W1,0,0,0.0,0.0,0.0,0.0,60-72,72-61,33-31,35-30,27-41,37-31,20-28,28-22,51-63,63-52,4-6,4-6,True
319738,2012-09-02,120,138,WSH,STL,Washington Nationals,St. Louis Cardinals,Nationals,Cardinals,National League,National League,NL,NL,NL East,NL Central,NL East,NL Central,2012,2012,132,133,80,72,52,61,0.606,0.541,586,643,474,546,112,97,4.44,4.83,3.59,4.11,0.85,0.73,0.0,0.0,0.0,0.0,0.614,0.542,0.596,0.565,38,40,25,26,42,32,27,35,L1,W1,0,0,0.0,0.0,0.0,0.0,80-52,72-61,38-25,40-26,42-27,32-35,34-23,35-27,70-44,64-54,4-6,5-5,False
319737,2012-09-02,112,137,CHC,SF,Chicago Cubs,San Francisco Giants,Cubs,Giants,National League,National League,NL,NL,NL Central,NL West,NL Central,NL West,2012,2012,132,133,51,75,81,58,0.386,0.564,496,574,608,534,-112,40,3.76,4.32,4.61,4.02,-0.85,0.3,0.0,0.0,0.0,0.0,0.393,0.576,0.355,0.614,34,37,33,28,17,38,48,30,L1,W1,0,0,0.0,0.0,0.0,0.0,51-81,75-58,34-33,37-28,17-48,38-30,22-40,27-17,46-71,68-50,4-6,7-3,False
319736,2012-09-02,115,135,COL,SD,Colorado Rockies,San Diego Padres,Rockies,Padres,National League,National League,NL,NL,NL West,NL West,NL West,NL West,2012,2012,131,134,54,62,77,72,0.412,0.463,628,514,719,568,-91,-54,4.79,3.84,5.49,4.24,-0.69,-0.4,0.0,0.0,0.0,0.0,0.448,0.454,0.431,0.48,29,33,41,33,25,29,36,39,W1,L1,0,0,0.0,0.0,0.0,0.0,54-77,62-72,29-41,33-33,25-36,29-39,22-29,24-26,52-64,54-65,6-4,8-2,True
319735,2012-09-02,158,134,MIL,PIT,Milwaukee Brewers,Pittsburgh Pirates,Brewers,Pirates,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2012,2012,132,132,64,70,68,62,0.485,0.53,621,546,602,529,19,17,4.7,4.14,4.56,4.01,0.14,0.13,0.0,0.0,0.0,0.0,0.496,0.526,0.561,0.569,40,40,28,26,24,30,40,36,W2,L2,0,0,0.0,0.0,0.0,0.0,64-68,70-62,40-28,40-26,24-40,30-36,37-29,33-25,58-59,60-54,8-2,3-7,True
319733,2012-09-02,146,121,MIA,NYM,Miami Marlins,New York Mets,Marlins,Mets,National League,National League,NL,NL,NL East,NL East,NL East,NL East,2012,2012,133,133,59,63,74,70,0.444,0.474,501,556,597,587,-96,-31,3.77,4.18,4.49,4.41,-0.72,-0.23,0.0,0.0,0.0,0.0,0.47,0.466,0.42,0.491,30,30,34,35,29,33,40,35,L3,W2,0,0,0.0,0.0,0.0,0.0,59-74,63-70,30-34,30-35,29-40,33-35,21-29,26-27,54-61,55-63,3-7,6-4,True
319740,2012-09-02,114,140,CLE,TEX,Cleveland Guardians,Texas Rangers,Guardians,Rangers,American League,American League,AL,AL,AL Central,AL West,AL Central,AL West,2012,2012,133,132,56,78,77,54,0.421,0.591,539,678,692,566,-153,112,4.05,5.14,5.2,4.29,-1.15,0.85,0.0,0.0,0.0,0.0,0.417,0.561,0.426,0.5,32,43,36,25,24,35,41,29,W1,L1,0,0,0.0,0.0,0.0,0.0,56-77,78-54,32-36,43-25,24-41,35-29,20-27,19-19,48-67,64-50,2-8,7-3,False
319731,2012-09-02,117,113,HOU,CIN,Houston Astros,Cincinnati Reds,Astros,Reds,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2012,2012,133,134,41,81,92,53,0.308,0.604,483,587,682,503,-199,84,3.63,4.38,5.13,3.75,-1.5,0.63,0.0,0.0,0.0,0.0,0.297,0.622,0.333,0.6,28,42,39,24,13,39,53,29,W1,L1,0,0,0.0,0.0,0.0,0.0,41-92,81-53,28-39,42-24,13-53,39-29,18-36,36-24,35-83,74-45,2-8,6-4,True
319730,2012-09-02,116,145,DET,CWS,Detroit Tigers,Chicago White Sox,Tigers,White Sox,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2012,2012,132,132,71,72,61,60,0.538,0.545,601,619,565,553,36,66,4.55,4.69,4.28,4.19,0.27,0.5,0.0,0.0,0.0,0.0,0.526,0.553,0.583,0.51,41,38,26,26,30,34,35,34,W2,L3,0,0,0.0,0.0,0.0,0.0,71-61,72-60,41-26,38-26,30-35,34-34,28-20,25-24,60-54,63-51,6-4,5-5,True
