game_pk,date,home_team_id,away_team_id,home_team_abbreviation,away_team_abbreviation,home_team_display_name,away_team_display_name,home_team_name,away_team_name,home_league_name,away_league_name,home_league_short_name,away_league_short_name,home_division_name,away_division_name,home_division_short_name,away_division_short_name,home_season,away_season,home_games_played,away_games_played,home_wins,away_wins,home_losses,away_losses,home_win_percent,away_win_percent,home_points_for,away_points_for,home_points_against,away_points_against,home_point_differential,away_point_differential,home_avg_points_for,away_avg_points_for,home_avg_points_against,away_avg_points_against,home_differential,away_differential,home_games_behind,away_games_behind,home_division_games_behind,away_division_games_behind,home_league_win_percent,away_league_win_percent,home_division_win_percent,away_division_win_percent,home_home_wins,away_home_wins,home_home_losses,away_home_losses,home_road_wins,away_road_wins,home_road_losses,away_road_losses,home_streak,away_streak,home_playoff_seed,away_playoff_seed,home_playoff_percent,away_playoff_percent,home_wildcard_percent,away_wildcard_percent,home_total,away_total,home_home,away_home,home_road,away_road,home_intra_division,away_intra_division,home_intra_league,away_intra_league,home_last_ten_games,away_last_ten_games,is_divisional_game
633404,2021-07-02,120,119,WSH,LAD,Washington Nationals,Los Angeles Dodgers,Nationals,Dodgers,National League,National League,NL,NL,NL East,NL West,NL East,NL West,2021,2021,79,81,40,50,39,31,0.506,0.617,321,408,323,298,-2,110,4.06,5.04,4.09,3.68,-0.03,1.36,0.0,0.0,0.0,0.0,0.478,0.621,0.515,0.667,24,28,19,13,16,22,20,18,L1,W6,0,0,0.0,0.0,0.0,0.0,40-39,50-31,24-19,28-13,16-20,22-18,17-16,22-11,32-35,41-25,7-3,6-4,False
633402,2021-07-02,108,110,LAA,BAL,Los Angeles Angels,Baltimore Orioles,Angels,Orioles,American League,American League,AL,AL,AL West,AL East,AL West,AL East,2021,2021,80,81,39,27,41,54,0.487,0.333,393,333,426,442,-33,-109,4.91,4.11,5.33,5.46,-0.41,-1.35,0.0,0.0,0.0,0.0,0.471,0.347,0.412,0.303,21,12,19,26,18,15,22,28,W1,W3,0,0,0.0,0.0,0.0,0.0,39-41,27-54,21-19,12-26,18-22,15-28,14-20,10-23,33-37,25-47,4-6,4-6,False
633453,2021-07-03,108,110,LAA,BAL,Los Angeles Angels,Baltimore Orioles,Angels,Orioles,American League,American League,AL,AL,AL West,AL East,AL West,AL East,2021,2021,81,82,40,27,41,55,0.494,0.329,401,340,433,450,-32,-110,4.95,4.15,5.35,5.49,-0.4,-1.34,0.0,0.0,0.0,0.0,0.479,0.342,0.412,0.303,22,12,19,26,18,15,22,29,W2,L1,0,0,0.0,0.0,0.0,0.0,40-41,27-55,22-19,12-26,18-22,15-29,14-20,10-23,34-37,25-48,4-6,4-6,False
633442,2021-07-03,116,145,DET,CWS,Detroit Tigers,Chicago White Sox,Tigers,White Sox,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2021,2021,82,81,36,49,46,32,0.439,0.605,326,404,401,303,-75,101,3.98,4.99,4.89,3.74,-0.91,1.25,0.0,0.0,0.0,0.0,0.431,0.608,0.381,0.7,19,31,22,14,17,18,24,18,L1,W5,0,0,0.0,0.0,0.0,0.0,36-46,49-32,19-22,31-14,17-24,18-18,16-26,28-12,31-41,45-29,6-4,6-4,True
633441,2021-07-03,113,112,CIN,CHC,Cincinnati Reds,Chicago Cubs,Reds,Cubs,National League,National League,NL,NL,NL Central,NL Central,NL Central,NL Central,2021,2021,81,82,41,42,40,40,0.506,0.512,400,343,403,346,-3,-3,4.94,4.18,4.98,4.22,-0.04,-0.04,0.0,0.0,0.0,0.0,0.5,0.52,0.625,0.514,21,26,20,13,20,16,20,27,W2,L7,0,0,0.0,0.0,0.0,0.0,41-40,42-40,21-20,26-13,20-20,16-27,20-12,19-18,36-36,39-36,6-4,2-8,True
633440,2021-07-03,147,121,NYY,NYM,New York Yankees,New York Mets,Yankees,Mets,American League,National League,AL,NL,AL East,NL East,AL East,NL East,2021,2021,80,77,41,41,39,36,0.512,0.532,329,275,332,278,-3,-3,4.11,3.57,4.15,3.61,-0.04,-0.04,0.0,0.0,0.0,0.0,0.521,0.559,0.415,0.514,22,24,20,11,19,17,19,25,L1,L2,0,0,0.0,0.0,0.0,0.0,41-39,41-36,22-20,24-11,19-19,17-25,17-24,19-18,38-35,38-30,4-6,4-6,False
633439,2021-07-03,118,142,KC,MIN,Kansas City Royals,Minnesota Twins,Royals,Twins,American League,American League,AL,AL,AL Central,AL Central,AL Central,AL Central,2021,2021,81,80,34,33,47,47,0.42,0.412,334,372,414,437,-80,-65,4.12,4.65,5.11,5.46,-0.99,-0.81,0.0,0.0,0.0,0.0,0.387,0.403,0.41,0.412,19,17,19,23,15,16,28,24,W1,L4,0,0,0.0,0.0,0.0,0.0,34-47,33-47,19-19,17-23,15-28,16-24,16-23,14-20,29-46,29-43,1-9,4-6,True
633430,2021-07-03,120,119,WSH,LAD,Washington Nationals,Los Angeles Dodgers,Nationals,Dodgers,National League,National League,NL,NL,NL East,NL West,NL East,NL West,2021,2021,80,82,40,51,40,31,0.5,0.622,326,418,333,303,-7,115,4.08,5.1,4.16,3.7,-0.09,1.4,0.0,0.0,0.0,0.0,0.471,0.627,0.515,0.667,24,28,20,13,16,23,20,18,L2,W7,0,0,0.0,0.0,0.0,0.0,40-40,51-31,24-20,28-13,16-20,23-18,17-16,22-11,32-36,42-25,6-4,7-3,False
633429,2021-07-03,114,117,CLE,HOU,Cleveland Guardians,Houston Astros,Guardians,Astros,American League,American League,AL,AL,AL Central,AL West,AL Central,AL West,2021,2021,79,83,42,50,37,33,0.532,0.602,342,467,356,332,-14,135,4.33,5.63,4.51,4.0,-0.18,1.63,0.0,0.0,0.0,0.0,0.538,0.632,0.59,0.657,21,26,17,16,21,24,20,17,L4,W2,0,0,0.0,0.0,0.0,0.0,42-37,50-33,21-17,26-16,21-20,24-17,23-16,23-12,35-30,48-28,3-7,5-5,False
633424,2021-07-03,115,138,COL,STL,Colorado Rockies,St. Louis Cardinals,Rockies,Cardinals,National League,National League,NL,NL,NL West,NL Central,NL West,NL Central,2021,2021,83,83,35,41,48,42,0.422,0.494,360,330,416,369,-56,-39,4.34,3.98,5.01,4.45,-0.67,-0.47,0.0,0.0,0.0,0.0,0.384,0.513,0.4,0.452,29,23,17,18,6,18,31,24,L1,W1,0,0,0.0,0.0,0.0,0.0,35-48,41-42,29-17,23-18,6-31,18-24,14-21,14-17,28-45,39-37,5-5,5-5,False
