game_pk,date,home_team_id,away_team_id,home_team_name,away_team_name,home_games,away_games,home_total_ip,away_total_ip,home_total_hits,away_total_hits,home_total_hits_per_ip,away_total_hits_per_ip,home_total_earned_runs,away_total_earned_runs,home_total_earned_runs_per_ip,away_total_earned_runs_per_ip,home_total_walks,away_total_walks,home_total_walks_per_ip,away_total_walks_per_ip,home_total_strikeouts,away_total_strikeouts,home_total_strikeouts_per_ip,away_total_strikeouts_per_ip,home_total_homeruns,away_total_homeruns,home_total_homeruns_per_ip,away_total_homeruns_per_ip,home_era,away_era,home_whip,away_whip,home_k_per_9,away_k_per_9,home_k_bb_ratio,away_k_bb_ratio,home_hr_per_9,away_hr_per_9,home_bb_per_9,away_bb_per_9
318901,2012-06-30,144,120,Atlanta Braves,Washington Nationals,74,74,234.3,231.3,237,186,1.01,0.8,97,77,0.41,0.33,80,99,0.34,0.43,226,210,0.96,0.91,28,18,0.12,0.08,3.73,3.0,1.35,1.23,8.68,8.17,2.83,2.12,1.08,0.7,3.07,3.85
318900,2012-06-30,115,135,Colorado Rockies,San Diego Padres,76,77,284.7,232.3,296,198,1.04,0.85,126,95,0.44,0.41,115,115,0.4,0.49,281,247,0.99,1.06,30,27,0.11,0.12,3.98,3.68,1.44,1.35,8.88,9.57,2.44,2.15,0.95,1.05,3.64,4.45
318899,2012-06-30,138,134,St. Louis Cardinals,Pittsburgh Pirates,75,75,218.0,235.0,218,195,1.0,0.83,113,71,0.52,0.3,90,102,0.41,0.43,182,221,0.83,0.94,29,25,0.13,0.11,4.67,2.72,1.41,1.26,7.51,8.46,2.02,2.17,1.2,0.96,3.72,3.91
318898,2012-06-30,146,143,Miami Marlins,Philadelphia Phillies,74,76,214.3,202.0,215,200,1.0,0.99,112,101,0.52,0.5,91,79,0.42,0.39,176,202,0.82,1.0,18,26,0.08,0.13,4.7,4.5,1.43,1.38,7.39,9.0,1.93,2.56,0.76,1.16,3.82,3.52
318897,2012-06-30,140,133,Texas Rangers,Oakland Athletics,74,76,224.7,230.0,189,170,0.84,0.74,78,74,0.35,0.32,50,112,0.22,0.49,201,197,0.89,0.86,23,16,0.1,0.07,3.12,2.9,1.06,1.23,8.05,7.71,4.02,1.76,0.92,0.63,2.0,4.38
318896,2012-06-30,119,121,Los Angeles Dodgers,New York Mets,76,73,210.7,212.3,168,223,0.8,1.05,73,117,0.35,0.55,97,90,0.46,0.42,206,190,0.98,0.89,17,23,0.08,0.11,3.12,4.96,1.26,1.47,8.8,8.05,2.12,2.11,0.73,0.97,4.14,3.81
318895,2012-06-30,142,118,Minnesota Twins,Kansas City Royals,74,73,268.3,283.3,243,260,0.91,0.92,109,100,0.41,0.35,82,112,0.31,0.4,191,262,0.71,0.92,27,21,0.1,0.07,3.66,3.18,1.21,1.31,6.41,8.32,2.33,2.34,0.91,0.67,2.75,3.56
318894,2012-06-30,112,117,Chicago Cubs,Houston Astros,76,75,226.0,222.7,223,238,0.99,1.07,115,111,0.51,0.5,125,76,0.55,0.34,169,192,0.75,0.86,23,32,0.1,0.14,4.58,4.49,1.54,1.41,6.73,7.76,1.35,2.53,0.92,1.29,4.98,3.07
318893,2012-06-30,139,116,Tampa Bay Rays,Detroit Tigers,75,73,217.0,232.0,181,223,0.83,0.96,85,95,0.39,0.41,71,87,0.33,0.38,209,228,0.96,0.98,24,22,0.11,0.09,3.53,3.69,1.16,1.34,8.67,8.84,2.94,2.62,1.0,0.85,2.94,3.38
318892,2012-06-30,110,114,Baltimore Orioles,Cleveland Indians,75,74,252.7,229.3,209,205,0.83,0.89,69,116,0.27,0.51,75,88,0.3,0.38,202,218,0.8,0.95,22,27,0.09,0.12,2.46,4.55,1.12,1.28,7.2,8.56,2.69,2.48,0.78,1.06,2.67,3.45
318891,2012-06-30,137,113,San Francisco Giants,Cincinnati Reds,74,71,191.0,208.7,191,159,1.0,0.76,73,62,0.38,0.3,73,86,0.38,0.41,162,237,0.85,1.14,14,19,0.07,0.09,3.44,2.67,1.38,1.17,7.63,10.22,2.22,2.76,0.66,0.82,3.44,3.71
318890,2012-06-30,147,145,New York Yankees,Chicago White Sox,74,72,209.7,212.0,186,199,0.89,0.94,73,91,0.35,0.43,77,73,0.37,0.34,209,195,1.0,0.92,18,28,0.09,0.13,3.13,3.86,1.25,1.28,8.97,8.28,2.71,2.67,0.77,1.19,3.31,3.1
318889,2012-06-30,136,111,Seattle Mariners,Boston Red Sox,77,73,225.7,232.0,188,203,0.83,0.88,82,84,0.36,0.36,85,67,0.38,0.29,225,194,1.0,0.84,26,23,0.12,0.1,3.27,3.26,1.21,1.16,8.97,7.53,2.65,2.9,1.04,0.89,3.39,2.6
318888,2012-06-30,158,109,Milwaukee Brewers,Arizona Diamondbacks,76,73,235.0,211.0,257,198,1.09,0.94,118,83,0.5,0.39,109,70,0.46,0.33,233,197,0.99,0.93,19,20,0.08,0.09,4.52,3.54,1.56,1.27,8.92,8.4,2.14,2.81,0.73,0.85,4.17,2.99
318887,2012-06-30,141,108,Toronto Blue Jays,Los Angeles Angels,73,72,245.7,199.3,229,178,0.93,0.89,109,70,0.44,0.35,105,84,0.43,0.42,243,170,0.99,0.85,35,16,0.14,0.08,3.99,3.16,1.36,1.31,8.9,7.68,2.31,2.02,1.28,0.72,3.85,3.79
318039,2012-06-30,142,118,Minnesota Twins,Kansas City Royals,75,74,271.3,285.3,244,261,0.9,0.91,109,100,0.4,0.35,82,115,0.3,0.4,192,264,0.71,0.93,27,21,0.1,0.07,3.62,3.15,1.2,1.32,6.37,8.33,2.34,2.3,0.9,0.66,2.72,3.63
