game_pk,date,home_starter_id,away_starter_id,home_starter_name,away_starter_name,home_starter_team,away_starter_team,home_starter_ip,away_starter_ip,home_starter_hits,away_starter_hits,home_starter_runs,away_starter_runs,home_starter_earned_runs,away_starter_earned_runs,home_starter_walks,away_starter_walks,home_starter_strikeouts,away_starter_strikeouts,home_starter_homeruns,away_starter_homeruns,home_starter_era,away_starter_era,home_starter_whip,away_starter_whip,home_starter_pitches,away_starter_pitches,home_starter_strikes,away_starter_strikes,home_starter_hit_batters,away_starter_hit_batters,home_starter_wild_pitches,away_starter_wild_pitches,home_starter_balks,away_starter_balks,home_starter_batters_faced,away_starter_batters_faced,home_starter_ground_outs,away_starter_ground_outs,home_starter_air_outs,away_starter_air_outs,home_starter_wins,away_starter_wins,home_starter_losses,away_starter_losses,home_starter_saves,away_starter_saves,home_starter_blown_saves,away_starter_blown_saves,home_starter_holds,away_starter_holds
776653,2025-08-21,570632,678022,José Ureña,Jack Perkins,Minnesota Twins,Athletics,5.0,5.0,7,3,6,2,6,2,2,4,3,2,0,0,0,0,0,0,96,90,60,49,2,1,1,0,0,0,27,22,5,2,8,10,0,1,1,0,0,0,0,0,0,0
776657,2025-08-21,547179,571578,Michael Lorenzen,Patrick Corbin,Kansas City Royals,Texas Rangers,4.3333,3.6667,9,7,4,4,3,4,1,2,6,2,0,1,0,0,0,0,89,77,58,45,1,0,0,0,0,0,25,19,5,2,3,6,0,0,0,0,0,0,0,0,0,0
776651,2025-08-21,684007,682990,Shota Imanaga,Quinn Priester,Chicago Cubs,Milwaukee Brewers,7.0,4.3333,3,3,2,1,2,1,2,5,5,4,1,0,0,0,0,0,98,95,63,51,0,1,0,0,0,0,25,21,7,6,8,2,0,0,1,0,0,0,0,0,0,0
776644,2025-08-21,801403,477132,Chase Dollander,Clayton Kershaw,Colorado Rockies,Los Angeles Dodgers,3.6667,5.6667,9,6,7,3,7,3,2,1,5,3,1,0,0,0,0,0,97,85,60,50,1,0,0,0,0,1,23,23,4,10,2,3,0,1,1,0,0,0,0,0,0,0
776650,2025-08-21,669022,640455,MacKenzie Gore,Sean Manaea,Washington Nationals,New York Mets,4.3333,4.6667,6,3,3,4,3,4,4,1,5,8,2,0,0,0,0,0,94,91,57,58,0,2,0,1,0,0,22,22,1,3,6,5,0,0,0,1,0,0,0,0,0,0
776642,2025-08-21,656302,434378,Dylan Cease,Justin Verlander,San Diego Padres,San Francisco Giants,5.0,4.3333,6,6,4,7,4,6,2,1,7,4,2,0,0,0,0,0,95,91,65,63,0,0,0,0,0,0,22,21,4,6,3,4,1,0,0,1,0,0,0,0,0,0
776655,2025-08-21,687064,669920,Brandon Young,Jason Alexander,Baltimore Orioles,Houston Astros,5.3333,5.3333,9,8,7,2,7,2,2,1,1,3,2,1,0,0,0,0,84,91,56,60,0,0,0,0,0,0,27,25,9,6,6,7,0,1,1,0,0,0,0,0,0,0
776654,2025-08-21,661563,608337,Luis Gil,Lucas Giolito,New York Yankees,Boston Red Sox,5.0,4.6667,4,5,2,3,1,3,5,3,3,4,0,1,0,0,0,0,93,97,52,60,0,0,0,0,0,0,24,22,4,4,8,6,0,0,0,0,0,0,0,0,0,0
776631,2025-08-21,671212,543243,Joe Boyle,Sonny Gray,Tampa Bay Rays,St. Louis Cardinals,4.0,5.0,9,6,6,3,5,3,3,1,5,6,0,1,0,0,0,0,91,92,56,61,1,0,1,1,0,0,25,22,4,3,3,6,0,1,1,0,0,0,0,0,0,0
