Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,23,30.3,5.04,26,24,.520,4.64,50,50,50,0,4,0,17,447.2,426,252,231,68,169,8,434,20,6,10,1925,91,4.38,1.329,8.6,1.4,3.4,8.7,2.57,338
Athletics,24,29.0,5.62,22,28,.440,5.23,50,50,50,0,3,0,13,445.1,466,281,259,68,197,8,406,24,3,9,1997,81,4.73,1.489,9.4,1.4,4.0,8.2,2.06,386
Atlanta Braves,22,29.6,3.94,24,24,.500,3.78,48,48,48,0,2,0,10,423.2,367,189,178,55,158,10,404,18,3,17,1765,111,4.10,1.239,7.8,1.2,3.4,8.6,2.56,313
Baltimore Orioles,25,31.3,5.58,16,32,.333,5.45,48,48,48,0,1,0,7,418.0,448,268,253,76,169,3,365,16,2,20,1842,71,5.02,1.476,9.6,1.6,3.6,7.9,2.16,323
Boston Red Sox,22,29.8,4.55,25,26,.490,4.03,51,51,51,0,4,0,12,457.2,450,232,205,49,161,6,421,23,2,12,1960,104,3.84,1.335,8.8,1.0,3.2,8.3,2.61,366
Chicago Cubs,23,30.7,4.20,30,20,.600,3.90,50,50,50,0,5,0,11,447.2,421,210,194,60,151,5,394,17,0,9,1888,102,4.18,1.278,8.5,1.2,3.0,7.9,2.61,342
Chicago White Sox,21,27.6,4.42,15,35,.300,4.19,50,50,50,0,4,0,4,429.1,410,221,200,54,189,7,355,32,2,14,1881,97,4.60,1.395,8.6,1.1,4.0,7.4,1.88,375
Cincinnati Reds,20,29.4,3.82,25,26,.490,3.48,51,51,51,0,3,0,14,452.0,374,195,175,55,154,4,418,20,1,17,1876,129,3.96,1.168,7.4,1.1,3.1,8.3,2.71,331
Cleveland Guardians,21,27.6,4.35,26,22,.542,4.12,48,48,48,0,6,0,14,421.2,418,209,193,53,176,3,407,13,0,18,1822,98,4.13,1.409,8.9,1.1,3.8,8.7,2.31,351
Colorado Rockies,23,28.2,6.55,8,41,.163,5.92,49,49,49,0,0,0,6,424.0,519,321,279,63,171,4,314,16,2,25,1934,79,4.85,1.627,11.0,1.3,3.6,6.7,1.84,346
Detroit Tigers,19,27.9,3.64,33,17,.660,3.32,50,50,50,0,4,0,14,444.0,376,182,164,53,145,4,434,23,1,13,1839,121,3.81,1.173,7.6,1.1,2.9,8.8,2.99,330
Houston Astros,22,29.2,3.65,25,24,.510,3.48,49,49,47,2,4,0,13,429.1,337,179,166,46,151,1,445,15,1,8,1767,116,3.56,1.137,7.1,1.0,3.2,9.3,2.95,304
Kansas City Royals,18,30.2,3.29,28,23,.549,3.03,51,51,51,0,6,0,16,454.1,396,168,153,45,140,7,408,14,2,20,1866,137,3.59,1.180,7.8,0.9,2.8,8.1,2.91,344
Los Angeles Angels,25,29.6,5.27,23,25,.479,5.01,48,48,48,0,2,0,12,420.0,440,253,234,68,189,11,354,16,4,23,1851,85,4.96,1.498,9.4,1.5,4.1,7.6,1.87,341
Los Angeles Dodgers,27,29.2,4.44,31,19,.620,4.16,50,50,50,0,3,0,17,444.0,400,222,205,65,172,6,462,15,0,24,1874,96,4.16,1.288,8.1,1.3,3.5,9.4,2.69,325
Miami Marlins,20,27.6,5.75,19,29,.396,5.46,48,48,48,0,2,0,7,426.2,445,276,259,61,188,7,379,18,4,15,1893,83,4.61,1.484,9.4,1.3,4.0,8.0,2.02,345
Milwaukee Brewers,23,28.5,4.38,24,26,.480,4.11,50,50,50,0,5,0,10,439.2,399,219,201,55,182,7,402,19,3,9,1883,101,4.25,1.321,8.2,1.1,3.7,8.2,2.21,349
Minnesota Twins,20,28.8,3.45,27,22,.551,3.28,49,49,49,0,5,0,12,428.1,370,169,156,45,121,3,435,23,3,10,1775,128,3.42,1.146,7.8,0.9,2.5,9.1,3.60,325
