favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
NYM,SF,NYM,SF,David Peterson,Robbie Ray,2.83,2.93,1.25,1.14,121.0,129.0,3.743801652892562,3.627906976744186,101.0,134.0,0.2229580573951435,0.2863247863247863,0.243,0.203,453.0,468.0,3.69,3.74,1.32,1.3,845.0,835.2,3.775147928994083,3.806273946360153,827.0,798.0,0.2592476489028213,0.2510223340673168,3190.0,3179.0
LAA,CWS,LAA,CWS,Tyler Anderson,DOG team pitching,4.41,4.09,1.41,1.37,112.1,950.2,3.9518287243532564,3.81077667859398,87.0,803.0,0.1963882618510158,0.22176194421430545,0.257,0.25,443.0,3621.0,4.62,4.09,1.43,1.37,854.9,950.2,3.837875774944438,3.81077667859398,767.0,803.0,0.23377019201462967,0.22176194421430545,3281.0,3621.0
SEA,TEX,TEX,SEA,Logan Gilbert,Jack Leiter,3.36,4.09,1.0,1.32,72.1,92.1,3.7447988904299585,3.7676438653637354,105.0,83.0,0.3888888888888889,0.23919308357348704,0.2,0.222,270.0,347.0,3.89,3.15,1.27,1.15,923.1,884.0,3.7796555086122847,3.7047511312217196,823.0,813.0,0.235884207509315,0.2482442748091603,3489.0,3275.0
OAK,ARI,ARI,OAK,FAV team pitching,DOG team pitching,5.03,4.59,1.4,1.33,983.0,967.2,3.871820956256358,3.8626964433416044,891.0,905.0,0.23410404624277456,0.24223768736616702,0.26,0.254,3806.0,3736.0,5.03,4.59,1.4,1.33,983.0,967.2,3.871820956256358,3.8626964433416044,891.0,905.0,0.23410404624277456,0.24223768736616702,3806.0,3736.0
PIT,COL,PIT,COL,Jose Quintana,Antonio Senzatela,3.5,6.68,1.34,1.84,82.1,102.1,3.8002436053593183,4.270323212536729,55.0,55.0,0.1762820512820513,0.12614678899082568,0.247,0.349,312.0,436.0,3.64,5.52,1.23,1.55,878.0,839.9,3.733485193621868,3.98023574235028,882.0,653.0,0.2690665039658328,0.19533353275501047,3278.0,3343.0
NYY,MIA,NYY,MIA,FAV team pitching,Janson Junk,3.97,3.28,1.24,1.08,965.2,60.1,3.7660588479071695,3.7770382695507485,962.0,44.0,0.26464924346629987,0.19383259911894274,0.229,0.264,3635.0,227.0,3.97,4.43,1.24,1.31,965.2,892.0,3.7660588479071695,3.821748878923767,962.0,799.0,0.26464924346629987,0.23437958345555882,3635.0,3409.0
TOR,KAN,KAN,TOR,FAV team pitching,Jack Flaherty,4.27,4.51,1.26,1.28,974.2,109.2,3.7846438103058917,3.791208791208791,987.0,137.0,0.2676973148901546,0.3309178743961353,0.241,0.232,3687.0,414.0,4.27,3.67,1.26,1.22,974.2,865.9,3.7846438103058917,3.77872733572006,987.0,802.0,0.2676973148901546,0.24511002444987776,3687.0,3272.0
HOU,BOS,HOU,BOS,FAV team pitching,Cooper Criswell,3.69,5.06,1.19,1.78,971.0,10.2,3.7312049433573637,4.803921568627452,1057.0,5.0,0.2917471708528844,0.10204081632653061,0.229,0.327,3623.0,49.0,3.69,3.75,1.19,1.29,971.0,974.8,3.7312049433573637,3.771029954862536,1057.0,911.0,0.2917471708528844,0.24782372143634385,3623.0,3676.0
LAD,TB,LAD,TB,FAV team pitching,Shane Baz,4.24,4.61,1.32,1.3,971.1,119.0,3.782308722067758,3.7815126050420167,958.0,116.0,0.2608222161720664,0.2577777777777778,0.244,0.247,3673.0,450.0,4.24,3.79,1.32,1.21,971.1,856.2,3.782308722067758,3.7561317449194114,958.0,801.0,0.2608222161720664,0.2490671641791045,3673.0,3216.0
CLE,MIN,MIN,CLE,Gavin Williams,DOG team pitching,3.51,4.29,1.37,1.27,110.1,947.2,3.6875567665758404,3.850295608108108,109.0,919.0,0.2684729064039409,0.2519879352892789,0.224,0.253,406.0,3647.0,3.95,4.29,1.3,1.27,849.1,947.2,3.7651631138852903,3.850295608108108,790.0,919.0,0.2471066624960901,0.2519879352892789,3197.0,3647.0
PHI,DET,DET,PHI,Ranger Suárez,DOG team pitching,2.59,3.76,1.17,1.23,93.2,975.1,3.776824034334764,3.7801251153727824,90.0,939.0,0.2556818181818182,0.2547476939772111,0.236,0.241,352.0,3686.0,3.93,3.76,1.27,1.23,867.9,975.1,3.826477704804701,3.7801251153727824,903.0,939.0,0.2719060523938573,0.2547476939772111,3321.0,3686.0
MIL,WAS,MIL,WAS,FAV team pitching,Mitchell Parker,3.63,4.91,1.24,1.41,960.1,113.2,3.7391938339756274,3.9487632508833923,937.0,74.0,0.26100278551532036,0.16554809843400448,0.232,0.264,3590.0,447.0,3.63,5.16,1.24,1.4,960.1,834.9,3.7391938339756274,3.869924541861301,937.0,741.0,0.26100278551532036,0.22934076137418755,3590.0,3231.0
CHC,BAL,CHC,BAL,Cade Horton,DOG team pitching,3.67,4.89,1.31,1.41,68.2,958.1,3.782991202346041,3.8972967331176287,50.0,889.0,0.1937984496124031,0.23808248527048742,0.264,0.266,258.0,3734.0,3.98,4.89,1.22,1.41,892.0,958.1,3.7858744394618835,3.8972967331176287,754.0,889.0,0.2232750962392656,0.23808248527048742,3377.0,3734.0
SD,STL,SD,STL,Nick Pivetta,DOG team pitching,2.81,4.17,0.99,1.28,121.2,972.2,3.655115511551155,3.853116642666118,131.0,800.0,0.29571106094808125,0.21356113187399894,0.199,0.257,443.0,3746.0,3.66,4.17,1.25,1.28,840.8,972.2,3.727402473834444,3.853116642666118,790.0,800.0,0.25207402680280794,0.21356113187399894,3134.0,3746.0
