favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
NYY,MIN,NYY,MIN,Cam Schlittler,Zebby Matthews,3.05,5.06,1.32,1.46,56.0,69.1,3.7142857142857144,4.0376266280752535,63.0,80.0,0.30288461538461536,0.2867383512544803,0.24,0.283,208.0,279.0,4.06,4.55,1.27,1.32,1275.2,1250.9,3.7782308657465493,3.86281877048525,1262.0,1186.0,0.26193441261934414,0.24544701986754966,4818.0,4832.0
PIT,CHC,CHC,PIT,Paul Skenes,Joey Cantillo,1.92,3.36,0.92,1.31,178.0,80.1,3.6292134831460676,3.757802746566792,203.0,92.0,0.3142414860681115,0.30564784053156147,0.193,0.223,646.0,301.0,4.17,3.82,1.27,1.29,1153.2,1243.9,3.7842525147415884,3.764772087788407,1003.0,1144.0,0.22983501374885426,0.2442878496690156,4364.0,4683.0
DET,CLE,CLE,DET,Casey Mize,Michael King,3.83,2.87,1.27,1.07,131.2,62.2,3.9024390243902443,3.729903536977492,118.0,67.0,0.23046875,0.28879310344827586,0.264,0.203,512.0,232.0,3.92,3.68,1.24,1.21,1199.8,1263.8,3.754792465410902,3.712612755182782,1146.0,1245.0,0.2543840177580466,0.2653452685421995,4505.0,4692.0
NYM,SD,NYM,SD,Clay Holmes,Caden Dana,3.75,6.32,1.35,1.6,151.0,15.2,3.781456953642384,3.68421052631579,122.0,19.0,0.2136602451838879,0.3392857142857143,0.249,0.25,571.0,56.0,4.04,4.81,1.34,1.44,1174.0,1312.9,3.8134582623509368,3.850255160332089,1163.0,1167.0,0.25977216886307797,0.2308605341246291,4477.0,5055.0
MIL,LAA,LAA,MIL,Freddy Peralta,José Berríos,2.69,3.99,1.09,1.29,163.2,160.0,3.6458333333333335,3.8,185.0,135.0,0.31092436974789917,0.22203947368421054,0.193,0.253,595.0,608.0,3.76,4.15,1.26,1.24,1171.0,1174.0,3.7472245943637916,3.7649063032367973,1132.0,1201.0,0.25797629899726526,0.27171945701357464,4388.0,4420.0
MIA,COL,MIA,COL,José Suarez,Kyle Freeland,2.45,4.97,1.36,1.46,7.1,145.0,3.098591549295775,4.068965517241379,5.0,112.0,0.22727272727272727,0.18983050847457628,0.136,0.3,22.0,590.0,4.46,6.14,1.32,1.62,1321.9,1160.1,3.8013465466374154,4.035858977674339,1295.0,892.0,0.25771144278606967,0.19051687313114055,5025.0,4682.0
CIN,STL,CIN,STL,Chris Sale,Michael McGreevy,2.52,4.44,1.12,1.23,107.0,79.0,3.7196261682242993,3.9367088607594938,141.0,47.0,0.3542713567839196,0.15112540192926044,0.231,0.273,398.0,311.0,4.62,4.31,1.34,1.33,1222.0,1257.0,3.804418985270049,3.8496420047732696,1159.0,1070.0,0.24930092493009248,0.22112006612936558,4649.0,4839.0
SEA,KAN,SEA,KAN,FAV team pitching,Michael Wacha,3.91,3.45,1.24,1.18,1355.2,159.0,3.7846812278630457,3.779874213836478,1315.0,117.0,0.25638526028465586,0.194675540765391,0.243,0.245,5129.0,601.0,3.91,3.77,1.24,1.26,1355.2,1171.0,3.7846812278630457,3.7873612297181896,1315.0,1057.0,0.25638526028465586,0.2383314543404735,5129.0,4435.0
TB,TOR,TB,TOR,Ryan Pepiot,DOG team pitching,3.59,4.13,1.13,1.25,163.0,1334.0,3.607361963190184,3.7691154422788604,161.0,1336.0,0.27380952380952384,0.2657120127287192,0.216,0.238,588.0,5028.0,3.92,4.13,1.22,1.25,1165.1,1334.0,3.767916917002833,3.7691154422788604,1153.0,1336.0,0.26264236902050114,0.2657120127287192,4390.0,5028.0
BOS,OAK,OAK,BOS,Connelly Early,DOG team pitching,0.0,4.77,1.2,1.36,5.0,1331.1,4.0,3.8321688828788223,11.0,1235.0,0.55,0.2421093903156244,0.25,0.252,20.0,5101.0,3.75,4.77,1.29,1.36,1336.1,1331.1,3.7863932340393687,3.8321688828788223,1238.0,1235.0,0.24471239375370626,0.2421093903156244,5059.0,5101.0
