favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
CHC,MIL,CHC,MIL,Matthew Boyd,Chad Patrick,2.46,3.52,1.02,1.3,142.2,94.2,3.6005625879043603,3.8535031847133756,126.0,95.0,0.24609375,0.26170798898071623,0.225,0.256,512.0,363.0,4.03,3.56,1.24,1.22,958.0,1012.0,3.7922755741127347,3.7183794466403164,819.0,982.0,0.2254335260115607,0.26096199840552753,3633.0,3763.0
SD,SF,SD,SF,Jameson Taillon,Brandon Woodruff,4.44,2.06,1.11,0.74,95.1,39.1,3.8380651945320716,3.5294117647058822,74.0,49.0,0.20273972602739726,0.35507246376811596,0.236,0.152,365.0,138.0,3.77,3.61,1.22,1.25,1005.1,1067.1,3.76081981892349,3.7372317496017247,871.0,1028.0,0.23042328042328042,0.2577733199598796,3780.0,3988.0
CIN,LAA,CIN,LAA,Nick Pivetta,Kyle Hendricks,2.87,4.88,0.95,1.28,141.1,120.0,3.6144578313253013,3.8916666666666666,144.0,82.0,0.2823529411764706,0.17558886509635974,0.192,0.261,510.0,467.0,3.68,4.67,1.25,1.45,963.9,989.0,3.7151156758999897,3.8422649140546006,930.0,910.0,0.25970399329796146,0.2394736842105263,3581.0,3800.0
LAD,COL,LAD,COL,FAV team pitching,Austin Gomber,4.12,6.75,1.3,1.61,1111.2,54.2,3.7805975521958244,4.317343173431734,1109.0,32.0,0.26398476553201616,0.13675213675213677,0.243,0.312,4201.0,234.0,4.12,5.92,1.3,1.6,1111.2,1036.9,3.7805975521958244,4.026424920435915,1109.0,798.0,0.26398476553201616,0.1911377245508982,4201.0,4175.0
ARI,CLE,CLE,ARI,FAV team pitching,Merrill Kelly,4.57,3.36,1.34,1.09,1119.0,144.2,3.865058087578195,3.7309292649098476,1012.0,136.0,0.23398843930635838,0.2527881040892193,0.255,0.212,4325.0,538.0,4.57,3.46,1.34,1.2,1119.0,974.9,3.865058087578195,3.7183300851369374,1012.0,895.0,0.23398843930635838,0.24689655172413794,4325.0,3625.0
KAN,TEX,TEX,KAN,Eduardo Rodriguez,Jacob Lopez,5.4,3.3,1.64,1.19,110.0,84.2,4.127272727272727,3.7767220902612824,111.0,103.0,0.2444933920704846,0.3238993710691824,0.302,0.223,454.0,318.0,4.48,5.02,1.31,1.4,1009.0,1032.9,3.836471754212091,3.8532287733565687,901.0,932.0,0.2327563936967192,0.23417085427135678,3871.0,3980.0
MIN,OAK,OAK,MIN,Seth Lugo,Shane Smith,3.77,4.01,1.24,1.28,131.1,101.0,3.7299771167048057,3.722772277227723,110.0,98.0,0.2249488752556237,0.26063829787234044,0.237,0.223,489.0,376.0,3.58,4.19,1.24,1.38,981.9,989.1,3.7844994398614933,3.814578910120311,872.0,857.0,0.23466092572658773,0.22714020673204346,3716.0,3773.0
NYY,TB,NYY,TB,Joe Ryan,Shane Baz,2.72,4.93,0.92,1.33,139.0,135.0,3.618705035971223,3.814814814814815,153.0,140.0,0.30417495029821073,0.27184466019417475,0.201,0.252,503.0,515.0,4.46,3.78,1.33,1.19,953.0,969.2,3.877229800629591,3.749484110606686,892.0,924.0,0.24140730717185385,0.2542652724270776,3695.0,3634.0
ATL,CWS,CWS,ATL,FAV team pitching,Bryce Miller,4.29,5.73,1.3,1.54,1106.2,48.2,3.778701862231061,3.879668049792531,1095.0,39.0,0.2619617224880383,0.20855614973262032,0.243,0.278,4180.0,187.0,4.29,3.84,1.3,1.24,1106.2,1090.9,3.778701862231061,3.7831148592904937,1095.0,1036.0,0.2619617224880383,0.2510298037315241,4180.0,4127.0
TOR,PIT,TOR,PIT,Bryce Elder,Mitch Keller,5.89,4.13,1.52,1.27,107.0,141.2,3.9906542056074765,3.930594900849859,87.0,112.0,0.20374707259953162,0.2018018018018018,0.286,0.254,427.0,555.0,4.12,4.0,1.28,1.24,999.2,969.8,3.7560048038430742,3.7523200659929885,1008.0,863.0,0.2685851318944844,0.23715306402857927,3753.0,3639.0
