favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
MIN,KAN,KAN,MIN,Joe Ryan,Drew Rasmussen,2.83,2.81,0.93,1.02,127.1,105.2,3.627065302911094,3.621673003802281,141.0,93.0,0.30585683297180044,0.2440944881889764,0.202,0.218,461.0,381.0,4.49,3.98,1.32,1.23,872.9,923.0,3.885897582770077,3.771397616468039,825.0,887.0,0.2432193396226415,0.25481183567940247,3392.0,3481.0
MIN,KAN,KAN,MIN,Joe Ryan,Drew Rasmussen,2.83,2.81,0.93,1.02,127.1,105.2,3.627065302911094,3.621673003802281,141.0,93.0,0.30585683297180044,0.2440944881889764,0.202,0.218,461.0,381.0,4.49,3.98,1.32,1.23,872.9,923.0,3.885897582770077,3.771397616468039,825.0,887.0,0.2432193396226415,0.25481183567940247,3392.0,3481.0
MIA,ATL,MIA,ATL,FAV team pitching,Bryce Elder,4.45,6.03,1.31,1.56,1014.1,94.0,3.8309831377576176,4.031914893617022,896.0,78.0,0.23063063063063063,0.20580474934036938,0.251,0.29,3885.0,379.0,4.45,4.07,1.31,1.26,1014.1,914.2,3.8309831377576176,3.740975716473419,896.0,934.0,0.23063063063063063,0.27309941520467834,3885.0,3420.0
MIA,ATL,MIA,ATL,FAV team pitching,Bryce Elder,4.45,6.03,1.31,1.56,1014.1,94.0,3.8309831377576176,4.031914893617022,896.0,78.0,0.23063063063063063,0.20580474934036938,0.251,0.29,3885.0,379.0,4.45,4.07,1.31,1.26,1014.1,914.2,3.8309831377576176,3.740975716473419,896.0,934.0,0.23063063063063063,0.27309941520467834,3885.0,3420.0
BAL,OAK,OAK,BAL,Tomoyuki Sugano,DOG team pitching,4.42,4.96,1.32,1.39,114.0,1036.1,3.973684210526316,3.8587008975967576,76.0,940.0,0.16777041942604856,0.2351175587793897,0.269,0.258,453.0,3998.0,4.93,4.96,1.42,1.39,894.1,1036.1,3.89330052566827,3.8587008975967576,869.0,940.0,0.24964090778511921,0.2351175587793897,3481.0,3998.0
BAL,OAK,OAK,BAL,Tomoyuki Sugano,DOG team pitching,4.42,4.96,1.32,1.39,114.0,1036.1,3.973684210526316,3.8587008975967576,76.0,940.0,0.16777041942604856,0.2351175587793897,0.269,0.258,453.0,3998.0,4.93,4.96,1.42,1.39,894.1,1036.1,3.89330052566827,3.8587008975967576,869.0,940.0,0.24964090778511921,0.2351175587793897,3481.0,3998.0
SD,BOS,SD,BOS,Nick Pivetta,DOG team pitching,2.73,3.72,0.94,1.3,128.2,1040.0,3.6271450858034324,3.7846153846153845,136.0,960.0,0.2924731182795699,0.24390243902439024,0.191,0.246,465.0,3936.0,3.7,3.72,1.25,1.3,888.8,1040.0,3.7196219621962197,3.7846153846153845,842.0,960.0,0.25468844525105866,0.24390243902439024,3306.0,3936.0
SD,BOS,SD,BOS,Nick Pivetta,DOG team pitching,2.73,3.72,0.94,1.3,128.2,1040.0,3.6271450858034324,3.7846153846153845,136.0,960.0,0.2924731182795699,0.24390243902439024,0.191,0.246,465.0,3936.0,3.7,3.72,1.25,1.3,888.8,1040.0,3.7196219621962197,3.7846153846153845,842.0,960.0,0.25468844525105866,0.24390243902439024,3306.0,3936.0
LAD,TOR,LAD,TOR,Clayton Kershaw,DOG team pitching,3.29,4.22,1.25,1.25,65.2,1029.2,3.8343558282208585,3.776719782355227,42.0,1032.0,0.168,0.2655003859017237,0.256,0.24,250.0,3887.0,4.22,4.22,1.31,1.25,958.9,1029.2,3.785587652518511,3.776719782355227,975.0,1032.0,0.26859504132231404,0.2655003859017237,3630.0,3887.0
LAD,TOR,LAD,TOR,Clayton Kershaw,DOG team pitching,3.29,4.22,1.25,1.25,65.2,1029.2,3.8343558282208585,3.776719782355227,42.0,1032.0,0.168,0.2655003859017237,0.256,0.24,250.0,3887.0,4.22,4.22,1.31,1.25,958.9,1029.2,3.785587652518511,3.776719782355227,975.0,1032.0,0.26859504132231404,0.2655003859017237,3630.0,3887.0
CHC,STL,CHC,STL,FAV team pitching,Michael McGreevy,3.89,5.08,1.22,1.23,1014.2,39.0,3.7753894695326364,3.923076923076923,862.0,23.0,0.22512405327761817,0.1503267973856209,0.245,0.275,3829.0,153.0,3.89,4.19,1.22,1.29,1014.2,984.2,3.7753894695326364,3.8538914854704327,862.0,816.0,0.22512405327761817,0.21513313999472714,3829.0,3793.0
CHC,STL,CHC,STL,FAV team pitching,Michael McGreevy,3.89,5.08,1.22,1.23,1014.2,39.0,3.7753894695326364,3.923076923076923,862.0,23.0,0.22512405327761817,0.1503267973856209,0.245,0.275,3829.0,153.0,3.89,4.19,1.22,1.29,1014.2,984.2,3.7753894695326364,3.8538914854704327,862.0,816.0,0.22512405327761817,0.21513313999472714,3829.0,3793.0
SEA,TB,TB,SEA,Luis Castillo,DOG team pitching,3.22,3.86,1.21,1.21,131.1,1028.2,3.83676582761251,3.756078583933087,115.0,980.0,0.2286282306163022,0.25375453133091663,0.243,0.237,503.0,3862.0,3.92,3.86,1.24,1.21,922.1,1028.2,3.7631493330441383,3.756078583933087,874.0,980.0,0.2518731988472622,0.25375453133091663,3470.0,3862.0
SEA,TB,TB,SEA,Luis Castillo,DOG team pitching,3.22,3.86,1.21,1.21,131.1,1028.2,3.83676582761251,3.756078583933087,115.0,980.0,0.2286282306163022,0.25375453133091663,0.243,0.237,503.0,3862.0,3.92,3.86,1.24,1.21,922.1,1028.2,3.7631493330441383,3.756078583933087,874.0,980.0,0.2518731988472622,0.25375453133091663,3470.0,3862.0
