favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
TB,WAS,TB,WAS,Ryan Pepiot,Jake Irvin,3.82,5.4,1.16,1.43,153.0,148.1,3.6470588235294117,4.004051316677921,149.0,99.0,0.2670250896057348,0.16694772344013492,0.226,0.27,558.0,593.0,3.96,5.37,1.22,1.45,1033.1,1026.0,3.772142096602459,3.8966861598440548,1002.0,927.0,0.2571208622016936,0.23186593296648325,3897.0,3998.0
BOS,PIT,PIT,BOS,Dustin May,Edward Cabrera,4.79,3.32,1.38,1.18,124.0,124.2,3.846774193548387,3.760064412238325,117.0,136.0,0.24528301886792453,0.291220556745182,0.254,0.227,477.0,467.0,3.53,4.85,1.27,1.33,1094.0,1073.9,3.7714808043875685,3.8430021417264175,1010.0,926.0,0.24478914202617547,0.22437606009207656,4126.0,4127.0
NYM,MIA,NYM,MIA,David Peterson,Michael McGreevy,3.18,4.43,1.25,1.19,150.0,63.0,3.74,3.9047619047619047,135.0,40.0,0.24064171122994651,0.16260162601626016,0.237,0.268,561.0,246.0,3.89,4.27,1.32,1.32,1046.0,1138.2,3.8049713193116634,3.8508170795993673,1021.0,971.0,0.2565326633165829,0.2215377595254392,3980.0,4383.0
CIN,STL,STL,CIN,Andrew Abbott,Kyle Hendricks,2.62,5.04,1.1,1.32,134.0,130.1,3.753731343283582,3.9046887009992317,118.0,87.0,0.2345924453280318,0.17125984251968504,0.225,0.266,503.0,508.0,3.99,4.75,1.26,1.45,1060.2,1056.9,3.778532352386342,3.844261519538272,1013.0,965.0,0.2528706939590614,0.2375092296332759,4006.0,4063.0
NYY,CWS,NYY,CWS,Jack Flaherty,Shane Smith,4.87,3.87,1.3,1.23,136.2,114.0,3.8619676945668138,3.7017543859649122,165.0,105.0,0.31368821292775667,0.24881516587677724,0.241,0.218,526.0,422.0,3.7,4.3,1.22,1.38,1070.0,1064.1,3.7607476635514017,3.825768254863265,994.0,930.0,0.24701789264413518,0.22844509948415623,4024.0,4071.0
HOU,LAA,LAA,HOU,Spencer Arrighetti,Chris Sale,6.21,2.52,1.52,1.16,29.0,89.1,3.8275862068965516,3.7485970819304155,23.0,114.0,0.2072072072072072,0.3413173652694611,0.261,0.234,111.0,334.0,3.77,4.58,1.21,1.32,1173.2,1104.1,3.7410501193317423,3.799474685264016,1250.0,1033.0,0.2848029163818637,0.2462455303933254,4389.0,4195.0
SEA,CLE,SEA,CLE,Nick Pivetta,Gavin Williams,2.82,3.36,0.94,1.32,153.1,136.2,3.5924232527759634,3.6857562408223203,161.0,135.0,0.2927272727272727,0.2689243027888446,0.187,0.215,550.0,502.0,3.74,4.0,1.24,1.31,1038.9,1046.8,3.7183559534122628,3.781047000382117,993.0,970.0,0.25705410302873416,0.2450732693279434,3863.0,3958.0
CHC,COL,CHC,COL,Merrill Kelly,McCade Brown,3.2,9.82,1.05,2.18,157.2,3.2,3.702290076335878,4.6875,147.0,2.0,0.25257731958762886,0.13333333333333333,0.206,0.333,582.0,15.0,3.44,5.97,1.19,1.61,1049.9,1172.9,3.709877131155348,4.038707477193281,977.0,893.0,0.2508344030808729,0.1885159383576103,3895.0,4737.0
LAD,ARI,LAD,ARI,Tyler Glasnow,DOG team pitching,3.36,4.5,1.17,1.33,61.2,1210.2,3.5784313725490193,3.859692612791274,75.0,1083.0,0.3424657534246575,0.23185613359023763,0.183,0.254,219.0,4671.0,4.11,4.5,1.3,1.33,1137.0,1210.2,3.778364116094987,3.859692612791274,1129.0,1083.0,0.2628026070763501,0.23185613359023763,4296.0,4671.0
PHI,ATL,ATL,PHI,Cristopher Sánchez,DOG team pitching,2.72,4.43,1.13,1.31,162.1,1193.2,3.7877853177051204,3.7956754944686555,173.0,1147.0,0.28175895765472314,0.25325678957827336,0.231,0.247,614.0,4529.0,4.02,4.43,1.26,1.31,1035.0,1193.2,3.8289855072463768,3.7956754944686555,1063.0,1147.0,0.2682311380267474,0.25325678957827336,3963.0,4529.0
