favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
KAN,LAA,KAN,LAA,Cole Ragans,Sam Aldegheri,5.16,10.38,1.26,2.54,52.1,4.1,3.81957773512476,4.390243902439025,80.0,4.0,0.4020100502512563,0.2222222222222222,0.241,0.333,199.0,18.0,3.72,4.84,1.25,1.44,1331.9,1373.0,3.781815451610481,3.8419519300801164,1129.0,1223.0,0.22414135398054397,0.2318483412322275,5037.0,5275.0
CHC,NYM,CHC,NYM,Cade Horton,Lucas Giolito,2.66,3.46,1.1,1.28,115.0,140.1,3.6695652173913045,3.7687366167023555,95.0,118.0,0.22511848341232227,0.22348484848484848,0.22,0.242,422.0,528.0,3.93,3.79,1.19,1.29,1266.0,1255.0,3.758293838862559,3.7928286852589643,1112.0,1193.0,0.23371164354770912,0.25063025210084033,4758.0,4760.0
LAD,ARI,LAD,ARI,Tarik Skubal,Brandon Pfaadt,2.23,5.02,0.88,1.34,189.1,166.2,3.6277102062400846,4.031287605294826,233.0,138.0,0.3396501457725947,0.20597014925373133,0.2,0.281,686.0,670.0,4.26,4.35,1.31,1.31,1196.9,1224.8,3.8023226668894643,3.8218484650555196,1085.0,1097.0,0.23840914084816525,0.23435163426618244,4551.0,4681.0
TOR,BOS,BOS,TOR,Kevin Gausman,Cristian Javier,3.38,4.45,1.01,1.24,183.2,32.1,3.668122270742358,3.7071651090342677,177.0,30.0,0.26339285714285715,0.25210084033613445,0.205,0.218,672.0,119.0,4.36,3.86,1.31,1.22,1200.8,1358.9,3.806628914057295,3.748620207520789,1194.0,1424.0,0.26121198862393347,0.2795445622300746,4571.0,5094.0
ATL,WAS,WAS,ATL,Hurston Waldrep,Johan Oviedo,3.04,3.52,1.15,1.24,50.1,30.2,3.632734530938124,3.6754966887417218,50.0,32.0,0.27472527472527475,0.2882882882882883,0.22,0.189,182.0,111.0,4.42,3.83,1.32,1.22,1342.9,1346.0,3.80296373519994,3.763744427934621,1322.0,1222.0,0.25886038770315256,0.24121594946703515,5107.0,5066.0
OAK,HOU,HOU,OAK,Jeffrey Springs,Andre Pallante,4.17,5.29,1.22,1.44,166.0,160.0,3.7951807228915664,3.93125,135.0,107.0,0.21428571428571427,0.17011128775834658,0.238,0.27,630.0,629.0,4.8,4.09,1.38,1.3,1217.2,1231.0,3.8399605652316793,3.8407798537774167,1141.0,1059.0,0.24411638853230638,0.22398477157360405,4674.0,4728.0
CIN,PIT,PIT,CIN,Brady Singer,Shane Smith,3.86,4.06,1.22,1.22,161.0,135.1,3.68944099378882,3.730569948186529,155.0,129.0,0.2609427609427609,0.25595238095238093,0.232,0.22,594.0,504.0,3.92,4.25,1.23,1.38,1219.0,1230.0,3.7801476620180474,3.8138211382113822,1164.0,1092.0,0.2526041666666667,0.2327861863142187,4608.0,4691.0
SF,STL,SF,STL,Logan Webb,Edward Cabrera,3.27,3.57,1.24,1.21,195.2,128.2,3.857581967213115,3.7987519500780036,211.0,140.0,0.28021248339973437,0.2874743326488706,0.264,0.234,753.0,487.0,3.94,4.74,1.31,1.31,1193.0,1260.9,3.7971500419111486,3.8464588785787925,1095.0,1094.0,0.24172185430463577,0.22556701030927834,4530.0,4850.0
DET,CLE,DET,CLE,FAV team pitching,Gavin Williams,3.98,3.06,1.25,1.28,1386.0,161.2,3.7784992784992784,3.678660049627792,1318.0,161.0,0.25167080389535995,0.2715008431703204,0.242,0.212,5237.0,593.0,3.98,3.8,1.25,1.27,1386.0,1225.8,3.7784992784992784,3.763256648719204,1318.0,1152.0,0.25167080389535995,0.24972902666377628,5237.0,4613.0
TB,BAL,TB,BAL,FAV team pitching,Dean Kremer,3.85,4.39,1.21,1.26,1382.1,164.0,3.7500904420808916,3.847560975609756,1362.0,136.0,0.26278217248697666,0.21553090332805072,0.236,0.257,5183.0,631.0,3.85,4.64,1.21,1.38,1382.1,1217.2,3.7500904420808916,3.8637857377587905,1362.0,1166.0,0.26278217248697666,0.24792685519880928,5183.0,4703.0
