favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
SF,TB,SF,TB,Justin Verlander,Adrian Houser,4.53,2.84,1.5,1.32,99.1,79.1,4.016145307769929,3.7294563843236412,87.0,54.0,0.2185929648241206,0.18305084745762712,0.284,0.268,398.0,295.0,3.66,3.99,1.27,1.2,981.9,1008.1,3.773296669721968,3.7555798035909134,943.0,985.0,0.2545209176788124,0.2601690438457475,3705.0,3786.0
KAN,CWS,CWS,KAN,Michael Lorenzen,Sean Burke,4.61,4.26,1.3,1.44,99.2,114.0,3.9314516129032255,3.8771929824561404,85.0,107.0,0.21794871794871795,0.2420814479638009,0.259,0.251,390.0,442.0,3.54,4.09,1.23,1.35,986.8,951.1,3.760640453992704,3.7871937756282197,875.0,823.0,0.2357855025599569,0.22848417545807884,3711.0,3602.0
NYY,STL,NYY,STL,Casey Mize,Sonny Gray,3.5,4.06,1.27,1.15,105.1,135.1,3.90104662226451,3.8712065136935605,93.0,148.0,0.22682926829268293,0.2829827915869981,0.259,0.256,410.0,523.0,3.83,4.2,1.21,1.3,995.0,951.1,3.7527638190954775,3.850278624750289,962.0,744.0,0.25763256561328335,0.20316766794101584,3734.0,3662.0
ARI,COL,ARI,COL,Quinn Priester,Chase Dollander,3.49,6.35,1.24,1.56,118.2,73.2,3.790186125211506,3.961748633879781,95.0,57.0,0.21205357142857142,0.19655172413793104,0.241,0.272,448.0,290.0,3.65,5.97,1.23,1.61,958.9,990.9,3.728230263843988,4.047835301241296,954.0,743.0,0.26685314685314687,0.18524058838194965,3575.0,4011.0
DET,MIN,DET,MIN,Taijuan Walker,Zebby Matthews,3.39,5.11,1.29,1.36,85.0,44.0,3.9176470588235293,4.0227272727272725,62.0,57.0,0.18618618618618618,0.3220338983050847,0.252,0.277,333.0,177.0,3.75,4.21,1.22,1.28,999.1,1030.0,3.8064257832048844,3.8388349514563105,1045.0,966.0,0.2747830660005259,0.24430955993930198,3803.0,3954.0
LAD,SD,LAD,SD,Blake Snell,Joey Wentz,2.37,5.03,1.53,1.44,19.0,62.2,3.9473684210526314,3.8745980707395495,22.0,54.0,0.29333333333333333,0.22406639004149378,0.24,0.249,75.0,241.0,4.18,4.2,1.31,1.28,1066.1,1017.0,3.779195197448645,3.7620452310717796,1062.0,1015.0,0.26358897989575575,0.2652901202300052,4029.0,3826.0
OAK,LAA,LAA,OAK,Luis Morales,Rico Garcia,1.93,3.71,1.93,1.0,4.2,17.0,3.571428571428571,3.7058823529411766,4.0,19.0,0.26666666666666666,0.30158730158730157,0.2,0.206,15.0,63.0,4.89,4.77,1.38,1.4,1093.9,1054.1,3.849529207422982,3.8876766910160327,1008.0,976.0,0.2393730705295654,0.23816495851634945,4211.0,4098.0
CHC,PIT,CHC,PIT,Shota Imanaga,Patrick Corbin,3.19,4.0,0.97,1.32,96.0,117.0,3.7083333333333335,3.8461538461538463,79.0,97.0,0.22191011235955055,0.21555555555555556,0.213,0.26,356.0,450.0,3.91,3.27,1.22,1.15,977.2,977.1,3.7709783053622594,3.6935830518882407,835.0,910.0,0.2265943012211669,0.2521474092546412,3685.0,3609.0
CLE,ATL,ATL,CLE,Slade Cecconi,Cal Quantrill,4.11,5.09,1.25,1.35,85.1,106.0,3.866039952996475,3.9150943396226414,73.0,80.0,0.22188449848024316,0.1927710843373494,0.252,0.275,329.0,415.0,3.84,4.48,1.32,1.29,992.1,974.1,3.749622013909888,3.815829996920234,944.0,884.0,0.2537634408602151,0.23782620392789885,3720.0,3717.0
MIL,CIN,MIL,CIN,FAV team pitching,Zack Littell,3.63,3.6,1.23,1.12,1077.1,145.0,3.7350292451954323,3.8275862068965516,1049.0,100.0,0.2607506835694755,0.18018018018018017,0.23,0.252,4023.0,555.0,3.63,3.89,1.23,1.26,1077.1,941.2,3.7350292451954323,3.7696557586060346,1049.0,916.0,0.2607506835694755,0.25817361894024804,4023.0,3548.0
HOU,BAL,BAL,HOU,Jason Alexander,DOG team pitching,5.02,4.75,1.46,1.39,37.2,1071.1,3.951612903225806,3.88479133600971,29.0,995.0,0.19727891156462585,0.23912521028598893,0.252,0.263,147.0,4161.0,3.74,4.75,1.2,1.39,1047.8,1071.1,3.7335369345294906,3.88479133600971,1125.0,995.0,0.2875766871165644,0.23912521028598893,3912.0,4161.0
TOR,TEX,TEX,TOR,Eric Lauer,DOG team pitching,2.82,3.35,1.06,1.17,83.0,1094.1,3.6867469879518073,3.7098985467507544,83.0,1007.0,0.27124183006535946,0.24809066272480906,0.216,0.226,306.0,4059.0,4.34,3.35,1.28,1.17,1007.2,1094.1,3.7768069896743444,3.7098985467507544,1009.0,1007.0,0.26524710830704523,0.24809066272480906,3804.0,4059.0
BOS,MIA,MIA,BOS,Brayan Bello,DOG team pitching,3.25,4.54,1.29,1.3,121.2,1080.1,3.7376237623762374,3.825571706323489,95.0,964.0,0.2097130242825607,0.23330106485963215,0.247,0.249,453.0,4132.0,3.78,4.54,1.3,1.3,978.8,1080.1,3.790355537392726,3.825571706323489,911.0,964.0,0.24555256064690026,0.23330106485963215,3710.0,4132.0
