favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
SEA,LAD,LAD,SEA,Logan Gilbert,Tyler Glasnow,3.43,3.3,1.03,1.09,126.0,87.1,3.7777777777777777,3.490241102181401,168.0,103.0,0.35294117647058826,0.33881578947368424,0.21,0.174,476.0,304.0,3.89,4.02,1.24,1.27,1318.2,1335.9,3.7824305871643147,3.7495321506100754,1242.0,1373.0,0.2490974729241877,0.27410660810541027,4986.0,5009.0
HOU,LAA,HOU,LAA,Clay Holmes,Caden Dana,3.66,6.39,1.33,1.66,159.2,25.1,3.7876884422110555,3.6653386454183265,127.0,28.0,0.21061359867330018,0.30434782608695654,0.247,0.272,603.0,92.0,4.1,4.84,1.33,1.43,1255.8,1388.0,3.811116419812072,3.8487031700288186,1249.0,1237.0,0.2609694943585458,0.23156121302882815,4786.0,5342.0
MIL,CIN,CIN,MIL,Robert Gasser,Jacob Latz,6.0,2.8,1.0,1.26,3.0,80.1,3.3333333333333335,3.6329588014981278,2.0,70.0,0.2,0.24054982817869416,0.1,0.22,10.0,291.0,3.6,3.49,1.23,1.16,1421.0,1345.0,3.729064039408867,3.729368029739777,1407.0,1257.0,0.2655217965653897,0.25059808612440193,5299.0,5016.0
CLE,TEX,TEX,CLE,Joey Cantillo,Tomoyuki Sugano,3.21,4.54,1.3,1.34,89.2,152.2,3.7780269058295963,3.994743758212878,100.0,103.0,0.29673590504451036,0.16940789473684212,0.223,0.276,337.0,608.0,3.73,4.61,1.27,1.37,1333.8,1264.0,3.7531863847653324,3.8473101265822787,1260.0,1229.0,0.2516979624450659,0.25272465556241,5006.0,4863.0
NYY,BAL,NYY,BAL,Cam Schlittler,Michael McGreevy,3.27,4.35,1.3,1.23,66.0,91.0,3.696969696969697,3.89010989010989,75.0,55.0,0.3073770491803279,0.1553672316384181,0.23,0.266,244.0,354.0,3.97,4.28,1.25,1.33,1355.2,1325.0,3.769923258559622,3.85811320754717,1347.0,1137.0,0.26365237815619497,0.22241784037558684,5109.0,5112.0
CHC,STL,CHC,STL,Jameson Taillon,Kyle Freeland,3.78,5.0,1.07,1.45,123.2,156.2,3.8068181818181817,4.071702944942382,90.0,120.0,0.19189765458422176,0.18867924528301888,0.228,0.299,469.0,636.0,3.82,6.13,1.19,1.61,1293.8,1234.9,3.747874478281033,4.022188031419548,1152.0,960.0,0.2375747576819963,0.19327561908596738,4849.0,4967.0
SF,COL,SF,COL,Justin Verlander,Joe Boyle,3.88,4.4,1.38,1.34,146.0,47.0,3.9178082191780823,3.765957446808511,130.0,53.0,0.22727272727272727,0.2994350282485876,0.262,0.215,572.0,177.0,3.87,3.85,1.29,1.21,1269.2,1368.1,3.793728332808068,3.746802134346905,1207.0,1343.0,0.25067497403946004,0.26199765899336713,4815.0,5126.0
TOR,TB,TB,TOR,Trey Yesavage,Bubba Chandler,5.0,4.56,1.44,0.97,9.0,25.2,3.888888888888889,3.8095238095238098,11.0,25.0,0.3142857142857143,0.2604166666666667,0.229,0.219,35.0,96.0,4.2,3.77,1.27,1.22,1411.0,1388.0,3.7866761162296245,3.7593659942363113,1393.0,1270.0,0.2607149541456111,0.24338827136834035,5343.0,5218.0
ATL,PIT,PIT,ATL,Spencer Strider,Michael Wacha,4.45,4.0,1.38,1.24,119.1,166.2,3.786733837111671,3.8447653429602893,126.0,121.0,0.2793791574279379,0.18935837245696402,0.257,0.257,451.0,639.0,4.38,3.73,1.3,1.25,1300.9,1252.0,3.7996771465908217,3.7747603833865813,1272.0,1129.0,0.25733360307505565,0.2388912399492171,4943.0,4726.0
OAK,KAN,KAN,OAK,Luis Morales,Sean Burke,3.07,4.29,1.11,1.47,44.0,130.0,3.6363636363636362,3.8846153846153846,38.0,123.0,0.2375,0.24356435643564356,0.206,0.255,160.0,505.0,4.74,4.28,1.37,1.36,1375.2,1269.0,3.83435136707388,3.8037825059101653,1270.0,1138.0,0.2408496112270055,0.23575719908846074,5273.0,4827.0
