favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
BOS,MIA,MIA,BOS,Lucas Giolito,Sandy Alcantara,3.77,6.55,1.25,1.45,100.1,121.0,3.7662337662337664,3.9173553719008263,82.0,90.0,0.21750663129973474,0.189873417721519,0.244,0.272,377.0,474.0,3.75,4.31,1.31,1.28,990.9,951.1,3.785447572913513,3.81768478603722,918.0,865.0,0.2447347374033591,0.2382263839162765,3751.0,3631.0
BOS,MIA,MIA,BOS,Lucas Giolito,Sandy Alcantara,3.77,6.55,1.25,1.45,100.1,121.0,3.7662337662337664,3.9173553719008263,82.0,90.0,0.21750663129973474,0.189873417721519,0.244,0.272,377.0,474.0,3.75,4.31,1.31,1.28,990.9,951.1,3.785447572913513,3.81768478603722,918.0,865.0,0.2447347374033591,0.2382263839162765,3751.0,3631.0
HOU,BAL,BAL,HOU,Framber Valdez,Brandon Young,2.97,6.7,1.16,1.74,145.2,44.1,3.663911845730028,4.081632653061225,145.0,40.0,0.2725563909774436,0.2222222222222222,0.226,0.317,532.0,180.0,3.88,4.71,1.21,1.39,930.8,1018.0,3.7473141383755912,3.8831041257367387,1002.0,948.0,0.28727064220183485,0.239817859853276,3488.0,3953.0
LAD,SD,LAD,SD,Clayton Kershaw,DOG team pitching,3.14,3.55,1.26,1.21,71.2,1072.0,3.8202247191011236,3.707089552238806,46.0,1038.0,0.16911764705882354,0.26119778560644186,0.261,0.226,272.0,3974.0,4.24,3.55,1.32,1.21,1004.9,1072.0,3.7854512886854415,3.707089552238806,1033.0,1038.0,0.2715562565720294,0.26119778560644186,3804.0,3974.0
LAD,SD,LAD,SD,Clayton Kershaw,DOG team pitching,3.14,3.55,1.26,1.21,71.2,1072.0,3.8202247191011236,3.707089552238806,46.0,1038.0,0.16911764705882354,0.26119778560644186,0.261,0.226,272.0,3974.0,4.24,3.55,1.32,1.21,1004.9,1072.0,3.7854512886854415,3.707089552238806,1033.0,1038.0,0.2715562565720294,0.26119778560644186,3804.0,3974.0
DET,MIN,DET,MIN,Brandon Pfaadt,Pierson Ohl,5.03,7.15,1.35,1.5,127.0,11.1,4.039370078740157,4.2342342342342345,104.0,9.0,0.20272904483430798,0.19148936170212766,0.279,0.298,513.0,47.0,4.45,4.23,1.34,1.28,959.0,1053.9,3.8394160583941606,3.841920485814593,884.0,1009.0,0.2400869092884302,0.2491973326747345,3682.0,4049.0
DET,MIN,DET,MIN,Luis Gil,Pierson Ohl,7.27,7.15,1.85,1.5,8.2,11.1,4.2682926829268295,4.2342342342342345,10.0,9.0,0.2857142857142857,0.19148936170212766,0.314,0.298,35.0,47.0,3.98,4.23,1.25,1.28,1063.0,1053.9,3.761994355597366,3.841920485814593,1066.0,1009.0,0.2665666416604151,0.2491973326747345,3999.0,4049.0
CLE,ATL,ATL,CLE,Joey Cantillo,Braxton Ashcraft,4.11,3.19,1.4,1.36,61.1,36.2,3.829787234042553,3.9502762430939224,75.0,33.0,0.32051282051282054,0.23076923076923078,0.231,0.259,234.0,143.0,3.86,4.09,1.3,1.24,1007.1,1040.8,3.7583159567073774,3.7749807840122984,934.0,914.0,0.24676354029062086,0.23262916772715703,3785.0,3929.0
CLE,ATL,ATL,CLE,Joey Cantillo,Braxton Ashcraft,4.11,3.19,1.4,1.36,61.1,36.2,3.829787234042553,3.9502762430939224,75.0,33.0,0.32051282051282054,0.23076923076923078,0.231,0.259,234.0,143.0,3.86,4.09,1.3,1.24,1007.1,1040.8,3.7583159567073774,3.7749807840122984,934.0,914.0,0.24676354029062086,0.23262916772715703,3785.0,3929.0
MIL,CIN,MIL,CIN,Zack Wheeler,Nick Martinez,2.68,4.49,0.93,1.19,144.2,136.1,3.633841886269071,3.7545922116091113,189.0,97.0,0.3606870229007634,0.1898238747553816,0.197,0.252,524.0,511.0,3.89,3.72,1.28,1.24,930.9,941.1,3.8457406810613386,3.771118903410902,910.0,912.0,0.2541899441340782,0.2569737954353339,3580.0,3549.0
MIL,CIN,MIL,CIN,Jacob deGrom,Nick Martinez,2.86,4.49,0.95,1.19,135.1,136.1,3.626943005181347,3.7545922116091113,143.0,97.0,0.29183673469387755,0.1898238747553816,0.2,0.252,490.0,511.0,3.39,3.72,1.2,1.24,951.0,941.1,3.719242902208202,3.771118903410902,857.0,912.0,0.24229573084534917,0.2569737954353339,3537.0,3549.0
CHC,PIT,CHC,PIT,Colin Rea,Joe Boyle,4.09,3.82,1.29,1.08,116.2,30.2,3.855421686746988,3.609271523178808,85.0,31.0,0.18973214285714285,0.28440366972477066,0.268,0.156,448.0,109.0,3.82,3.9,1.2,1.21,948.0,1048.0,3.7563291139240507,3.7557251908396947,821.0,998.0,0.2305532153889357,0.2535569105691057,3561.0,3936.0
