favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
DET,MIN,DET,MIN,Tarik Skubal,Bailey Ober,2.35,5.16,0.86,1.38,145.1,103.0,3.618194348725017,4.038834951456311,187.0,82.0,0.35619047619047617,0.1971153846153846,0.198,0.284,525.0,416.0,4.07,4.18,1.29,1.27,935.0,951.0,3.8010695187165777,3.8307045215562567,853.0,930.0,0.24001125492402925,0.2552841065056272,3554.0,3643.0
PHI,WAS,PHI,WAS,Jesús Luzardo,Brad Lord,4.2,3.28,1.35,1.21,133.0,85.0,3.8796992481203008,3.6941176470588237,151.0,70.0,0.2926356589147287,0.2229299363057325,0.26,0.239,516.0,314.0,3.67,5.54,1.21,1.47,934.1,968.1,3.810084573386147,3.9283131907860755,938.0,842.0,0.26355717898286035,0.2214041546147778,3559.0,3803.0
PHI,WAS,PHI,WAS,Jesús Luzardo,Brad Lord,4.2,3.28,1.35,1.21,133.0,85.0,3.8796992481203008,3.6941176470588237,151.0,70.0,0.2926356589147287,0.2229299363057325,0.26,0.239,516.0,314.0,3.67,5.54,1.21,1.47,934.1,968.1,3.810084573386147,3.9283131907860755,938.0,842.0,0.26355717898286035,0.2214041546147778,3559.0,3803.0
SEA,BAL,SEA,BAL,Logan Evans,Tomoyuki Sugano,4.36,4.24,1.39,1.31,74.1,121.0,3.900134952766532,3.9421487603305785,57.0,80.0,0.1972318339100346,0.16771488469601678,0.266,0.266,289.0,477.0,3.74,4.87,1.22,1.41,1024.0,932.1,3.7568359375,3.885849157815685,979.0,904.0,0.25448401351702626,0.2495858641634456,3847.0,3622.0
SEA,BAL,SEA,BAL,Logan Evans,Tomoyuki Sugano,4.36,4.24,1.39,1.31,74.1,121.0,3.900134952766532,3.9421487603305785,57.0,80.0,0.1972318339100346,0.16771488469601678,0.266,0.266,289.0,477.0,3.74,4.87,1.22,1.41,1024.0,932.1,3.7568359375,3.885849157815685,979.0,904.0,0.25448401351702626,0.2495858641634456,3847.0,3622.0
ARI,COL,ARI,COL,Eduardo Rodriguez,Bradley Blalock,5.68,7.89,1.68,1.71,103.0,43.1,4.155339805825243,4.129930394431554,105.0,22.0,0.24532710280373832,0.12359550561797752,0.306,0.337,428.0,178.0,4.42,5.92,1.3,1.61,974.0,1003.0,3.8316221765913756,4.0428713858424725,875.0,763.0,0.23445873526259378,0.1881627620221948,3732.0,4055.0
ARI,COL,ARI,COL,Eduardo Rodriguez,Bradley Blalock,5.68,7.89,1.68,1.71,103.0,43.1,4.155339805825243,4.129930394431554,105.0,22.0,0.24532710280373832,0.12359550561797752,0.306,0.337,428.0,178.0,4.42,5.92,1.3,1.61,974.0,1003.0,3.8316221765913756,4.0428713858424725,875.0,763.0,0.23445873526259378,0.1881627620221948,3732.0,4055.0
CLE,MIA,MIA,CLE,Tanner Bibee,DOG team pitching,4.6,4.52,1.27,1.3,131.0,1064.1,3.8396946564885495,3.8267080161638947,119.0,947.0,0.23658051689860835,0.23256385068762278,0.254,0.249,503.0,4072.0,3.79,4.52,1.3,1.3,928.2,1064.1,3.751346692523163,3.8267080161638947,884.0,947.0,0.25387708213670307,0.23256385068762278,3482.0,4072.0
CLE,MIA,MIA,CLE,Tanner Bibee,DOG team pitching,4.6,4.52,1.27,1.3,131.0,1064.1,3.8396946564885495,3.8267080161638947,119.0,947.0,0.23658051689860835,0.23256385068762278,0.254,0.249,503.0,4072.0,3.79,4.52,1.3,1.3,928.2,1064.1,3.751346692523163,3.8267080161638947,884.0,947.0,0.25387708213670307,0.23256385068762278,3482.0,4072.0
TOR,CHC,CHC,TOR,Max Scherzer,DOG team pitching,4.21,3.87,1.11,1.21,47.0,1056.2,3.723404255319149,3.7729596667297858,49.0,900.0,0.28,0.2258469259723965,0.234,0.245,175.0,3985.0,4.25,3.87,1.27,1.21,1025.2,1056.2,3.776824034334764,3.7729596667297858,1023.0,900.0,0.26420454545454547,0.2258469259723965,3872.0,3985.0
CHC,TOR,CHC,TOR,FAV team pitching,Max Scherzer,3.87,4.21,1.21,1.11,1056.2,47.0,3.7729596667297858,3.723404255319149,900.0,49.0,0.2258469259723965,0.28,0.245,0.234,3985.0,175.0,3.87,4.25,1.21,1.27,1056.2,1025.2,3.7729596667297858,3.776824034334764,900.0,1023.0,0.2258469259723965,0.26420454545454547,3985.0,3872.0
NYM,ATL,NYM,ATL,Kodai Senga,DOG team pitching,2.3,4.31,1.24,1.3,94.0,1061.2,3.627659574468085,3.776856388993592,88.0,1052.0,0.25806451612903225,0.2624750499001996,0.205,0.243,341.0,4008.0,3.89,4.31,1.32,1.3,970.0,1061.2,3.8,3.776856388993592,934.0,1052.0,0.25339120998372217,0.2624750499001996,3686.0,4008.0
