favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
NYY,TOR,NYY,TOR,Luis Gil,Chris Bassitt,3.68,4.1,1.6,1.33,29.1,156.0,3.745704467353952,3.9294871794871793,29.0,154.0,0.26605504587155965,0.25122349102773245,0.257,0.263,109.0,613.0,3.95,4.28,1.25,1.26,1223.1,1096.0,3.769111274630039,3.7682481751824817,1231.0,1095.0,0.26702819956616053,0.2651331719128329,4610.0,4130.0
CHC,WAS,CHC,WAS,Matthew Boyd,Brad Lord,2.94,4.34,1.07,1.32,159.1,103.2,3.632935260842238,3.798449612403101,142.0,85.0,0.24567474048442905,0.21683673469387754,0.23,0.26,578.0,392.0,4.02,5.42,1.22,1.44,1091.9,1123.9,3.7769026467625237,3.9060414627635907,940.0,990.0,0.22793404461687683,0.2255125284738041,4124.0,4390.0
PHI,MIA,PHI,MIA,Brandon Woodruff,Sandy Alcantara,3.69,5.66,1.02,1.32,53.2,148.0,3.796992481203007,3.858108108108108,66.0,119.0,0.32673267326732675,0.2084063047285464,0.203,0.25,202.0,571.0,3.62,4.6,1.25,1.32,1211.0,1101.1,3.735755573905863,3.8443374807011175,1176.0,992.0,0.259946949602122,0.2343491613512875,4524.0,4233.0
NYM,CIN,NYM,CIN,Justin Verlander,Brady Singer,4.29,4.08,1.43,1.26,121.2,143.1,3.9768976897689767,3.7316561844863734,114.0,140.0,0.23651452282157676,0.26217228464419473,0.272,0.24,482.0,534.0,3.7,3.94,1.27,1.25,1127.0,1105.1,3.7808340727595384,3.7878924984164333,1075.0,1054.0,0.2522881952593288,0.2517916865742953,4261.0,4186.0
MIL,PIT,MIL,PIT,Lucas Giolito,Mitch Keller,3.38,4.21,1.23,1.28,125.1,156.0,3.756994404476419,3.9166666666666665,105.0,132.0,0.22340425531914893,0.2160392798690671,0.236,0.254,470.0,611.0,3.82,3.82,1.31,1.21,1145.9,1096.2,3.78828868138581,3.7465790914066774,1066.0,992.0,0.24556553789449437,0.24153883613343072,4341.0,4107.0
SF,STL,SF,STL,Yoshinobu Yamamoto,Andre Pallante,2.82,5.38,1.05,1.44,146.2,144.0,3.6456908344733243,3.9722222222222223,167.0,101.0,0.3133208255159475,0.17657342657342656,0.199,0.273,533.0,572.0,4.28,4.16,1.32,1.3,1102.9,1110.2,3.783661256686916,3.848856061970816,1091.0,949.0,0.26144260723699975,0.2220922068804119,4173.0,4273.0
DET,CWS,CWS,DET,Tarik Skubal,Hunter Brown,2.18,2.34,0.87,1.01,173.0,161.2,3.61271676300578,3.5607940446650126,216.0,182.0,0.3456,0.3170731707317073,0.198,0.199,625.0,574.0,4.19,4.1,1.3,1.26,1086.2,1106.0,3.7976431596391085,3.7775768535262206,979.0,1167.0,0.23733333333333334,0.2793202489229296,4125.0,4178.0
TB,CLE,TB,CLE,Shane Baz,DOG team pitching,4.98,3.95,1.34,1.32,150.0,1243.0,3.8133333333333335,3.7811745776347547,156.0,1161.0,0.2727272727272727,0.2470212765957447,0.253,0.246,572.0,4700.0,3.72,3.95,1.19,1.32,1099.1,1243.0,3.7394231644072424,3.7811745776347547,1070.0,1161.0,0.26034063260340634,0.2470212765957447,4110.0,4700.0
ATL,SEA,SEA,ATL,Hurston Waldrep,DOG team pitching,1.01,4.05,1.01,1.26,35.2,1267.2,3.5511363636363633,3.802083333333333,33.0,1203.0,0.264,0.24968866749688667,0.2,0.246,125.0,4818.0,4.43,4.05,1.31,1.26,1212.8,1267.2,3.7937005277044857,3.802083333333333,1177.0,1203.0,0.2558139534883721,0.24968866749688667,4601.0,4818.0
BOS,ARI,BOS,ARI,FAV team pitching,Brandon Pfaadt,3.78,5.33,1.3,1.39,1271.0,147.0,3.7852084972462627,4.074829931972789,1171.0,122.0,0.2434005404281854,0.2036727879799666,0.245,0.287,4811.0,599.0,3.78,4.33,1.3,1.32,1271.0,1117.2,3.7852084972462627,3.8247404224847834,1171.0,1008.0,0.2434005404281854,0.23589983618066931,4811.0,4273.0
