favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
CHC,BAL,CHC,BAL,Colin Rea,Brandon Young,4.25,6.63,1.32,1.69,106.0,36.2,3.858490566037736,4.088397790055248,75.0,34.0,0.18337408312958436,0.22972972972972974,0.274,0.311,409.0,148.0,3.89,4.77,1.22,1.4,872.2,938.9,3.7686310479247878,3.885397805943125,746.0,874.0,0.22695466991177365,0.23958333333333334,3287.0,3648.0
PIT,COL,PIT,COL,Jacob deGrom,Bradley Blalock,2.55,7.09,0.92,1.64,123.2,33.0,3.62012987012987,4.121212121212121,130.0,16.0,0.2914798206278027,0.11764705882352941,0.197,0.346,446.0,136.0,3.34,5.68,1.21,1.59,871.9,927.0,3.7229040027526095,4.0129449838187705,789.0,709.0,0.24306839186691312,0.19059139784946236,3246.0,3720.0
NYM,SF,NYM,SF,Frankie Montas,Sean Burke,5.46,4.17,1.45,1.41,29.2,105.2,4.109589041095891,3.868821292775665,26.0,93.0,0.21666666666666667,0.2285012285012285,0.292,0.248,120.0,407.0,3.53,4.02,1.31,1.35,955.8,863.0,3.7654320987654324,3.7879490150637314,921.0,730.0,0.2559044178938594,0.223309880697461,3599.0,3269.0
LAA,CWS,LAA,CWS,Jack Kochanowicz,Eduardo Rodriguez,5.75,5.63,1.62,1.65,98.2,92.2,3.84928716904277,4.197396963123644,68.0,98.0,0.17989417989417988,0.2532299741602067,0.288,0.307,378.0,387.0,4.45,4.47,1.41,1.31,886.8,892.0,3.848669373026613,3.8340807174887894,800.0,815.0,0.23439789041898623,0.23830409356725146,3413.0,3420.0
OAK,ARI,ARI,OAK,Jack Perkins,Charlie Morton,2.75,5.42,0.92,1.56,19.2,101.1,3.59375,3.9366963402571713,19.0,101.0,0.2753623188405797,0.2537688442211055,0.159,0.276,69.0,398.0,5.04,3.58,1.41,1.19,981.8,891.0,3.871460582603382,3.765432098765432,885.0,862.0,0.23283346487766376,0.256929955290611,3801.0,3355.0
PHI,DET,DET,PHI,Cristopher Sánchez,Seth Lugo,2.55,3.03,1.09,1.13,130.2,118.2,3.7480798771121355,3.6717428087986463,139.0,104.0,0.2848360655737705,0.23963133640552994,0.225,0.224,488.0,434.0,4.01,3.61,1.27,1.24,848.9,868.9,3.8343738956296383,3.7806421912763266,871.0,784.0,0.2675883256528418,0.2386605783866058,3255.0,3285.0
TEX,SEA,TEX,SEA,FAV team pitching,Logan Evans,3.24,4.22,1.17,1.44,995.1,64.0,3.7101798814189526,3.921875,919.0,50.0,0.2489165763813651,0.199203187250996,0.226,0.275,3692.0,251.0,3.24,3.81,1.17,1.24,995.1,951.2,3.7101798814189526,3.7657695542472664,919.0,896.0,0.2489165763813651,0.2501395868230039,3692.0,3582.0
TOR,KAN,KAN,TOR,Chris Bassitt,José Ureña,4.24,5.4,1.34,1.53,123.0,18.1,4.0,4.254143646408839,121.0,10.0,0.2459349593495935,0.12987012987012986,0.274,0.299,492.0,77.0,4.3,4.26,1.24,1.27,869.2,946.9,3.7563276576161986,3.84412292744746,880.0,921.0,0.26952526799387444,0.253021978021978,3265.0,3640.0
SD,STL,SD,STL,Dylan Cease,DOG team pitching,4.79,4.16,1.34,1.28,118.1,989.2,3.84419983065199,3.853619086130206,153.0,809.0,0.3370044052863436,0.21222455403987409,0.244,0.256,454.0,3812.0,3.39,4.16,1.19,1.28,861.9,989.2,3.6999651931778628,3.853619086130206,784.0,809.0,0.2458450925054876,0.21222455403987409,3189.0,3812.0
MIL,WAS,MIL,WAS,FAV team pitching,Brad Lord,3.66,3.27,1.24,1.2,978.1,74.1,3.7409262856558634,3.697705802968961,951.0,59.0,0.25990707843673133,0.21532846715328466,0.232,0.237,3659.0,274.0,3.66,5.4,1.24,1.44,978.1,892.0,3.7409262856558634,3.9181614349775784,951.0,768.0,0.25990707843673133,0.21974248927038625,3659.0,3495.0
NYY,MIA,NYY,MIA,FAV team pitching,Edward Cabrera,4.02,3.35,1.25,1.23,982.0,94.0,3.7668024439918533,3.75531914893617,983.0,96.0,0.26574749932414166,0.2719546742209632,0.229,0.235,3699.0,353.0,4.02,4.5,1.25,1.31,982.0,876.1,3.7668024439918533,3.8260472548795796,983.0,763.0,0.26574749932414166,0.2276252983293556,3699.0,3352.0
CLE,MIN,MIN,CLE,Joey Cantillo,DOG team pitching,4.14,4.28,1.44,1.27,50.0,965.0,3.78,3.8518134715025907,63.0,931.0,0.3333333333333333,0.2504708097928437,0.233,0.253,189.0,3717.0,3.84,4.28,1.29,1.27,928.2,965.0,3.7545787545787546,3.8518134715025907,865.0,931.0,0.24820659971305595,0.2504708097928437,3485.0,3717.0
