favorite_team,underdog_team,away_team,home_team,fav_sp_starter,dog_sp_starter,fav_sp_era,dog_sp_era,fav_sp_whip,dog_sp_whip,fav_sp_ip,dog_sp_ip,fav_sp_ab_per_ip,dog_sp_ab_per_ip,fav_sp_so,dog_sp_so,fav_sp_so_per_ab,dog_sp_so_per_ab,fav_sp_avg,dog_sp_avg,fav_sp_ab,dog_sp_ab,fav_sp_bp_era,dog_sp_bp_era,fav_sp_bp_whip,dog_sp_bp_whip,fav_sp_bp_ip,dog_sp_bp_ip,fav_bp_ab_per_ip,dog_bp_ab_per_ip,fav_sp_bp_so,dog_sp_bp_so,fav_bp_so_per_ab,dog_bp_so_per_ab,fav_sp_bp_ab,dog_sp_bp_ab
CHC,LAA,CHC,LAA,Jameson Taillon,Kyle Hendricks,4.26,4.93,1.11,1.3,101.1,126.0,3.837784371909001,3.888888888888889,78.0,85.0,0.20103092783505155,0.17346938775510204,0.235,0.265,388.0,490.0,3.72,4.69,1.21,1.45,1053.1,1019.0,3.7479821479441653,3.8380765456329735,915.0,936.0,0.2318216366860907,0.23932498082331885,3947.0,3911.0
DET,KAN,KAN,DET,Jack Flaherty,Jacob Lopez,4.51,3.28,1.27,1.17,131.2,90.2,3.81859756097561,3.76940133037694,162.0,111.0,0.32335329341317365,0.3264705882352941,0.234,0.221,501.0,340.0,3.65,4.91,1.21,1.39,1031.9,1072.9,3.7513324934586683,3.8409917047255098,954.0,963.0,0.24644794626711444,0.23368114535306964,3871.0,4121.0
SEA,OAK,OAK,SEA,Logan Gilbert,Robbie Ray,3.83,2.85,1.06,1.11,91.2,154.2,3.8157894736842106,3.6446173800259407,125.0,158.0,0.35919540229885055,0.28113879003558717,0.213,0.205,348.0,562.0,3.96,3.88,1.28,1.31,1082.9,995.0,3.788900175454797,3.821105527638191,979.0,934.0,0.2386058981233244,0.24566017885323513,4103.0,3802.0
MIL,SF,SF,MIL,Chad Patrick,Dustin May,3.61,4.59,1.3,1.36,99.2,119.2,3.8608870967741935,3.86744966442953,99.0,114.0,0.2584856396866841,0.2472885032537961,0.256,0.252,383.0,461.0,3.57,3.59,1.22,1.28,1058.0,1045.8,3.717391304347826,3.772231784279977,1030.0,954.0,0.26188660055936946,0.24182509505703423,3933.0,3945.0
NYY,BOS,NYY,BOS,Carlos Rodón,Spencer Arrighetti,3.24,6.94,1.07,1.63,152.2,23.1,3.613666228646518,3.8528138528138527,169.0,21.0,0.30727272727272725,0.23595505617977527,0.187,0.258,550.0,89.0,4.15,3.85,1.29,1.22,992.0,1135.1,3.7963709677419355,3.749449387719144,978.0,1202.0,0.25969198088157197,0.2824248120300752,3766.0,4256.0
NYM,ATL,NYM,ATL,FAV team pitching,Bryce Elder,3.82,6.29,1.31,1.56,1143.0,111.2,3.78827646544182,4.028776978417266,1104.0,90.0,0.25496535796766745,0.20089285714285715,0.24,0.292,4330.0,448.0,3.82,4.19,1.31,1.28,1143.0,1031.0,3.78827646544182,3.763336566440349,1104.0,1030.0,0.25496535796766745,0.2654639175257732,4330.0,3880.0
BAL,HOU,HOU,BAL,Trevor Rogers,Brady Singer,1.41,4.18,0.8,1.3,76.1,131.1,3.5216819973718794,3.7604881769641496,67.0,123.0,0.25,0.24949290060851928,0.168,0.247,268.0,493.0,4.96,3.77,1.42,1.23,1062.9,1020.1,3.9044124564869693,3.7770806783648663,988.0,967.0,0.2380722891566265,0.25097326758370103,4150.0,3853.0
PHI,WAS,WAS,PHI,Ranger Suárez,Gavin Williams,3.25,3.24,1.17,1.3,119.0,133.1,3.80672268907563,3.6739293764087155,111.0,132.0,0.24503311258278146,0.26993865030674846,0.243,0.215,453.0,489.0,3.82,4.01,1.24,1.31,1027.1,1004.9,3.8175445428877426,3.7824659170066672,1076.0,933.0,0.2744197908696761,0.24546172059984214,3921.0,3801.0
TOR,MIA,TOR,MIA,FAV team pitching,Eury Pérez,4.19,3.48,1.26,1.01,1154.2,64.2,3.7697106220758965,3.582554517133956,1155.0,66.0,0.26545621696161803,0.28695652173913044,0.239,0.178,4351.0,230.0,4.19,4.57,1.26,1.32,1154.2,1080.9,3.7697106220758965,3.841243408270885,1155.0,947.0,0.26545621696161803,0.22808285163776493,4351.0,4152.0
MIN,CWS,MIN,CWS,FAV team pitching,Yoendrys Gómez,4.32,5.53,1.29,1.55,1137.0,27.2,3.8487247141600704,4.044117647058823,1086.0,23.0,0.24817184643510054,0.20909090909090908,0.254,0.255,4376.0,110.0,4.32,4.16,1.29,1.37,1137.0,1096.9,3.8487247141600704,3.806181055702434,1086.0,961.0,0.24817184643510054,0.23017964071856287,4376.0,4175.0
