game_pk,date,venue,away_team,home_team,away_runs,away_hits,away_doubles,away_triples,away_homeruns,away_rbi,away_walks,away_strikeouts,away_stolen_bases,away_caught_stealing,away_hit_by_pitch,away_at_bats,away_obp,away_slg,away_ops,away_avg,away_left_on_base,away_sac_bunts,away_sac_flies,away_ground_into_dp,away_total_bases,home_runs,home_hits,home_doubles,home_triples,home_homeruns,home_rbi,home_walks,home_strikeouts,home_stolen_bases,home_caught_stealing,home_hit_by_pitch,home_at_bats,home_obp,home_slg,home_ops,home_avg,home_left_on_base,home_sac_bunts,home_sac_flies,home_ground_into_dp,home_total_bases,away_innings_pitched,away_earned_runs,away_pitcher_strikeouts,away_pitcher_walks,away_pitcher_hits,away_pitcher_homeruns,away_pitcher_era,away_pitcher_whip,away_hit_batters,away_wild_pitches,away_balks,away_pitches_thrown,away_strikes,home_innings_pitched,home_earned_runs,home_pitcher_strikeouts,home_pitcher_walks,home_pitcher_hits,home_pitcher_homeruns,home_pitcher_era,home_pitcher_whip,home_hit_batters,home_wild_pitches,home_balks,home_pitches_thrown,home_strikes,away_errors,away_putouts,away_assists,away_chances,away_passed_balls,away_double_plays,home_errors,home_putouts,home_assists,home_chances,home_passed_balls,home_double_plays
778562,2025-03-27,loanDepot park,Pittsburgh Pirates,Miami Marlins,4,4,1,0,1,4,7,11,6,0,2,31,.325,.258,.583,.129,20,0,0,0,8,5,7,1,1,0,4,7,11,1,0,1,30,.395,.333,.728,.233,18,0,0,1,10,8.0,5,11,7,7,0,5.63,1.75,1,0,0,181,116,9.0,4,11,7,4,1,4.00,1.22,2,0,0,176,101,1,0,8,33,2,0,0,0,6,33,0,0
778551,2025-03-27,Busch Stadium,Minnesota Twins,St. Louis Cardinals,3,8,2,0,1,3,3,11,1,0,0,34,.297,.382,.679,.235,15,0,0,1,13,5,10,1,0,2,5,2,5,0,1,0,33,.343,.515,.858,.303,13,0,0,1,17,8.0,3,5,2,10,2,3.38,1.50,0,0,1,151,97,9.0,3,11,3,8,1,3.00,1.22,0,0,0,147,96,1,0,9,34,0,0,0,0,6,33,0,0
778546,2025-03-27,Dodger Stadium,Detroit Tigers,Los Angeles Dodgers,4,9,0,1,1,3,6,9,1,0,0,34,.357,.412,.769,.265,29,0,2,0,14,5,7,0,0,3,5,1,6,0,0,0,31,.330,.463,.793,.221,4,0,0,0,16,8.0,5,6,1,7,3,5.63,1.00,0,0,0,122,83,9.0,4,9,6,9,1,2.67,1.26,0,1,0,173,110,0,0,9,33,0,0,0,0,7,34,0,0
778552,2025-03-27,Chase Field,Chicago Cubs,Arizona Diamondbacks,10,12,3,0,1,10,6,10,1,0,0,41,.317,.305,.622,.219,20,0,0,0,18,6,9,3,0,1,6,3,4,0,0,2,33,.350,.455,.805,.273,18,0,2,1,15,9.0,6,4,3,9,1,5.00,1.52,2,1,0,156,99,9.0,10,10,6,12,1,10.00,2.00,0,0,0,182,105,0,0,9,36,0,0,1,0,7,35,0,0
778547,2025-03-27,T-Mobile Park,Athletics,Seattle Mariners,2,3,0,0,2,2,1,10,0,0,0,29,.133,.310,.443,.103,3,0,0,1,9,4,5,0,0,2,4,7,7,1,0,1,25,.382,.440,.822,.200,10,1,1,1,11,8.0,3,7,7,5,2,3.38,1.50,1,0,0,150,87,9.0,2,10,1,3,2,2.00,0.44,0,0,0,106,74,1,0,9,34,1,0,0,0,11,38,0,0
778560,2025-03-28,George M. Steinbrenner Field,Colorado Rockies,Tampa Bay Rays,2,7,3,0,0,2,3,12,2,2,1,32,.297,.313,.610,.219,16,0,1,0,10,3,7,1,0,1,3,1,9,0,0,0,30,.250,.367,.617,.233,10,0,1,0,11,8.0,3,9,1,7,1,3.38,1.00,0,0,0,107,76,9.0,1,12,3,7,0,1.00,1.11,1,1,0,133,88,1,0,5,30,0,0,1,0,7,35,0,0
778549,2025-03-28,Rogers Centre,Baltimore Orioles,Toronto Blue Jays,2,3,0,0,1,2,4,9,0,0,0,29,.342,.574,.916,.250,10,0,1,0,6,8,14,3,0,0,6,3,9,1,1,1,34,.370,.387,.757,.290,21,0,2,0,17,8.0,7,9,3,14,0,4.76,1.53,1,2,1,167,104,9.0,2,9,4,3,1,7.00,1.44,0,0,0,145,94,2,0,6,32,0,0,1,0,6,34,1,0
778548,2025-03-28,loanDepot park,Pittsburgh Pirates,Miami Marlins,4,7,1,0,1,4,5,6,2,0,0,33,.316,.297,.613,.172,17,0,1,1,11,3,7,1,0,1,3,3,7,0,0,0,31,.347,.344,.691,.230,9,1,0,2,11,9.0,3,7,3,7,1,4.24,1.41,0,0,0,128,83,9.0,3,6,5,7,1,3.50,1.28,0,0,0,126,80,0,0,10,37,0,0,4,0,10,41,0,0
778550,2025-03-28,Globe Life Field,Boston Red Sox,Texas Rangers,1,8,0,0,0,1,2,7,2,0,0,34,.264,.299,.563,.209,17,0,0,1,8,4,8,1,0,2,4,3,3,2,0,0,29,.299,.371,.670,.242,9,0,0,2,15,8.0,4,3,3,8,2,3.18,1.18,0,0,0,114,72,9.0,1,7,2,8,0,3.00,1.06,0,0,0,144,92,0,0,12,36,0,0,0,0,10,37,1,0
778518,2025-03-28,Daikin Park,New York Mets,Houston Astros,3,5,2,0,1,3,3,11,0,1,1,30,.306,.283,.589,.183,11,0,0,2,10,1,3,0,0,0,1,4,10,0,0,0,29,.290,.172,.462,.172,16,0,1,1,3,9.0,1,10,4,3,0,1.59,1.12,0,1,0,146,93,9.0,2,11,3,5,1,1.50,1.11,1,0,0,141,88,0,0,7,34,0,0,1,0,10,38,1,0
778543,2025-03-28,Chase Field,Chicago Cubs,Arizona Diamondbacks,1,3,2,0,0,1,4,5,2,0,0,31,.290,.272,.562,.191,17,0,0,0,5,8,14,6,0,2,8,0,7,1,0,1,37,.372,.586,.958,.329,18,1,0,0,26,8.0,8,7,0,14,2,5.91,1.57,1,0,0,149,100,9.0,1,5,4,3,0,5.50,1.39,0,0,0,115,78,0,0,6,30,0,0,3,0,10,40,0,0
