team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,65,48,.575,-,16,-,4-6
Boston Red Sox,Unknown,62,51,.549,3.0,78,+2.0,8-2
New York Yankees,Unknown,60,52,.536,4.5,92,+0.5,4-6
Tampa Bay Rays,Unknown,55,58,.487,10.0,46,5.0,2-8
Baltimore Orioles,Unknown,51,61,.455,13.5,-69,8.5,6-4
Detroit Tigers,Unknown,65,48,.575,-,80,-,5-5
Cleveland Guardians,Unknown,56,55,.505,8.0,-28,3.0,5-5
Kansas City Royals,Unknown,56,56,.500,8.5,-11,3.5,7-3
Minnesota Twins,Unknown,52,59,.468,12.0,-34,7.0,3-7
Chicago White Sox,Unknown,42,70,.375,22.5,-63,17.5,6-4
Houston Astros,Unknown,62,50,.554,-,39,-,2-8
Seattle Mariners,Unknown,60,53,.531,2.5,22,-,5-5
Texas Rangers,Unknown,58,55,.513,4.5,66,2.0,5-5
Los Angeles Angels,Unknown,54,58,.482,8.0,-67,5.5,5-5
Athletics,Unknown,49,65,.430,14.0,-120,11.5,7-3
Philadelphia Phillies,Unknown,63,48,.568,-,68,-,5-5
New York Mets,Unknown,63,49,.563,0.5,40,+1.0,5-5
Miami Marlins,Unknown,55,55,.500,7.5,-40,6.0,8-2
Atlanta Braves,Unknown,47,63,.427,15.5,-22,14.0,3-7
Washington Nationals,Unknown,44,67,.396,19.0,-134,17.5,3-7
Milwaukee Brewers,Unknown,67,44,.604,-,119,-,7-3
Chicago Cubs,Unknown,65,46,.586,2.0,115,+3.5,5-5
Cincinnati Reds,Unknown,58,54,.518,9.5,42,4.0,6-4
St. Louis Cardinals,Unknown,56,57,.496,12.0,-13,6.5,4-6
Pittsburgh Pirates,Unknown,48,64,.429,19.5,-51,14.0,7-3
Los Angeles Dodgers,Unknown,65,47,.580,-,71,-,6-4
San Diego Padres,Unknown,62,50,.554,3.0,36,-,7-3
San Francisco Giants,Unknown,56,56,.500,9.0,8,6.0,3-7
Arizona Diamondbacks,Unknown,53,59,.473,12.0,-9,9.0,3-7
Colorado Rockies,Unknown,30,81,.270,34.5,-277,31.5,5-5
