team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,80,59,.576,-,58,-,5-5
New York Yankees,Unknown,77,61,.558,2.5,140,+4.5,8-2
Boston Red Sox,Unknown,78,62,.557,2.5,108,+4.5,7-3
Tampa Bay Rays,Unknown,69,69,.500,10.5,56,3.5,8-2
Baltimore Orioles,Unknown,63,76,.453,17.0,-83,10.0,4-6
Detroit Tigers,Unknown,80,60,.571,-,81,-,3-7
Kansas City Royals,Unknown,70,68,.507,9.0,-7,2.5,4-6
Cleveland Guardians,Unknown,68,69,.496,10.5,-61,4.0,4-6
Minnesota Twins,Unknown,62,76,.449,17.0,-73,10.5,3-7
Chicago White Sox,Unknown,51,88,.367,28.5,-82,22.0,5-5
Houston Astros,Unknown,76,63,.547,-,14,-,5-5
Seattle Mariners,Unknown,73,66,.525,3.0,16,-,4-6
Texas Rangers,Unknown,72,68,.514,4.5,92,1.5,8-2
Los Angeles Angels,Unknown,65,73,.471,10.5,-102,7.5,4-6
Athletics,Unknown,64,76,.457,12.5,-84,9.5,5-5
Philadelphia Phillies,Unknown,80,58,.580,-,101,-,6-4
New York Mets,Unknown,75,64,.540,5.5,73,-,6-4
Miami Marlins,Unknown,65,74,.468,15.5,-88,10.0,5-5
Atlanta Braves,Unknown,62,77,.446,18.5,-19,13.0,4-6
Washington Nationals,Unknown,55,83,.399,25.0,-175,19.5,2-8
Milwaukee Brewers,Unknown,85,54,.612,-,161,-,4-6
Chicago Cubs,Unknown,80,59,.576,5.0,119,+5.0,6-4
Cincinnati Reds,Unknown,70,69,.504,15.0,31,5.0,3-7
St. Louis Cardinals,Unknown,69,71,.493,16.5,-40,6.5,5-5
Pittsburgh Pirates,Unknown,62,77,.446,23.0,-60,13.0,7-3
Los Angeles Dodgers,Unknown,78,60,.565,-,99,-,5-5
San Diego Padres,Unknown,76,63,.547,2.5,50,+1.0,3-7
San Francisco Giants,Unknown,70,69,.504,8.5,20,5.0,9-1
Arizona Diamondbacks,Unknown,69,71,.493,10.0,17,6.5,5-5
Colorado Rockies,Unknown,39,100,.281,39.5,-362,36.0,2-8
