Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,38,21,0.644,L 1,5.0,3.6,1.4,-0.1,1.4,38-21,0.0,10-2,10-6,7-6,11-7,21-8,17-13,2-3,10-6,28-17,10-4,22-18,16-3,6-4,12-8,20-10
2.0,Chicago Cubs,36,22,0.621,W 1,5.8,4.2,1.6,-0.1,1.5,37-21,-1.0,6-6,7-4,15-11,8-1,19-11,17-11,3-3,9-4,27-15,9-7,12-13,24-9,8-2,14-6,19-11
3.0,Philadelphia Phillies,36,22,0.621,L 3,4.8,4.4,0.4,-0.2,0.2,31-27,5.0,9-9,7-7,13-4,7-2,19-11,17-11,4-4,11-4,28-13,8-9,13-14,23-8,6-4,14-6,21-9
4.0,New York Mets,36,22,0.621,W 2,4.4,3.3,1.1,-0.1,1.1,37-21,-1.0,9-4,9-4,7-4,11-10,23-7,13-15,2-2,12-8,29-16,7-6,18-10,18-12,7-3,12-8,17-13
5.0,Los Angeles Dodgers,36,22,0.621,W 2,5.9,4.4,1.4,-0.1,1.4,36-22,0.0,13-8,5-5,7-3,11-6,21-8,15-14,4-2,8-7,28-12,8-10,12-9,24-13,7-3,11-9,18-12
6.0,New York Yankees,35,22,0.614,L 2,5.5,3.8,1.6,-0.1,1.5,38-19,-3.0,7-6,5-4,10-2,13-10,18-9,17-13,1-3,10-11,27-17,8-5,21-15,14-7,7-3,14-6,19-11
7.0,San Diego Padres,32,24,0.571,L 1,4.2,4.0,0.3,-0.2,0.1,30-26,2.0,8-2,7-4,7-1,10-17,19-10,13-14,1-3,11-5,22-17,10-7,11-18,21-6,5-5,9-11,15-15
8.0,St. Louis Cardinals,33,25,0.569,W 1,4.7,4.1,0.6,0.1,0.7,33-25,0.0,10-9,8-5,3-0,12-11,19-8,14-17,0-4,10-8,23-16,10-9,16-12,17-13,6-4,14-6,21-9
9.0,San Francisco Giants,32,26,0.552,L 1,4.2,3.5,0.7,-0.1,0.6,34-24,-2.0,5-4,8-5,4-5,15-12,17-9,15-17,4-1,11-10,27-14,5-12,16-15,16-11,4-6,8-12,14-16
10.0,Seattle Mariners,31,26,0.544,W 1,4.6,4.5,0.1,-0.2,0.0,29-28,2.0,5-7,4-4,14-8,8-7,15-14,16-12,4-5,11-7,21-19,10-7,11-16,20-10,4-6,9-11,16-14
11.0,Cleveland Guardians,31,26,0.544,W 1,4.1,4.4,-0.3,0.1,-0.3,27-30,4.0,6-6,14-5,2-3,9-12,16-11,15-15,4-0,8-4,28-18,3-8,19-15,12-11,6-4,9-11,16-14
12.0,Minnesota Twins,31,26,0.544,L 1,4.1,3.5,0.5,-0.1,0.5,32-25,-1.0,9-3,10-12,5-3,7-8,18-8,13-18,3-4,7-8,26-22,5-4,16-20,15-6,5-5,14-6,20-10
13.0,Houston Astros,31,27,0.534,L 1,4.1,3.9,0.2,0.1,0.4,31-27,0.0,5-4,8-7,10-6,8-10,21-12,10-15,2-0,9-7,27-25,4-2,22-21,9-6,6-4,12-8,16-14
14.0,Milwaukee Brewers,31,28,0.525,W 6,4.6,4.3,0.3,0.0,0.3,31-28,0.0,2-0,7-7,4-6,18-15,18-10,13-18,3-2,8-8,20-20,11-8,14-19,17-9,7-3,12-8,17-13
15.0,Kansas City Royals,31,28,0.525,W 1,3.3,3.4,-0.1,0.1,0.0,29-30,2.0,8-7,12-11,3-3,8-7,19-12,12-16,4-2,12-7,25-24,6-4,18-22,13-6,4-6,8-12,17-13
16.0,Tampa Bay Rays,30,28,0.517,W 1,4.4,3.7,0.7,0.0,0.7,34-24,-4.0,9-7,2-4,5-7,14-10,18-19,12-9,3-1,8-9,21-19,9-9,19-15,11-13,8-2,13-7,16-14
17.0,Toronto Blue Jays,30,28,0.517,W 4,4.1,4.3,-0.2,0.0,-0.2,28-30,2.0,10-12,2-4,10-8,8-4,19-12,11-16,4-2,7-8,24-23,6-5,11-19,19-9,6-4,12-8,17-13
18.0,Cincinnati Reds,29,30,0.492,L 1,4.6,4.0,0.6,-0.2,0.4,33-26,-4.0,3-7,9-10,6-3,11-10,14-14,15-16,0-5,5-9,22-18,7-12,15-16,14-14,4-6,10-10,13-17
19.0,Washington Nationals,28,30,0.483,W 4,4.6,5.2,-0.6,-0.1,-0.7,26-32,2.0,8-11,3-7,9-5,8-7,13-14,15-16,2-1,11-7,22-22,6-8,10-18,18-12,7-3,11-9,15-15
20.0,Texas Rangers,28,31,0.475,L 1,3.3,3.4,-0.1,0.0,-0.1,29-30,-1.0,8-8,3-3,8-12,9-8,19-13,9-18,0-0,9-11,23-21,5-10,13-20,15-11,3-7,10-10,13-17
21.0,Atlanta Braves,27,30,0.474,W 1,4.1,3.9,0.3,0.0,0.3,30-27,-3.0,7-7,6-4,6-13,8-6,17-10,10-20,5-1,9-14,21-24,6-6,12-19,15-11,3-7,9-11,15-15
22.0,Boston Red Sox,28,32,0.467,L 1,4.7,4.5,0.2,-0.1,0.1,31-29,-3.0,8-9,9-10,4-6,7-7,16-14,12-18,4-6,6-15,23-25,5-7,15-19,13-13,3-7,8-12,12-18
23.0,Arizona Diamondbacks,27,31,0.466,L 4,5.1,5.3,-0.2,0.3,0.1,28-30,-1.0,9-11,6-10,7-6,5-4,14-17,13-14,2-4,8-11,20-22,7-9,17-21,10-10,1-9,7-13,12-18
24.0,Los Angeles Angels,26,31,0.456,L 1,4.1,5.1,-1.0,0.0,-1.0,23-34,3.0,5-7,6-9,5-7,10-8,10-15,16-16,2-0,8-4,23-25,3-6,17-21,9-10,4-6,11-9,14-16
25.0,Miami Marlins,23,33,0.411,W 1,4.1,5.5,-1.4,0.2,-1.1,21-35,2.0,6-8,7-6,3-11,7-8,14-16,9-17,3-3,8-9,16-25,7-8,11-21,12-12,4-6,9-11,11-19
26.0,Athletics,23,36,0.39,L 5,4.2,6.0,-1.8,0.0,-1.8,20-39,3.0,1-5,5-1,8-12,9-18,9-19,14-17,3-2,7-10,17-30,6-6,9-27,14-9,1-9,3-17,8-22
