team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
New York Yankees,Unknown,43,32,.573,-,99,-,3-7
Tampa Bay Rays,Unknown,42,34,.553,1.5,71,+2.5,6-4
Toronto Blue Jays,Unknown,40,35,.533,3.0,-14,+1.0,5-5
Boston Red Sox,Unknown,40,37,.519,4.0,20,-,8-2
Baltimore Orioles,Unknown,33,42,.440,10.0,-74,6.0,7-3
Detroit Tigers,Unknown,48,29,.623,-,81,-,5-5
Kansas City Royals,Unknown,38,38,.500,9.5,-16,1.5,4-6
Cleveland Guardians,Unknown,37,37,.500,9.5,-28,1.5,3-7
Minnesota Twins,Unknown,37,38,.493,10.0,0,2.0,2-8
Chicago White Sox,Unknown,24,52,.316,23.5,-69,15.5,2-8
Houston Astros,Unknown,44,32,.579,-,53,-,8-2
Seattle Mariners,Unknown,38,36,.514,5.0,7,0.5,5-5
Texas Rangers,Unknown,37,39,.487,7.0,20,2.5,6-4
Los Angeles Angels,Unknown,36,39,.480,7.5,-61,3.0,5-5
Athletics,Unknown,32,46,.410,13.0,-122,8.5,6-4
Philadelphia Phillies,Unknown,46,30,.605,-,42,-,8-2
New York Mets,Unknown,45,31,.592,1.0,60,+4.0,3-7
Atlanta Braves,Unknown,34,40,.459,11.0,20,6.0,7-3
Washington Nationals,Unknown,31,45,.408,15.0,-71,10.0,1-9
Miami Marlins,Unknown,30,44,.405,15.0,-85,10.0,6-4
Chicago Cubs,Unknown,45,30,.600,-,101,-,5-5
Milwaukee Brewers,Unknown,41,35,.539,4.5,31,-,6-4
St. Louis Cardinals,Unknown,41,35,.539,4.5,36,-,5-5
Cincinnati Reds,Unknown,39,37,.513,6.5,32,2.0,6-4
Pittsburgh Pirates,Unknown,30,47,.390,16.0,-65,11.5,3-7
Los Angeles Dodgers,Unknown,47,30,.610,-,76,-,7-3
San Francisco Giants,Unknown,42,34,.553,4.5,41,+1.0,4-6
San Diego Padres,Unknown,40,35,.533,6.0,20,0.5,3-7
Arizona Diamondbacks,Unknown,38,37,.507,8.0,-3,2.5,7-3
Colorado Rockies,Unknown,17,59,.224,29.5,-202,24.0,5-5
