Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,46,26,0.639,L 1,4.8,3.7,1.2,-0.1,1.1,45-27,1.0,12-3,13-8,7-6,14-9,24-10,22-16,2-4,12-7,32-22,14-4,24-18,22-8,6-4,13-7,19-11
2.0,New York Mets,45,26,0.634,L 2,4.6,3.4,1.3,-0.2,1.1,46-25,-1.0,12-4,9-4,13-6,11-12,27-9,18-17,4-3,15-10,35-19,10-7,24-19,21-7,7-3,15-5,19-11
3.0,New York Yankees,42,27,0.609,L 2,5.4,3.8,1.5,0.0,1.5,45-24,-3.0,8-10,10-5,10-2,14-10,21-12,21-15,1-4,12-13,32-20,10-7,23-22,19-5,5-5,12-8,20-10
4.0,Chicago Cubs,43,28,0.606,W 1,5.4,3.9,1.5,-0.1,1.4,46-25,-3.0,9-9,10-5,15-11,9-3,22-12,21-16,3-5,11-6,32-18,11-10,22-22,21-6,5-5,12-8,20-10
5.0,Los Angeles Dodgers,42,29,0.592,W 1,5.5,4.6,1.0,0.1,1.0,42-29,0.0,15-10,6-7,10-5,11-7,24-12,18-17,6-3,11-9,33-18,9-11,22-19,20-10,5-5,10-10,15-15
6.0,Philadelphia Phillies,41,29,0.586,W 3,4.6,4.2,0.4,-0.2,0.2,38-32,3.0,9-9,9-12,13-4,10-4,23-13,18-16,5-4,13-8,32-17,9-12,20-19,21-10,4-6,9-11,17-13
7.0,San Francisco Giants,41,30,0.577,L 1,4.3,3.6,0.6,-0.1,0.5,41-30,0.0,9-4,8-5,9-9,15-12,22-11,19-19,5-3,17-13,33-17,8-13,22-21,19-9,8-2,11-9,17-13
8.0,Houston Astros,40,30,0.571,W 4,4.1,3.6,0.5,0.0,0.6,39-31,1.0,6-4,14-9,10-6,10-11,26-13,14-17,3-0,12-7,35-28,5-2,26-20,14-10,7-3,14-6,20-10
9.0,San Diego Padres,38,31,0.551,L 3,4.2,3.9,0.3,0.0,0.2,37-32,1.0,8-2,10-5,10-7,10-17,21-12,17-19,3-4,14-10,27-21,11-10,16-25,22-6,3-7,10-10,13-17
10.0,Toronto Blue Jays,38,32,0.543,L 2,4.3,4.3,-0.1,0.0,0.0,34-36,4.0,10-12,4-5,11-8,13-7,22-13,16-19,5-2,11-9,29-24,9-8,23-25,15-7,7-3,13-7,18-12
11.0,Tampa Bay Rays,38,32,0.543,W 2,4.5,3.8,0.8,0.0,0.8,41-29,-3.0,10-9,2-4,8-8,18-11,23-20,15-12,4-2,12-12,28-22,10-10,25-18,13-14,7-3,14-6,20-10
12.0,Milwaukee Brewers,38,34,0.528,L 1,4.3,4.1,0.3,0.1,0.3,38-34,0.0,4-2,11-9,5-8,18-15,22-15,16-19,3-2,11-9,25-25,13-9,25-25,13-9,5-5,13-7,18-12
13.0,St. Louis Cardinals,37,34,0.521,W 1,4.6,4.3,0.3,0.1,0.4,37-34,0.0,10-9,9-7,5-1,13-17,22-14,15-20,1-5,12-11,24-22,13-12,22-22,15-12,3-7,9-11,15-15
14.0,Minnesota Twins,36,34,0.514,L 3,4.2,4.1,0.1,-0.1,0.0,36-34,0.0,10-5,10-12,9-9,7-8,20-12,16-22,3-4,7-11,31-28,5-6,16-22,20-12,3-7,8-12,16-14
15.0,Arizona Diamondbacks,36,34,0.514,W 5,5.1,5.1,0.0,0.2,0.2,35-35,1.0,13-11,6-13,9-6,8-4,20-17,16-17,3-5,11-12,27-24,9-10,22-24,14-10,7-3,10-10,15-15
16.0,Seattle Mariners,35,34,0.507,W 2,4.4,4.5,-0.1,-0.2,-0.3,34-35,1.0,5-10,7-4,15-10,8-10,18-17,17-17,4-6,14-10,24-25,11-9,18-21,17-13,3-7,7-13,13-17
17.0,Cleveland Guardians,35,34,0.507,L 2,3.9,4.2,-0.3,0.1,-0.2,32-37,3.0,7-8,14-5,4-7,10-14,19-15,16-19,4-1,8-7,30-21,5-13,19-26,16-8,3-7,8-12,12-18
18.0,Cincinnati Reds,36,35,0.507,W 1,4.6,4.1,0.5,-0.1,0.5,39-32,-3.0,3-7,10-13,9-3,14-12,18-16,18-19,1-5,7-10,28-20,8-15,20-20,16-15,7-3,11-9,16-14
19.0,Boston Red Sox,36,36,0.5,W 4,4.9,4.6,0.3,0.1,0.3,38-34,-2.0,14-11,9-10,5-8,8-7,21-17,15-19,5-8,9-17,27-27,9-9,19-20,17-16,7-3,10-10,14-16
20.0,Texas Rangers,35,36,0.493,W 3,3.7,3.3,0.4,0.0,0.3,39-32,-4.0,8-11,7-4,8-12,12-9,22-13,13-23,1-0,10-13,29-26,6-10,22-28,13-8,6-4,10-10,15-15
21.0,Kansas City Royals,34,37,0.479,L 5,3.3,3.7,-0.4,0.0,-0.3,32-39,2.0,8-10,13-14,3-5,10-8,19-18,15-19,4-3,12-10,27-31,7-6,22-31,12-6,2-8,6-14,10-20
22.0,Los Angeles Angels,33,36,0.478,L 2,4.2,5.0,-0.8,-0.1,-0.9,29-40,4.0,7-10,6-10,10-8,10-8,15-16,18-20,4-0,13-6,29-30,4-6,21-24,12-12,6-4,9-11,17-13
23.0,Atlanta Braves,31,38,0.449,W 3,4.2,3.9,0.3,0.0,0.3,37-32,-6.0,7-7,8-5,8-19,8-7,19-14,12-24,5-2,9-19,25-31,6-7,22-31,9-7,4-6,7-13,12-18
24.0,Washington Nationals,30,40,0.429,L 7,4.2,5.1,-0.9,0.0,-0.9,29-41,1.0,8-16,4-9,9-6,9-9,15-20,15-20,2-2,11-10,22-28,8-12,17-26,13-14,2-8,7-13,13-17
25.0,Baltimore Orioles,29,40,0.42,W 2,3.9,5.1,-1.2,-0.1,-1.2,26-43,3.0,8-8,8-16,8-3,5-13,15-19,14-21,1-2,10-8,24-25,5-15,18-28,11-12,6-4,13-7,14-16
26.0,Pittsburgh Pirates,29,43,0.403,L 1,3.2,3.9,-0.7,0.3,-0.5,29-43,0.0,12-11,8-14,4-8,5-10,19-19,10-24,4-3,14-16,23-32,6-11,19-36,10-7,6-4,11-9,15-15
27.0,Miami Marlins,27,41,0.397,W 2,4.1,5.4,-1.3,0.1,-1.3,25-43,2.0,8-8,8-8,3-15,8-10,14-20,13-21,4-3,11-13,19-31,8-10,14-28,13-13,4-6,8-12,12-18
28.0,Athletics,28,44,0.389,W 2,4.3,5.9,-1.6,-0.1,-1.7,26-46,2.0,3-7,8-4,8-15,9-18,12-23,16-21,3-3,8-12,22-37,6-7,10-31,18-13,5-5,6-14,6-24
29.0,Chicago White Sox,23,48,0.324,L 4,3.5,4.3,-0.9,0.0,-0.9,28-43,-5.0,3-7,6-17,8-15,6-9,16-18,7-30,2-3,4-18,17-38,6-10,15-29,8-19,4-6,7-13,11-19
30.0,Colorado Rockies,13,57,0.186,L 2,3.3,6.3,-3.0,0.3,-2.7,16-54,-3.0,5-19,1-8,4-15,3-15,7-27,6-30,0-4,7-12,12-38,1-19,7-43,6-14,3-7,5-15,6-24
,Average,35,35,0.5,,4.3,4.3,,,,35-35,,8-8,8-8,8-8,10-10,19-15,15-19,3-3,10-10,27-25,8-9,19-24,15-10,5-5,9-10,14-15
