team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,75,54,.581,-,56,-,6-4
Boston Red Sox,Unknown,70,59,.543,5.0,94,+1.0,5-5
New York Yankees,Unknown,69,59,.539,5.5,107,+0.5,7-3
Tampa Bay Rays,Unknown,62,67,.481,13.0,28,7.0,5-5
Baltimore Orioles,Unknown,59,69,.461,15.5,-72,9.5,6-4
Detroit Tigers,Unknown,77,53,.592,-,98,-,8-2
Kansas City Royals,Unknown,66,63,.512,10.5,-3,3.0,7-3
Cleveland Guardians,Unknown,64,63,.504,11.5,-35,4.0,3-7
Minnesota Twins,Unknown,59,69,.461,17.0,-45,9.5,3-7
Chicago White Sox,Unknown,45,83,.352,31.0,-84,23.5,2-8
Houston Astros,Unknown,71,58,.550,-,19,-,4-6
Seattle Mariners,Unknown,69,60,.535,2.0,16,-,3-7
Texas Rangers,Unknown,64,66,.492,7.5,48,5.5,3-7
Los Angeles Angels,Unknown,61,67,.477,9.5,-76,7.5,5-5
Athletics,Unknown,59,71,.454,12.5,-86,10.5,6-4
Philadelphia Phillies,Unknown,74,54,.578,-,98,-,5-5
New York Mets,Unknown,68,60,.531,6.0,41,-,5-5
Miami Marlins,Unknown,60,68,.469,14.0,-65,8.0,3-7
Atlanta Braves,Unknown,58,70,.453,16.0,-15,10.0,7-3
Washington Nationals,Unknown,53,75,.414,21.0,-150,15.0,6-4
Milwaukee Brewers,Unknown,81,48,.628,-,166,-,6-4
Chicago Cubs,Unknown,74,55,.574,7.0,114,+5.5,6-4
Cincinnati Reds,Unknown,67,62,.519,14.0,52,1.5,5-5
St. Louis Cardinals,Unknown,64,66,.492,17.5,-27,5.0,3-7
Pittsburgh Pirates,Unknown,55,74,.426,26.0,-78,13.5,4-6
Los Angeles Dodgers,Unknown,73,56,.566,-,92,+4.5,5-5
San Diego Padres,Unknown,73,56,.566,-,59,+4.5,6-4
Arizona Diamondbacks,Unknown,63,66,.488,10.0,6,5.5,6-4
San Francisco Giants,Unknown,61,68,.473,12.0,-17,7.5,2-8
Colorado Rockies,Unknown,37,92,.287,36.0,-341,31.5,6-4
