team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,59,41,.590,-,29,-,7-3
New York Yankees,Unknown,55,45,.550,4.0,109,+2.0,6-4
Boston Red Sox,Unknown,54,48,.529,6.0,56,-,7-3
Tampa Bay Rays,Unknown,52,49,.515,7.5,65,1.5,3-7
Baltimore Orioles,Unknown,44,55,.444,14.5,-104,8.5,4-6
Detroit Tigers,Unknown,60,41,.594,-,80,-,3-7
Cleveland Guardians,Unknown,49,50,.495,10.0,-38,3.5,8-2
Kansas City Royals,Unknown,49,52,.485,11.0,-20,4.5,6-4
Minnesota Twins,Unknown,48,52,.480,11.5,-11,5.0,5-5
Chicago White Sox,Unknown,36,65,.356,24.0,-73,17.5,6-4
Houston Astros,Unknown,58,42,.580,-,61,-,3-7
Seattle Mariners,Unknown,53,47,.530,5.0,24,-,5-5
Texas Rangers,Unknown,51,50,.505,7.5,56,2.5,7-3
Los Angeles Angels,Unknown,49,51,.490,9.0,-61,4.0,5-5
Athletics,Unknown,42,60,.412,17.0,-141,12.0,5-5
Philadelphia Phillies,Unknown,57,43,.570,-,61,-,4-6
New York Mets,Unknown,57,44,.564,0.5,41,+1.5,5-5
Miami Marlins,Unknown,46,53,.465,10.5,-56,8.5,5-5
Atlanta Braves,Unknown,44,55,.444,12.5,5,10.5,5-5
Washington Nationals,Unknown,40,60,.400,17.0,-110,15.0,3-7
Milwaukee Brewers,Unknown,60,40,.600,-,91,-,10-0
Chicago Cubs,Unknown,59,41,.590,1.0,115,+4.0,5-5
Cincinnati Reds,Unknown,52,49,.515,8.5,35,3.5,6-4
St. Louis Cardinals,Unknown,52,49,.515,8.5,6,3.5,4-6
Pittsburgh Pirates,Unknown,40,61,.396,20.5,-70,15.5,2-8
Los Angeles Dodgers,Unknown,59,42,.584,-,68,-,3-7
San Diego Padres,Unknown,55,45,.550,3.5,18,-,7-3
San Francisco Giants,Unknown,52,49,.515,7.0,4,3.5,3-7
Arizona Diamondbacks,Unknown,50,51,.495,9.0,17,5.5,5-5
Colorado Rockies,Unknown,24,76,.240,34.5,-257,31.0,3-7
