team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,90,68,.570,-,57,-,4-6
New York Yankees,Unknown,90,68,.570,-,152,+5.0,7-3
Boston Red Sox,Unknown,87,71,.551,3.0,114,+2.0,6-4
Tampa Bay Rays,Unknown,77,81,.487,13.0,47,8.0,4-6
Baltimore Orioles,Unknown,74,84,.468,16.0,-102,11.0,5-5
Cleveland Guardians,Unknown,86,72,.544,-,-2,-,9-1
Detroit Tigers,Unknown,85,73,.538,1.0,66,-,1-9
Kansas City Royals,Unknown,79,79,.500,7.0,1,6.0,5-5
Minnesota Twins,Unknown,68,90,.430,18.0,-101,17.0,3-7
Chicago White Sox,Unknown,58,100,.367,28.0,-101,27.0,1-9
Seattle Mariners,Unknown,89,69,.563,-,76,-,9-1
Houston Astros,Unknown,84,74,.532,5.0,7,1.0,4-6
Texas Rangers,Unknown,80,78,.506,9.0,81,5.0,2-8
Athletics,Unknown,75,83,.475,14.0,-70,10.0,7-3
Los Angeles Angels,Unknown,71,87,.449,18.0,-151,14.0,2-8
Philadelphia Phillies,Unknown,93,65,.589,-,131,-,5-5
New York Mets,Unknown,81,77,.513,12.0,51,-,5-5
Miami Marlins,Unknown,77,81,.487,16.0,-91,4.0,8-2
Atlanta Braves,Unknown,75,84,.472,18.5,-5,6.5,9-1
Washington Nationals,Unknown,65,94,.409,28.5,-204,16.5,3-7
Milwaukee Brewers,Unknown,96,63,.604,-,175,-,5-5
Chicago Cubs,Unknown,89,69,.563,6.5,130,+8.0,5-5
Cincinnati Reds,Unknown,80,78,.506,15.5,31,1.0,6-4
St. Louis Cardinals,Unknown,78,81,.491,18.0,-48,3.5,6-4
Pittsburgh Pirates,Unknown,69,89,.437,26.5,-66,12.0,5-5
Los Angeles Dodgers,Unknown,89,69,.563,-,126,-,6-4
San Diego Padres,Unknown,87,72,.547,2.5,66,+5.5,6-4
Arizona Diamondbacks,Unknown,80,78,.506,9.0,29,1.0,7-3
San Francisco Giants,Unknown,78,81,.491,11.5,13,3.5,3-7
Colorado Rockies,Unknown,43,115,.272,46.0,-412,38.0,2-8
