team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
New York Yankees,Unknown,43,31,.581,-,101,-,4-6
Tampa Bay Rays,Unknown,41,34,.547,2.5,65,+2.5,6-4
Toronto Blue Jays,Unknown,40,34,.541,3.0,-8,+2.0,5-5
Boston Red Sox,Unknown,39,37,.513,5.0,18,-,8-2
Baltimore Orioles,Unknown,32,42,.432,11.0,-76,6.0,6-4
Detroit Tigers,Unknown,48,28,.632,-,87,-,6-4
Cleveland Guardians,Unknown,37,36,.507,9.5,-24,0.5,4-6
Minnesota Twins,Unknown,37,37,.500,10.0,11,1.0,3-7
Kansas City Royals,Unknown,37,38,.493,10.5,-17,1.5,4-6
Chicago White Sox,Unknown,23,52,.307,24.5,-75,15.5,1-9
Houston Astros,Unknown,43,32,.573,-,52,-,7-3
Seattle Mariners,Unknown,37,36,.507,5.0,2,0.5,5-5
Los Angeles Angels,Unknown,36,38,.486,6.5,-60,2.0,6-4
Texas Rangers,Unknown,36,39,.480,7.0,16,2.5,6-4
Athletics,Unknown,31,46,.403,13.0,-126,8.5,5-5
New York Mets,Unknown,45,30,.600,-,68,+4.5,4-6
Philadelphia Phillies,Unknown,45,30,.600,-,34,+4.5,8-2
Atlanta Braves,Unknown,34,39,.466,10.0,24,5.5,7-3
Washington Nationals,Unknown,31,44,.413,14.0,-70,9.5,1-9
Miami Marlins,Unknown,29,44,.397,15.0,-89,10.5,5-5
Chicago Cubs,Unknown,45,29,.608,-,106,-,5-5
Milwaukee Brewers,Unknown,40,35,.533,5.5,20,0.5,5-5
St. Louis Cardinals,Unknown,40,35,.533,5.5,31,0.5,4-6
Cincinnati Reds,Unknown,39,36,.520,6.5,37,1.5,7-3
Pittsburgh Pirates,Unknown,30,46,.395,16.0,-61,11.0,4-6
Los Angeles Dodgers,Unknown,46,30,.605,-,75,-,7-3
San Francisco Giants,Unknown,42,33,.560,3.5,43,+1.5,5-5
San Diego Padres,Unknown,40,34,.541,5.0,21,-,3-7
Arizona Diamondbacks,Unknown,37,37,.500,8.0,-9,3.0,6-4
Colorado Rockies,Unknown,17,58,.227,28.5,-196,23.5,5-5
