team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,88,62,.587,-,87,-,7-3
New York Yankees,Unknown,83,67,.553,5.0,122,+1.5,5-5
Boston Red Sox,Unknown,82,68,.547,6.0,104,+0.5,4-6
Tampa Bay Rays,Unknown,73,77,.487,15.0,48,8.5,2-8
Baltimore Orioles,Unknown,70,80,.467,18.0,-91,11.5,6-4
Detroit Tigers,Unknown,85,65,.567,-,95,-,5-5
Cleveland Guardians,Unknown,78,71,.523,6.5,-31,3.0,9-1
Kansas City Royals,Unknown,75,75,.500,10.0,-12,6.5,4-6
Minnesota Twins,Unknown,66,84,.440,19.0,-82,15.5,4-6
Chicago White Sox,Unknown,57,94,.377,28.5,-86,25.0,4-6
Seattle Mariners,Unknown,82,68,.547,-,51,-,9-1
Houston Astros,Unknown,82,69,.543,0.5,23,-,5-5
Texas Rangers,Unknown,79,72,.523,3.5,91,3.0,7-3
Athletics,Unknown,70,80,.467,12.0,-70,11.5,6-4
Los Angeles Angels,Unknown,69,81,.460,13.0,-131,12.5,3-7
Philadelphia Phillies,Unknown,90,61,.596,-,126,-,8-2
New York Mets,Unknown,77,73,.513,12.5,46,-,2-8
Miami Marlins,Unknown,70,80,.467,19.5,-94,7.0,5-5
Atlanta Braves,Unknown,67,83,.447,22.5,-38,10.0,4-6
Washington Nationals,Unknown,62,88,.413,27.5,-182,15.0,6-4
Milwaukee Brewers,Unknown,91,59,.607,-,173,-,5-5
Chicago Cubs,Unknown,86,64,.573,5.0,126,+9.0,6-4
Cincinnati Reds,Unknown,75,75,.500,16.0,25,2.0,5-5
St. Louis Cardinals,Unknown,73,78,.483,18.5,-57,4.5,3-7
Pittsburgh Pirates,Unknown,65,86,.430,26.5,-74,12.5,1-9
Los Angeles Dodgers,Unknown,84,66,.560,-,120,-,6-4
San Diego Padres,Unknown,82,68,.547,2.0,63,+5.0,6-4
Arizona Diamondbacks,Unknown,76,75,.503,8.5,30,1.5,6-4
San Francisco Giants,Unknown,75,75,.500,9.0,15,2.0,4-6
Colorado Rockies,Unknown,41,109,.273,43.0,-397,36.0,2-8
