Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,41,22,0.651,W 1,5.0,3.5,1.5,-0.1,1.4,41-22,0.0,10-2,13-7,7-6,11-7,21-8,20-14,2-3,12-6,29-18,12-4,23-18,18-4,8-2,13-7,20-10
2.0,New York Mets,39,23,0.629,W 1,4.4,3.3,1.2,-0.1,1.1,39-23,0.0,9-4,9-4,10-5,11-10,24-7,15-16,3-3,13-9,31-16,8-7,20-11,19-12,8-2,12-8,18-12
3.0,Chicago Cubs,38,23,0.623,L 1,5.7,4.1,1.6,-0.2,1.5,40-21,-2.0,7-7,8-4,15-11,8-1,20-11,18-12,3-3,9-4,29-15,9-8,12-13,26-10,7-3,15-5,20-10
4.0,New York Yankees,37,23,0.617,L 1,5.4,3.8,1.6,-0.1,1.5,39-21,-2.0,7-6,6-5,10-2,14-10,19-10,18-13,1-3,11-11,29-18,8-5,23-16,14-7,7-3,14-6,19-11
5.0,Philadelphia Phillies,37,24,0.607,L 1,4.8,4.3,0.4,-0.2,0.2,33-28,4.0,9-9,7-8,13-4,8-3,19-12,18-12,4-4,11-5,29-14,8-10,14-16,23-8,4-6,13-7,20-10
6.0,Los Angeles Dodgers,37,25,0.597,L 1,5.7,4.5,1.2,0.0,1.2,38-24,-1.0,14-10,5-5,7-3,11-7,22-11,15-14,5-3,9-8,29-14,8-11,13-12,24-13,5-5,10-10,15-15
7.0,San Diego Padres,35,25,0.583,L 1,4.2,3.9,0.3,-0.2,0.1,32-28,3.0,8-2,8-4,9-2,10-17,20-10,15-15,3-3,13-6,24-17,11-8,13-19,22-6,7-3,10-10,16-14
8.0,Minnesota Twins,34,27,0.557,W 3,4.2,3.5,0.8,-0.1,0.7,36-25,-2.0,9-3,10-12,8-4,7-8,18-8,16-19,3-4,7-9,29-23,5-4,16-21,18-6,5-5,13-7,21-9
9.0,St. Louis Cardinals,33,27,0.55,L 2,4.7,4.2,0.5,0.1,0.6,33-27,0.0,10-9,8-5,3-0,12-13,19-9,14-18,0-4,10-8,23-18,10-9,16-13,17-14,6-4,12-8,20-10
10.0,Cleveland Guardians,33,27,0.55,W 1,4.0,4.2,-0.2,0.1,-0.1,29-31,4.0,7-7,14-5,3-3,9-12,17-11,16-16,4-0,8-5,30-18,3-9,20-16,13-11,5-5,10-10,16-14
11.0,San Francisco Giants,34,28,0.548,W 1,4.1,3.5,0.7,-0.1,0.6,36-26,-2.0,6-4,8-5,5-7,15-12,18-11,16-17,4-3,12-12,28-16,6-12,17-17,17-11,4-6,10-10,15-15
12.0,Houston Astros,33,28,0.541,L 1,4.0,3.7,0.2,0.1,0.4,32-29,1.0,6-4,8-7,10-6,9-11,22-12,11-16,2-0,10-7,29-26,4-2,23-21,10-7,7-3,12-8,17-13
13.0,Milwaukee Brewers,34,29,0.54,W 1,4.6,4.2,0.4,0.0,0.4,34-29,0.0,3-0,9-8,4-6,18-15,18-10,16-19,3-2,9-8,21-21,13-8,15-19,19-10,9-1,14-6,18-12
14.0,Seattle Mariners,32,28,0.533,L 2,4.4,4.4,0.1,-0.2,-0.2,30-30,2.0,5-9,5-4,14-8,8-7,16-16,16-12,4-5,12-8,22-20,10-8,12-16,20-12,3-7,10-10,14-16
15.0,Toronto Blue Jays,32,29,0.525,W 1,4.1,4.3,-0.1,-0.1,-0.2,30-31,2.0,10-12,2-4,11-8,9-5,21-13,11-16,4-2,8-8,25-23,7-6,12-20,20-9,7-3,12-8,17-13
16.0,Tampa Bay Rays,32,29,0.525,W 2,4.4,3.6,0.8,0.0,0.8,36-25,-4.0,9-7,2-4,7-8,14-10,20-19,12-10,3-1,9-10,23-20,9-9,19-16,13-13,7-3,13-7,18-12
17.0,Kansas City Royals,32,29,0.525,W 1,3.3,3.4,-0.1,0.2,0.1,30-31,2.0,8-7,12-12,3-3,9-7,19-13,13-16,4-2,12-8,26-25,6-4,19-23,13-6,4-6,8-12,16-14
