team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,63,43,.594,-,42,-,8-2
New York Yankees,Unknown,57,48,.543,5.5,95,+1.5,4-6
Boston Red Sox,Unknown,57,50,.533,6.5,54,+0.5,5-5
Tampa Bay Rays,Unknown,53,53,.500,10.0,54,3.0,3-7
Baltimore Orioles,Unknown,47,58,.448,15.5,-86,8.5,4-6
Detroit Tigers,Unknown,61,46,.570,-,62,-,2-8
Cleveland Guardians,Unknown,52,53,.495,8.0,-38,3.5,6-4
Kansas City Royals,Unknown,52,54,.491,8.5,-19,4.0,6-4
Minnesota Twins,Unknown,50,55,.476,10.0,-19,5.5,3-7
Chicago White Sox,Unknown,38,68,.358,22.5,-71,18.0,6-4
Houston Astros,Unknown,60,46,.566,-,39,-,4-6
Seattle Mariners,Unknown,56,50,.528,4.0,20,-,5-5
Texas Rangers,Unknown,56,50,.528,4.0,74,-,9-1
Los Angeles Angels,Unknown,51,55,.481,9.0,-68,5.0,4-6
Athletics,Unknown,46,62,.426,15.0,-121,11.0,5-5
New York Mets,Unknown,62,44,.585,-,55,-,7-3
Philadelphia Phillies,Unknown,60,45,.571,1.5,74,+3.5,6-4
Miami Marlins,Unknown,50,54,.481,11.0,-48,6.0,7-3
Atlanta Braves,Unknown,44,60,.423,17.0,-23,12.0,2-8
Washington Nationals,Unknown,43,62,.410,18.5,-100,13.5,5-5
Chicago Cubs,Unknown,62,43,.590,-,116,+5.5,6-4
Milwaukee Brewers,Unknown,62,43,.590,-,92,+5.5,7-3
Cincinnati Reds,Unknown,56,50,.528,6.5,45,1.0,7-3
St. Louis Cardinals,Unknown,54,53,.505,9.0,-8,3.5,3-7
Pittsburgh Pirates,Unknown,44,62,.415,18.5,-55,13.0,6-4
Los Angeles Dodgers,Unknown,61,45,.575,-,66,-,4-6
San Diego Padres,Unknown,57,49,.538,4.0,20,-,5-5
San Francisco Giants,Unknown,54,52,.509,7.0,9,3.0,2-8
Arizona Diamondbacks,Unknown,51,55,.481,10.0,7,6.0,5-5
Colorado Rockies,Unknown,27,78,.257,33.5,-268,29.5,5-5
