team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,55,40,.579,-,20,-,8-2
New York Yankees,Unknown,53,42,.558,2.0,114,+3.0,5-5
Boston Red Sox,Unknown,52,45,.536,4.0,58,+1.0,9-1
Tampa Bay Rays,Unknown,50,46,.521,5.5,64,0.5,3-7
Baltimore Orioles,Unknown,43,51,.457,11.5,-80,6.5,6-4
Detroit Tigers,Unknown,59,37,.615,-,91,-,5-5
Minnesota Twins,Unknown,47,48,.495,11.5,-7,3.0,7-3
Kansas City Royals,Unknown,46,50,.479,13.0,-29,4.5,6-4
Cleveland Guardians,Unknown,45,49,.479,13.0,-46,4.5,5-5
Chicago White Sox,Unknown,32,64,.333,27.0,-97,18.5,4-6
Houston Astros,Unknown,56,39,.589,-,60,-,5-5
Seattle Mariners,Unknown,50,45,.526,6.0,28,-,6-4
Los Angeles Angels,Unknown,47,48,.495,9.0,-58,3.0,5-5
Texas Rangers,Unknown,47,49,.490,9.5,43,3.5,5-5
Athletics,Unknown,40,57,.412,17.0,-137,11.0,5-5
New York Mets,Unknown,55,41,.573,-,46,-,7-3
Philadelphia Phillies,Unknown,54,41,.568,0.5,62,+2.0,4-6
Miami Marlins,Unknown,43,51,.457,11.0,-65,8.5,5-5
Atlanta Braves,Unknown,42,52,.447,12.0,3,9.5,4-6
Washington Nationals,Unknown,38,57,.400,16.5,-95,14.0,3-7
Chicago Cubs,Unknown,56,39,.589,-,116,-,6-4
Milwaukee Brewers,Unknown,55,40,.579,1.0,74,+3.0,7-3
St. Louis Cardinals,Unknown,50,46,.521,6.5,16,2.5,3-7
Cincinnati Reds,Unknown,49,47,.510,7.5,29,3.5,5-5
Pittsburgh Pirates,Unknown,38,58,.396,18.5,-54,14.5,2-8
Los Angeles Dodgers,Unknown,57,39,.594,-,66,-,3-7
San Diego Padres,Unknown,52,43,.547,4.5,8,-,6-4
San Francisco Giants,Unknown,52,44,.542,5.0,20,0.5,7-3
Arizona Diamondbacks,Unknown,46,50,.479,11.0,1,6.5,3-7
Colorado Rockies,Unknown,22,73,.232,34.5,-251,30.0,3-7
