team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,77,55,.583,-,61,-,6-4
Boston Red Sox,Unknown,72,60,.545,5.0,101,+1.0,6-4
New York Yankees,Unknown,71,60,.542,5.5,106,+0.5,7-3
Tampa Bay Rays,Unknown,64,67,.489,12.5,42,6.5,6-4
Baltimore Orioles,Unknown,60,71,.458,16.5,-73,10.5,5-5
Detroit Tigers,Unknown,78,55,.586,-,93,-,7-3
Kansas City Royals,Unknown,67,65,.508,10.5,-10,4.0,6-4
Cleveland Guardians,Unknown,64,66,.492,12.5,-59,6.0,1-9
Minnesota Twins,Unknown,59,72,.450,18.0,-63,11.5,2-8
Chicago White Sox,Unknown,48,83,.366,29.0,-65,22.5,4-6
Houston Astros,Unknown,72,59,.550,-,19,-,4-6
Seattle Mariners,Unknown,71,61,.538,1.5,25,-,4-6
Texas Rangers,Unknown,66,67,.496,7.0,59,5.5,5-5
Los Angeles Angels,Unknown,62,69,.473,10.0,-84,8.5,3-7
Athletics,Unknown,61,72,.459,12.0,-87,10.5,7-3
Philadelphia Phillies,Unknown,76,55,.580,-,91,-,7-3
New York Mets,Unknown,70,61,.534,6.0,57,-,6-4
Miami Marlins,Unknown,62,69,.473,14.0,-63,8.0,4-6
Atlanta Braves,Unknown,59,72,.450,17.0,-22,11.0,6-4
Washington Nationals,Unknown,53,78,.405,23.0,-158,17.0,4-6
Milwaukee Brewers,Unknown,82,50,.621,-,161,-,4-6
Chicago Cubs,Unknown,76,55,.580,5.5,126,+6.0,8-2
Cincinnati Reds,Unknown,68,64,.515,14.0,41,2.5,4-6
St. Louis Cardinals,Unknown,65,67,.492,17.0,-31,5.5,4-6
Pittsburgh Pirates,Unknown,57,75,.432,25.0,-71,13.5,6-4
Los Angeles Dodgers,Unknown,75,57,.568,-,101,-,6-4
San Diego Padres,Unknown,74,58,.561,1.0,54,+3.5,5-5
Arizona Diamondbacks,Unknown,64,68,.485,11.0,8,6.5,4-6
San Francisco Giants,Unknown,63,68,.481,11.5,-10,7.0,4-6
Colorado Rockies,Unknown,37,94,.282,37.5,-349,33.0,5-5
