team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
New York Yankees,Unknown,48,38,.558,-,103,+3.0,4-6
Toronto Blue Jays,Unknown,48,38,.558,-,6,+3.0,7-3
Tampa Bay Rays,Unknown,48,39,.552,0.5,69,+2.5,5-5
Boston Red Sox,Unknown,43,45,.489,6.0,15,3.0,3-7
Baltimore Orioles,Unknown,37,49,.430,11.0,-87,8.0,4-6
Detroit Tigers,Unknown,54,33,.621,-,103,-,6-4
Minnesota Twins,Unknown,41,45,.477,12.5,-15,4.0,4-6
Cleveland Guardians,Unknown,40,44,.476,12.5,-51,4.0,3-7
Kansas City Royals,Unknown,40,47,.460,14.0,-35,5.5,2-8
Chicago White Sox,Unknown,28,58,.326,25.5,-86,17.0,4-6
Houston Astros,Unknown,52,34,.605,-,49,-,8-2
Seattle Mariners,Unknown,45,41,.523,7.0,15,-,6-4
Texas Rangers,Unknown,43,44,.494,9.5,26,2.5,5-5
Los Angeles Angels,Unknown,42,43,.494,9.5,-50,2.5,6-4
Athletics,Unknown,36,53,.404,17.5,-140,10.5,4-6
Philadelphia Phillies,Unknown,51,36,.586,-,52,-,5-5
New York Mets,Unknown,49,38,.563,2.0,38,+2.5,3-7
Atlanta Braves,Unknown,39,46,.459,11.0,13,6.5,4-6
Miami Marlins,Unknown,38,46,.452,11.5,-73,7.0,8-2
Washington Nationals,Unknown,36,50,.419,14.5,-72,10.0,5-5
Chicago Cubs,Unknown,51,35,.593,-,108,-,5-5
Milwaukee Brewers,Unknown,48,38,.558,3.0,57,+2.0,7-3
St. Louis Cardinals,Unknown,47,41,.534,5.0,32,-,5-5
Cincinnati Reds,Unknown,45,42,.517,6.5,35,1.5,6-4
Pittsburgh Pirates,Unknown,38,50,.432,14.0,-29,9.0,8-2
Los Angeles Dodgers,Unknown,55,32,.632,-,96,-,8-2
San Diego Padres,Unknown,46,40,.535,8.5,11,-,5-5
San Francisco Giants,Unknown,46,41,.529,9.0,25,0.5,3-7
Arizona Diamondbacks,Unknown,43,43,.500,11.5,9,3.0,4-6
Colorado Rockies,Unknown,19,67,.221,35.5,-224,27.0,2-8
