team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,86,62,.581,-,77,-,7-3
New York Yankees,Unknown,83,65,.561,3.0,131,+2.5,6-4
Boston Red Sox,Unknown,81,68,.544,5.5,102,-,4-6
Tampa Bay Rays,Unknown,73,75,.493,13.0,50,7.5,4-6
Baltimore Orioles,Unknown,69,79,.466,17.0,-85,11.5,7-3
Detroit Tigers,Unknown,84,65,.564,-,93,-,4-6
Cleveland Guardians,Unknown,77,71,.520,6.5,-32,3.5,8-2
Kansas City Royals,Unknown,74,75,.497,10.0,-19,7.0,4-6
Minnesota Twins,Unknown,65,83,.439,18.5,-87,15.5,3-7
Chicago White Sox,Unknown,57,92,.383,27.0,-82,24.0,6-4
Houston Astros,Unknown,81,68,.544,-,25,-,5-5
Seattle Mariners,Unknown,81,68,.544,-,42,-,8-2
Texas Rangers,Unknown,79,70,.530,2.0,97,2.0,7-3
Athletics,Unknown,69,80,.463,12.0,-73,12.0,5-5
Los Angeles Angels,Unknown,69,80,.463,12.0,-122,12.0,3-7
Philadelphia Phillies,Unknown,89,60,.597,-,132,-,9-1
New York Mets,Unknown,76,73,.510,13.0,43,-,1-9
Miami Marlins,Unknown,70,79,.470,19.0,-92,6.0,5-5
Atlanta Braves,Unknown,65,83,.439,23.5,-51,10.5,3-7
Washington Nationals,Unknown,61,87,.412,27.5,-175,14.5,6-4
Milwaukee Brewers,Unknown,91,58,.611,-,174,-,6-4
Chicago Cubs,Unknown,84,64,.568,6.5,121,+8.5,5-5
Cincinnati Reds,Unknown,74,74,.500,16.5,23,1.5,4-6
St. Louis Cardinals,Unknown,72,77,.483,19.0,-53,4.0,4-6
Pittsburgh Pirates,Unknown,65,84,.436,26.0,-69,11.0,3-7
Los Angeles Dodgers,Unknown,83,65,.561,-,113,-,5-5
San Diego Padres,Unknown,81,68,.544,2.5,60,+5.0,5-5
San Francisco Giants,Unknown,75,73,.507,8.0,30,0.5,6-4
Arizona Diamondbacks,Unknown,74,75,.497,9.5,21,2.0,6-4
Colorado Rockies,Unknown,41,108,.275,42.5,-394,35.0,2-8
