team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,79,59,.572,-,55,-,5-5
New York Yankees,Unknown,76,61,.555,2.5,134,+3.5,7-3
Boston Red Sox,Unknown,77,62,.554,2.5,104,+3.5,7-3
Tampa Bay Rays,Unknown,68,69,.496,10.5,55,4.5,7-3
Baltimore Orioles,Unknown,62,76,.449,17.0,-87,11.0,3-7
Detroit Tigers,Unknown,80,59,.576,-,88,-,4-6
Kansas City Royals,Unknown,70,67,.511,9.0,-3,2.5,5-5
Cleveland Guardians,Unknown,68,68,.500,10.5,-57,4.0,4-6
Minnesota Twins,Unknown,62,75,.453,17.0,-64,10.5,4-6
Chicago White Sox,Unknown,50,88,.362,29.5,-91,23.0,5-5
Houston Astros,Unknown,76,62,.551,-,20,-,6-4
Seattle Mariners,Unknown,73,65,.529,3.0,17,-,5-5
Texas Rangers,Unknown,72,67,.518,4.5,94,1.5,9-1
Los Angeles Angels,Unknown,64,73,.467,11.5,-106,8.5,3-7
Athletics,Unknown,64,75,.460,12.5,-83,9.5,5-5
Philadelphia Phillies,Unknown,80,58,.580,-,101,-,6-4
New York Mets,Unknown,74,64,.536,6.0,66,-,6-4
Miami Marlins,Unknown,65,73,.471,15.0,-85,9.0,5-5
Atlanta Braves,Unknown,62,76,.449,18.0,-18,12.0,4-6
Washington Nationals,Unknown,54,83,.394,25.5,-178,19.5,2-8
Milwaukee Brewers,Unknown,85,54,.612,-,161,-,4-6
Chicago Cubs,Unknown,79,59,.572,5.5,118,+5.0,6-4
Cincinnati Reds,Unknown,70,68,.507,14.5,34,4.0,3-7
St. Louis Cardinals,Unknown,68,71,.489,17.0,-41,6.5,4-6
Pittsburgh Pirates,Unknown,61,77,.442,23.5,-62,13.0,7-3
Los Angeles Dodgers,Unknown,78,59,.569,-,101,-,6-4
San Diego Padres,Unknown,76,62,.551,2.5,54,+2.0,4-6
San Francisco Giants,Unknown,69,69,.500,9.5,17,5.0,8-2
Arizona Diamondbacks,Unknown,68,71,.489,11.0,15,6.5,5-5
Colorado Rockies,Unknown,39,99,.283,39.5,-359,35.0,2-8
