Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,Detroit Tigers,46,27,0.63,L 2,4.8,3.7,1.1,-0.1,1.0,45-28,1.0,12-3,13-8,7-6,14-10,24-11,22-16,2-4,12-7,32-22,14-5,25-21,21-6,5-5,13-7,18-12
2.0,New York Mets,45,27,0.625,L 3,4.6,3.4,1.1,-0.2,0.9,45-27,0.0,12-4,9-4,13-6,11-13,27-10,18-17,4-3,15-10,35-20,10-7,24-20,21-7,6-4,14-6,18-12
3.0,Chicago Cubs,44,28,0.611,W 2,5.3,3.9,1.5,-0.1,1.4,46-26,-2.0,9-9,11-5,15-11,9-3,23-12,21-16,4-5,12-6,33-18,11-10,24-23,20-5,5-5,13-7,20-10
4.0,New York Yankees,42,28,0.6,L 3,5.3,3.8,1.5,0.0,1.4,45-25,-3.0,8-11,10-5,10-2,14-10,21-12,21-16,1-4,12-13,32-21,10-7,26-23,16-5,5-5,12-8,19-11
5.0,Los Angeles Dodgers,43,29,0.597,W 2,5.5,4.6,1.0,0.0,1.0,42-30,1.0,15-10,6-7,11-5,11-7,25-12,18-17,6-3,12-9,34-18,9-11,25-20,18-9,6-4,11-9,16-14
6.0,Philadelphia Phillies,42,29,0.592,W 4,4.7,4.2,0.5,-0.2,0.3,39-32,3.0,9-9,9-12,13-4,11-4,24-13,18-16,5-4,13-8,33-17,9-12,21-19,21-10,5-5,9-11,18-12
7.0,Houston Astros,41,30,0.577,W 5,4.1,3.6,0.5,0.0,0.6,40-31,1.0,6-4,15-9,10-6,10-11,27-13,14-17,4-0,13-7,36-28,5-2,29-22,12-8,8-2,15-5,20-10
8.0,San Francisco Giants,41,31,0.569,L 2,4.3,3.7,0.6,-0.1,0.5,41-31,0.0,9-4,8-5,9-10,15-12,22-11,19-20,5-3,17-14,33-18,8-13,24-23,17-8,7-3,11-9,17-13
9.0,San Diego Padres,39,31,0.557,W 1,4.2,3.9,0.4,0.0,0.3,38-32,1.0,8-2,10-5,11-7,10-17,21-12,18-19,3-4,14-10,28-21,11-10,17-25,22-6,4-6,11-9,14-16
10.0,Tampa Bay Rays,39,32,0.549,W 3,4.6,3.7,0.9,0.1,0.9,42-29,-3.0,10-9,2-4,8-8,19-11,23-20,16-12,4-2,12-12,29-22,10-10,29-21,10-11,7-3,14-6,20-10
11.0,Toronto Blue Jays,38,33,0.535,L 3,4.3,4.4,-0.2,0.1,-0.1,34-37,4.0,10-12,4-5,11-8,13-8,22-13,16-20,5-2,11-9,29-25,9-8,25-27,13-6,6-4,13-7,18-12
12.0,Milwaukee Brewers,39,34,0.534,W 1,4.3,4.0,0.3,0.1,0.4,39-34,0.0,4-2,12-9,5-8,18-15,23-15,16-19,3-2,12-9,26-25,13-9,26-25,13-9,5-5,14-6,19-11
