team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,55,41,.573,-,17,-,7-3
New York Yankees,Unknown,53,43,.552,2.0,111,+2.0,5-5
Boston Red Sox,Unknown,53,45,.541,3.0,61,+1.0,10-0
Tampa Bay Rays,Unknown,50,47,.515,5.5,61,1.5,2-8
Baltimore Orioles,Unknown,43,52,.453,11.5,-90,7.5,6-4
Detroit Tigers,Unknown,59,38,.608,-,87,-,5-5
Minnesota Twins,Unknown,47,49,.490,11.5,-8,4.0,6-4
Kansas City Royals,Unknown,47,50,.485,12.0,-28,4.5,7-3
Cleveland Guardians,Unknown,46,49,.484,12.0,-45,4.5,6-4
Chicago White Sox,Unknown,32,65,.330,27.0,-98,19.5,4-6
Houston Astros,Unknown,56,40,.583,-,56,-,4-6
Seattle Mariners,Unknown,51,45,.531,5.0,32,-,6-4
Texas Rangers,Unknown,48,49,.495,8.5,47,3.5,5-5
Los Angeles Angels,Unknown,47,49,.490,9.0,-62,4.0,4-6
Athletics,Unknown,41,57,.418,16.0,-134,11.0,5-5
Philadelphia Phillies,Unknown,55,41,.573,-,63,-,5-5
New York Mets,Unknown,55,42,.567,0.5,45,+2.5,6-4
Miami Marlins,Unknown,44,51,.463,10.5,-55,7.5,5-5
Atlanta Braves,Unknown,42,53,.442,12.5,2,9.5,3-7
Washington Nationals,Unknown,38,58,.396,17.0,-102,14.0,2-8
Chicago Cubs,Unknown,57,39,.594,-,119,-,6-4
Milwaukee Brewers,Unknown,56,40,.583,1.0,81,+4.0,8-2
St. Louis Cardinals,Unknown,51,46,.526,6.5,17,1.5,4-6
Cincinnati Reds,Unknown,50,47,.515,7.5,31,2.5,5-5
Pittsburgh Pirates,Unknown,39,58,.402,18.5,-53,13.5,2-8
Los Angeles Dodgers,Unknown,58,39,.598,-,69,-,3-7
San Diego Padres,Unknown,52,44,.542,5.5,7,-,6-4
San Francisco Giants,Unknown,52,45,.536,6.0,17,0.5,6-4
Arizona Diamondbacks,Unknown,47,50,.485,11.0,5,5.5,4-6
Colorado Rockies,Unknown,22,74,.229,35.5,-253,30.0,3-7
