team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,57,41,.582,-,24,-,7-3
New York Yankees,Unknown,54,44,.551,3.0,110,+2.0,6-4
Boston Red Sox,Unknown,53,47,.530,5.0,52,-,8-2
Tampa Bay Rays,Unknown,52,47,.525,5.5,72,0.5,4-6
Baltimore Orioles,Unknown,43,54,.443,13.5,-101,8.5,5-5
Detroit Tigers,Unknown,59,40,.596,-,82,-,4-6
Cleveland Guardians,Unknown,47,50,.485,11.0,-49,4.5,7-3
Minnesota Twins,Unknown,47,51,.480,11.5,-14,5.0,5-5
Kansas City Royals,Unknown,47,52,.475,12.0,-31,5.5,5-5
Chicago White Sox,Unknown,34,65,.343,25.0,-83,18.5,4-6
Houston Astros,Unknown,56,42,.571,-,50,-,3-7
Seattle Mariners,Unknown,53,45,.541,3.0,38,+1.0,7-3
Texas Rangers,Unknown,50,49,.505,6.5,52,2.5,6-4
Los Angeles Angels,Unknown,48,50,.490,8.0,-65,4.0,5-5
Athletics,Unknown,42,58,.420,15.0,-130,11.0,5-5
Philadelphia Phillies,Unknown,56,42,.571,-,66,-,5-5
New York Mets,Unknown,55,44,.556,1.5,38,+1.5,4-6
Miami Marlins,Unknown,46,51,.474,9.5,-52,6.5,6-4
Atlanta Braves,Unknown,43,54,.443,12.5,3,9.5,4-6
Washington Nationals,Unknown,39,59,.398,17.0,-105,14.0,2-8
Chicago Cubs,Unknown,59,39,.602,-,128,-,6-4
Milwaukee Brewers,Unknown,58,40,.592,1.0,84,+5.0,9-1
Cincinnati Reds,Unknown,52,47,.525,7.5,38,1.5,6-4
St. Louis Cardinals,Unknown,51,48,.515,8.5,4,2.5,4-6
Pittsburgh Pirates,Unknown,39,60,.394,20.5,-68,14.5,1-9
Los Angeles Dodgers,Unknown,58,41,.586,-,66,-,2-8
San Diego Padres,Unknown,53,45,.541,4.5,10,-,6-4
San Francisco Giants,Unknown,52,47,.525,6.0,10,1.5,5-5
Arizona Diamondbacks,Unknown,49,50,.495,9.0,18,4.5,5-5
Colorado Rockies,Unknown,24,74,.245,33.5,-247,29.0,4-6
