team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
New York Yankees,Unknown,48,36,.571,-,112,-,5-5
Tampa Bay Rays,Unknown,47,38,.553,1.5,69,+2.5,6-4
Toronto Blue Jays,Unknown,46,38,.548,2.0,-3,+2.0,6-4
Boston Red Sox,Unknown,42,44,.488,7.0,17,3.0,3-7
Baltimore Orioles,Unknown,37,47,.440,11.0,-73,7.0,5-5
Detroit Tigers,Unknown,53,32,.624,-,99,-,5-5
Cleveland Guardians,Unknown,40,42,.488,11.5,-47,3.0,3-7
Minnesota Twins,Unknown,40,44,.476,12.5,-14,4.0,3-7
Kansas City Royals,Unknown,39,46,.459,14.0,-37,5.5,2-8
Chicago White Sox,Unknown,28,56,.333,24.5,-80,16.0,5-5
Houston Astros,Unknown,50,34,.595,-,46,-,7-3
Seattle Mariners,Unknown,44,40,.524,6.0,17,-,6-4
Los Angeles Angels,Unknown,41,42,.494,8.5,-49,2.5,5-5
Texas Rangers,Unknown,41,44,.482,9.5,12,3.5,5-5
Athletics,Unknown,35,52,.402,16.5,-140,10.5,4-6
Philadelphia Phillies,Unknown,50,35,.588,-,50,-,5-5
New York Mets,Unknown,48,37,.565,2.0,39,+1.5,3-7
Atlanta Braves,Unknown,38,45,.458,11.0,12,7.5,4-6
Miami Marlins,Unknown,37,45,.451,11.5,-74,8.0,8-2
Washington Nationals,Unknown,35,49,.417,14.5,-68,11.0,5-5
Chicago Cubs,Unknown,49,35,.583,-,104,-,4-6
Milwaukee Brewers,Unknown,47,37,.560,2.0,56,+1.0,8-2
St. Louis Cardinals,Unknown,47,39,.547,3.0,38,-,6-4
Cincinnati Reds,Unknown,44,41,.518,5.5,33,2.5,5-5
Pittsburgh Pirates,Unknown,36,50,.419,14.0,-35,11.0,6-4
Los Angeles Dodgers,Unknown,53,32,.624,-,90,-,7-3
San Diego Padres,Unknown,45,39,.536,7.5,13,1.0,5-5
San Francisco Giants,Unknown,45,40,.529,8.0,30,1.5,3-7
Arizona Diamondbacks,Unknown,42,42,.500,10.5,4,4.0,5-5
Colorado Rockies,Unknown,19,65,.226,33.5,-221,27.0,2-8
