team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
New York Yankees,Unknown,47,34,.580,-,113,-,5-5
Tampa Bay Rays,Unknown,46,36,.561,1.5,67,+3.5,6-4
Toronto Blue Jays,Unknown,44,37,.543,3.0,8,+2.0,6-4
Boston Red Sox,Unknown,40,43,.482,8.0,-2,3.0,3-7
Baltimore Orioles,Unknown,35,46,.432,12.0,-73,7.0,5-5
Detroit Tigers,Unknown,51,32,.614,-,91,-,5-5
Cleveland Guardians,Unknown,40,40,.500,9.5,-37,1.5,5-5
Minnesota Twins,Unknown,40,42,.488,10.5,-6,2.5,4-6
Kansas City Royals,Unknown,38,44,.463,12.5,-33,4.5,4-6
Chicago White Sox,Unknown,26,56,.317,24.5,-84,16.5,3-7
Houston Astros,Unknown,49,33,.598,-,53,-,8-2
Seattle Mariners,Unknown,42,39,.519,6.5,12,-,6-4
Los Angeles Angels,Unknown,40,41,.494,8.5,-52,2.0,6-4
Texas Rangers,Unknown,40,42,.488,9.0,17,2.5,4-6
Athletics,Unknown,33,51,.393,17.0,-142,10.5,3-7
Philadelphia Phillies,Unknown,48,34,.585,-,50,-,5-5
New York Mets,Unknown,48,35,.578,0.5,57,+2.5,3-7
Atlanta Braves,Unknown,37,44,.457,10.5,8,7.5,5-5
Miami Marlins,Unknown,35,45,.438,12.0,-77,9.0,7-3
Washington Nationals,Unknown,34,48,.415,14.0,-65,11.0,4-6
Chicago Cubs,Unknown,48,34,.585,-,97,-,4-6
Milwaukee Brewers,Unknown,46,36,.561,2.0,52,+1.0,8-2
St. Louis Cardinals,Unknown,45,38,.542,3.5,35,0.5,7-3
Cincinnati Reds,Unknown,43,39,.524,5.0,41,2.0,6-4
Pittsburgh Pirates,Unknown,33,50,.398,15.5,-60,12.5,4-6
Los Angeles Dodgers,Unknown,52,31,.627,-,90,-,8-2
San Francisco Giants,Unknown,45,37,.549,6.5,36,-,4-6
San Diego Padres,Unknown,44,37,.543,7.0,16,0.5,5-5
Arizona Diamondbacks,Unknown,41,40,.506,10.0,5,3.5,5-5
Colorado Rockies,Unknown,18,64,.220,33.5,-217,27.0,3-7
