team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,78,58,.574,-,52,-,5-5
New York Yankees,Unknown,76,60,.559,2.0,135,+4.0,7-3
Boston Red Sox,Unknown,75,62,.547,3.5,99,+2.5,7-3
Tampa Bay Rays,Unknown,66,69,.489,11.5,44,5.5,5-5
Baltimore Orioles,Unknown,61,75,.449,17.0,-77,11.0,2-8
Detroit Tigers,Unknown,79,58,.577,-,85,-,5-5
Kansas City Royals,Unknown,70,66,.515,8.5,2,2.0,5-5
Cleveland Guardians,Unknown,68,66,.507,9.5,-53,3.0,4-6
Minnesota Twins,Unknown,61,74,.452,17.0,-68,10.5,3-7
Chicago White Sox,Unknown,48,88,.353,30.5,-93,24.0,3-7
Houston Astros,Unknown,75,61,.551,-,18,-,6-4
Seattle Mariners,Unknown,72,64,.529,3.0,23,-,4-6
Texas Rangers,Unknown,70,67,.511,5.5,89,2.5,8-2
Los Angeles Angels,Unknown,63,72,.467,11.5,-104,8.5,3-7
Athletics,Unknown,63,74,.460,12.5,-88,9.5,6-4
Philadelphia Phillies,Unknown,79,57,.581,-,101,-,6-4
New York Mets,Unknown,73,63,.537,6.0,68,-,6-4
Miami Marlins,Unknown,64,72,.471,15.0,-87,9.0,5-5
Atlanta Braves,Unknown,61,75,.449,18.0,-19,12.0,4-6
Washington Nationals,Unknown,53,82,.393,25.5,-177,19.5,3-7
Milwaukee Brewers,Unknown,85,52,.620,-,167,-,6-4
Chicago Cubs,Unknown,78,58,.574,6.5,118,+5.0,6-4
Cincinnati Reds,Unknown,68,68,.500,16.5,30,5.0,2-8
St. Louis Cardinals,Unknown,68,69,.496,17.0,-30,5.5,5-5
Pittsburgh Pirates,Unknown,61,76,.445,24.0,-59,12.5,8-2
Los Angeles Dodgers,Unknown,77,59,.566,-,100,-,5-5
San Diego Padres,Unknown,76,60,.559,1.0,60,+3.0,6-4
Arizona Diamondbacks,Unknown,68,69,.496,9.5,18,5.5,7-3
San Francisco Giants,Unknown,67,69,.493,10.0,0,6.0,6-4
Colorado Rockies,Unknown,38,98,.279,39.0,-354,35.0,2-8
