team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,90,67,.573,-,63,-,5-5
New York Yankees,Unknown,89,68,.567,1.0,145,+4.0,7-3
Boston Red Sox,Unknown,86,71,.548,4.0,108,+1.0,5-5
Tampa Bay Rays,Unknown,76,81,.484,14.0,43,9.0,4-6
Baltimore Orioles,Unknown,74,83,.471,16.0,-98,11.0,5-5
Cleveland Guardians,Unknown,85,72,.541,-,-6,-,9-1
Detroit Tigers,Unknown,85,72,.541,-,70,-,1-9
Kansas City Royals,Unknown,79,78,.503,6.0,2,6.0,5-5
Minnesota Twins,Unknown,68,89,.433,17.0,-99,17.0,3-7
Chicago White Sox,Unknown,58,99,.369,27.0,-94,27.0,1-9
Seattle Mariners,Unknown,88,69,.561,-,69,-,9-1
Houston Astros,Unknown,84,73,.535,4.0,13,1.0,5-5
Texas Rangers,Unknown,79,78,.503,9.0,79,6.0,2-8
Athletics,Unknown,74,83,.471,14.0,-76,11.0,7-3
Los Angeles Angels,Unknown,70,87,.446,18.0,-152,15.0,1-9
Philadelphia Phillies,Unknown,92,65,.586,-,121,-,5-5
New York Mets,Unknown,81,76,.516,11.0,58,-,5-5
Miami Marlins,Unknown,77,80,.490,15.0,-81,4.0,9-1
Atlanta Braves,Unknown,75,83,.475,17.5,-4,6.5,10-0
Washington Nationals,Unknown,64,94,.405,28.5,-205,17.5,3-7
Milwaukee Brewers,Unknown,95,63,.601,-,173,-,5-5
Chicago Cubs,Unknown,88,69,.561,6.5,123,+7.0,4-6
Cincinnati Reds,Unknown,80,77,.510,14.5,32,1.0,6-4
St. Louis Cardinals,Unknown,78,80,.494,17.0,-47,3.5,6-4
Pittsburgh Pirates,Unknown,68,89,.433,26.5,-67,13.0,4-6
Los Angeles Dodgers,Unknown,88,69,.561,-,125,-,6-4
San Diego Padres,Unknown,87,71,.551,1.5,68,+5.5,7-3
Arizona Diamondbacks,Unknown,80,77,.510,8.0,30,1.0,7-3
San Francisco Giants,Unknown,77,81,.487,11.5,12,4.5,2-8
Colorado Rockies,Unknown,43,114,.274,45.0,-405,38.0,3-7
