team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,94,68,.580,-,77,-,5-5
New York Yankees,Unknown,94,68,.580,-,164,+7.0,9-1
Boston Red Sox,Unknown,89,73,.549,5.0,110,+2.0,6-4
Tampa Bay Rays,Unknown,77,85,.475,17.0,31,10.0,3-7
Baltimore Orioles,Unknown,75,87,.463,19.0,-111,12.0,3-7
Cleveland Guardians,Unknown,88,74,.543,-,-6,-,7-3
Detroit Tigers,Unknown,87,75,.537,1.0,67,-,2-8
Kansas City Royals,Unknown,82,80,.506,6.0,14,5.0,6-4
Minnesota Twins,Unknown,70,92,.432,18.0,-95,17.0,4-6
Chicago White Sox,Unknown,60,102,.370,28.0,-95,27.0,3-7
Seattle Mariners,Unknown,90,72,.556,-,72,-,7-3
Houston Astros,Unknown,87,75,.537,3.0,21,-,4-6
Texas Rangers,Unknown,81,81,.500,9.0,79,6.0,2-8
Athletics,Unknown,76,86,.469,14.0,-84,11.0,5-5
Los Angeles Angels,Unknown,72,90,.444,18.0,-164,15.0,3-7
Philadelphia Phillies,Unknown,96,66,.593,-,130,-,5-5
New York Mets,Unknown,83,79,.512,13.0,51,-,5-5
Miami Marlins,Unknown,79,83,.488,17.0,-89,4.0,7-3
Atlanta Braves,Unknown,76,86,.469,20.0,-10,7.0,7-3
Washington Nationals,Unknown,66,96,.407,30.0,-212,17.0,4-6
Milwaukee Brewers,Unknown,97,65,.599,-,172,-,4-6
Chicago Cubs,Unknown,92,70,.568,5.0,144,+9.0,4-6
Cincinnati Reds,Unknown,83,79,.512,14.0,35,-,7-3
St. Louis Cardinals,Unknown,78,84,.481,19.0,-65,5.0,4-6
Pittsburgh Pirates,Unknown,71,91,.438,26.0,-62,12.0,6-4
Los Angeles Dodgers,Unknown,93,69,.574,-,142,-,8-2
San Diego Padres,Unknown,90,72,.556,3.0,81,+7.0,7-3
San Francisco Giants,Unknown,81,81,.500,12.0,21,2.0,5-5
Arizona Diamondbacks,Unknown,80,82,.494,13.0,6,3.0,3-7
Colorado Rockies,Unknown,43,119,.265,50.0,-424,40.0,2-8
