team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,63,46,.578,-,22,-,5-5
New York Yankees,Unknown,58,49,.542,4.0,95,+1.5,5-5
Boston Red Sox,Unknown,58,51,.532,5.0,56,+0.5,5-5
Tampa Bay Rays,Unknown,54,54,.500,8.5,54,3.0,3-7
Baltimore Orioles,Unknown,50,58,.463,12.5,-66,7.0,6-4
Detroit Tigers,Unknown,63,46,.578,-,76,-,4-6
Cleveland Guardians,Unknown,53,54,.495,9.0,-34,3.5,6-4
Kansas City Royals,Unknown,53,55,.491,9.5,-19,4.0,6-4
Minnesota Twins,Unknown,51,56,.477,11.0,-21,5.5,4-6
Chicago White Sox,Unknown,39,69,.361,23.5,-70,18.0,6-4
Houston Astros,Unknown,61,47,.565,-,41,-,5-5
Seattle Mariners,Unknown,57,51,.528,4.0,17,-,4-6
Texas Rangers,Unknown,56,52,.519,5.0,69,1.0,7-3
Los Angeles Angels,Unknown,53,55,.491,8.0,-63,4.0,5-5
Athletics,Unknown,47,63,.427,15.0,-118,11.0,5-5
New York Mets,Unknown,62,46,.574,-,48,-,7-3
Philadelphia Phillies,Unknown,61,46,.570,0.5,73,+2.5,6-4
Miami Marlins,Unknown,51,55,.481,10.0,-49,7.0,6-4
Atlanta Braves,Unknown,45,61,.425,16.0,-23,13.0,2-8
Washington Nationals,Unknown,44,63,.411,17.5,-102,14.5,6-4
Milwaukee Brewers,Unknown,64,43,.598,-,102,-,7-3
Chicago Cubs,Unknown,62,45,.579,2.0,106,+3.5,4-6
Cincinnati Reds,Unknown,56,52,.519,8.5,41,3.0,5-5
St. Louis Cardinals,Unknown,55,54,.505,10.0,-7,4.5,4-6
Pittsburgh Pirates,Unknown,46,62,.426,18.5,-52,13.0,7-3
Los Angeles Dodgers,Unknown,63,45,.583,-,70,-,5-5
San Diego Padres,Unknown,59,49,.546,4.0,27,-,6-4
San Francisco Giants,Unknown,54,54,.500,9.0,6,5.0,2-8
Arizona Diamondbacks,Unknown,51,57,.472,12.0,-7,8.0,3-7
Colorado Rockies,Unknown,28,79,.262,34.5,-272,30.5,5-5
