team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,50,38,.568,-,10,-,8-2
New York Yankees,Unknown,48,40,.545,2.0,99,+2.0,3-7
Tampa Bay Rays,Unknown,48,40,.545,2.0,68,+2.0,5-5
Boston Red Sox,Unknown,44,45,.494,6.5,24,2.5,4-6
Baltimore Orioles,Unknown,38,49,.437,11.5,-86,7.5,5-5
Detroit Tigers,Unknown,55,34,.618,-,100,-,6-4
Minnesota Twins,Unknown,42,46,.477,12.5,-17,4.0,5-5
Kansas City Royals,Unknown,42,47,.472,13.0,-28,4.5,4-6
Cleveland Guardians,Unknown,40,46,.465,13.5,-53,5.0,1-9
Chicago White Sox,Unknown,29,59,.330,25.5,-89,17.0,4-6
Houston Astros,Unknown,53,35,.602,-,65,-,8-2
Seattle Mariners,Unknown,46,42,.523,7.0,20,-,5-5
Los Angeles Angels,Unknown,43,44,.494,9.5,-47,2.5,6-4
Texas Rangers,Unknown,43,45,.489,10.0,25,3.0,5-5
Athletics,Unknown,37,53,.411,17.0,-131,10.0,5-5
Philadelphia Phillies,Unknown,51,37,.580,-,49,-,4-6
New York Mets,Unknown,51,38,.573,0.5,40,+3.0,5-5
Miami Marlins,Unknown,39,47,.453,11.0,-71,7.5,8-2
Atlanta Braves,Unknown,39,48,.448,11.5,8,8.0,3-7
Washington Nationals,Unknown,37,51,.420,14.0,-77,10.5,5-5
Chicago Cubs,Unknown,53,35,.602,-,117,-,7-3
Milwaukee Brewers,Unknown,49,39,.557,4.0,57,+1.5,6-4
St. Louis Cardinals,Unknown,47,42,.528,6.5,24,1.0,4-6
Cincinnati Reds,Unknown,46,42,.523,7.0,38,1.5,6-4
Pittsburgh Pirates,Unknown,38,51,.427,15.5,-35,10.0,7-3
Los Angeles Dodgers,Unknown,56,33,.629,-,83,-,8-2
San Diego Padres,Unknown,47,40,.540,8.0,12,-,5-5
San Francisco Giants,Unknown,47,42,.528,9.0,21,1.0,3-7
Arizona Diamondbacks,Unknown,43,45,.489,12.5,-2,4.5,3-7
Colorado Rockies,Unknown,20,68,.227,35.5,-224,27.5,2-8
