Rk,Tm,W,L,W-L%,Strk,R,RA,Rdiff,SOS,SRS,pythWL,Luck,vEast,vCent,vWest,Inter,Home,Road,ExInn,1Run,vRHP,vLHP,≥.500,<.500,last10,last20,last30
1.0,New York Mets,44,24,0.647,W 5,4.6,3.3,1.4,-0.2,1.2,45-23,-1.0,11-4,9-4,13-6,11-10,26-7,18-17,4-3,14-10,34-17,10-7,23-15,21-9,8-2,15-5,20-10
2.0,Detroit Tigers,44,25,0.638,L 1,4.8,3.6,1.2,-0.1,1.2,44-25,0.0,11-3,13-8,7-6,13-8,23-9,21-16,2-4,12-7,31-21,13-4,23-18,21-7,6-4,12-8,18-12
3.0,New York Yankees,41,25,0.621,W 2,5.5,3.9,1.6,-0.1,1.6,43-23,-2.0,8-8,9-5,10-2,14-10,21-12,20-13,1-3,11-11,31-19,10-6,25-17,16-8,6-4,14-6,21-9
4.0,Chicago Cubs,41,27,0.603,L 1,5.5,4.0,1.5,-0.1,1.4,44-24,-3.0,9-9,8-4,15-11,9-3,20-11,21-16,3-4,9-5,31-17,10-10,22-22,19-5,5-5,13-7,19-11
5.0,Los Angeles Dodgers,41,28,0.594,W 1,5.5,4.5,1.0,0.0,1.0,41-28,0.0,15-10,6-7,9-4,11-7,23-11,18-17,6-3,11-9,32-17,9-11,21-18,20-10,5-5,11-9,15-15
6.0,San Francisco Giants,40,28,0.588,W 7,4.2,3.5,0.7,-0.2,0.6,40-28,0.0,9-4,8-5,8-7,15-12,22-11,18-17,5-3,17-12,32-16,8-12,19-22,21-6,8-2,12-8,16-14
7.0,Philadelphia Phillies,39,29,0.574,W 1,4.6,4.3,0.3,-0.2,0.1,36-32,3.0,9-9,9-12,13-4,8-4,21-13,18-16,5-4,12-8,30-17,9-12,18-19,21-10,3-7,9-11,17-13
8.0,San Diego Padres,38,29,0.567,L 1,4.2,3.8,0.4,-0.1,0.3,36-31,2.0,8-2,10-5,10-5,10-17,21-12,17-17,3-4,14-9,27-19,11-10,16-20,22-9,5-5,11-9,14-16
9.0,Toronto Blue Jays,38,30,0.559,W 3,4.4,4.3,0.1,0.0,0.1,34-34,4.0,10-12,4-5,11-8,13-5,22-13,16-17,5-2,11-8,29-24,9-6,14-19,24-11,8-2,14-6,20-10
10.0,Houston Astros,37,30,0.552,W 1,4.1,3.6,0.4,0.1,0.5,37-30,0.0,6-4,11-9,10-6,10-11,23-13,14-17,3-0,10-7,32-28,5-2,23-20,14-10,6-4,12-8,18-12
11.0,Minnesota Twins,36,31,0.537,W 1,4.3,3.8,0.4,-0.1,0.3,37-30,-1.0,10-5,10-12,9-6,7-8,20-11,16-20,3-4,7-10,31-27,5-4,16-21,20-10,5-5,10-10,19-11
12.0,St. Louis Cardinals,36,32,0.529,L 4,4.6,4.3,0.3,0.1,0.5,36-32,0.0,10-9,8-5,5-1,13-17,22-14,14-18,1-5,12-10,24-20,12-12,24-20,12-12,3-7,9-11,17-13
13.0,Tampa Bay Rays,36,32,0.529,L 2,4.4,3.7,0.7,0.0,0.7,39-29,-3.0,10-9,2-4,8-8,16-11,23-20,13-12,4-2,12-12,26-22,10-10,21-17,15-15,6-4,14-6,19-11
14.0,Cleveland Guardians,35,32,0.522,W 1,4.0,4.2,-0.2,0.1,-0.1,32-35,3.0,7-8,14-5,4-5,10-14,19-15,16-17,4-1,8-6,30-19,5-13,22-24,13-8,4-6,10-10,13-17
15.0,Milwaukee Brewers,36,33,0.522,L 1,4.3,4.1,0.2,0.1,0.3,36-33,0.0,4-2,9-8,5-8,18-15,20-14,16-19,3-2,10-9,23-24,13-9,22-25,14-8,5-5,12-8,17-13
16.0,Cincinnati Reds,35,34,0.507,L 1,4.5,4.0,0.5,-0.1,0.4,38-31,-3.0,3-7,10-13,9-3,13-11,18-16,17-18,1-5,7-10,27-20,8-14,20-18,15-16,6-4,10-10,16-14
17.0,Kansas City Royals,34,34,0.5,L 2,3.4,3.7,-0.3,0.1,-0.2,31-37,3.0,8-9,13-14,3-3,10-8,19-15,15-19,4-3,12-9,27-29,7-5,21-28,13-6,4-6,8-12,12-18
18.0,Arizona Diamondbacks,34,34,0.5,W 3,5.1,5.1,-0.1,0.2,0.1,34-34,0.0,13-11,6-13,7-6,8-4,18-17,16-17,3-5,10-12,25-24,9-10,17-24,17-10,7-3,8-12,14-16
19.0,Los Angeles Angels,33,34,0.493,W 3,4.3,5.0,-0.7,-0.1,-0.8,29-38,4.0,7-8,6-10,10-8,10-8,15-16,18-18,4-0,13-5,29-28,4-6,17-20,16-14,7-3,11-9,18-12
20.0,Seattle Mariners,33,34,0.493,L 3,4.3,4.6,-0.2,-0.2,-0.4,32-35,1.0,5-10,5-4,15-10,8-10,16-17,17-17,4-6,13-10,22-25,11-9,14-20,19-14,2-8,6-14,11-19
21.0,Boston Red Sox,34,36,0.486,W 2,4.9,4.7,0.3,0.0,0.3,37-33,-3.0,12-11,9-10,5-8,8-7,19-17,15-19,4-8,7-17,27-27,7-9,18-19,16-17,6-4,9-11,14-16
22.0,Texas Rangers,32,36,0.471,L 1,3.5,3.4,0.1,0.0,0.1,35-33,-3.0,8-11,4-4,8-12,12-9,20-13,12-23,0-0,9-13,26-26,6-10,16-20,16-16,4-6,7-13,14-16
23.0,Washington Nationals,30,37,0.448,L 4,4.2,5.0,-0.9,0.0,-0.9,28-39,2.0,8-13,4-9,9-6,9-9,15-18,15-19,2-2,11-8,22-26,8-11,15-24,15-13,3-7,10-10,13-17
24.0,Atlanta Braves,29,38,0.433,W 1,4.1,3.9,0.1,0.0,0.2,35-32,-6.0,7-7,8-5,6-19,8-7,17-14,12-24,5-2,9-19,23-31,6-7,19-28,10-10,2-8,5-15,11-19
25.0,Baltimore Orioles,27,39,0.409,W 1,3.9,5.2,-1.2,0.0,-1.2,25-41,2.0,8-8,8-15,6-3,5-13,13-18,14-21,1-2,9-8,23-25,4-14,14-27,13-12,7-3,12-8,14-16
26.0,Pittsburgh Pirates,28,41,0.406,W 1,3.3,4.0,-0.8,0.2,-0.6,28-41,0.0,12-11,7-12,4-8,5-10,19-19,9-22,3-3,13-14,22-31,6-10,18-34,10-7,6-4,12-8,15-15
27.0,Miami Marlins,25,41,0.379,L 1,4.0,5.4,-1.4,0.1,-1.3,24-42,1.0,6-8,8-8,3-15,8-10,14-20,11-21,4-3,10-13,18-31,7-10,13-26,12-15,2-8,6-14,11-19
28.0,Athletics,26,44,0.371,L 3,4.3,6.0,-1.7,-0.1,-1.8,25-45,1.0,3-7,6-4,8-15,9-18,12-23,14-21,3-3,8-12,20-37,6-7,7-27,19-17,3-7,4-16,5-25
29.0,Chicago White Sox,23,45,0.338,L 1,3.5,4.4,-0.8,0.0,-0.8,27-41,-4.0,3-7,6-17,8-12,6-9,16-18,7-27,2-2,4-16,17-36,6-9,13-27,10-18,5-5,9-11,13-17
30.0,Colorado Rockies,12,55,0.179,L 5,3.2,6.2,-3.0,0.3,-2.7,15-52,-3.0,5-17,1-8,3-15,3-15,6-27,6-28,0-4,6-12,11-36,1-19,6-46,6-9,3-7,4-16,6-24
,Average,33,33,0.5,,4.3,4.3,,,,34-33,,8-8,7-8,8-7,10-10,18-15,15-18,3-3,10-10,26-24,7-9,17-22,16-11,5-5,9-10,15-15
