team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,73,52,.584,-,53,-,6-4
Boston Red Sox,Unknown,68,57,.544,5.0,94,+0.5,4-6
New York Yankees,Unknown,67,57,.540,5.5,99,-,7-3
Tampa Bay Rays,Unknown,61,64,.488,12.0,39,6.5,5-5
Baltimore Orioles,Unknown,57,67,.460,15.5,-68,10.0,6-4
Detroit Tigers,Unknown,73,53,.579,-,80,-,7-3
Cleveland Guardians,Unknown,63,60,.512,8.5,-34,3.5,5-5
Kansas City Royals,Unknown,63,61,.508,9.0,-4,4.0,7-3
Minnesota Twins,Unknown,58,66,.468,14.0,-37,9.0,4-6
Chicago White Sox,Unknown,44,80,.355,28.0,-84,23.0,2-8
Houston Astros,Unknown,69,55,.556,-,27,-,5-5
Seattle Mariners,Unknown,68,57,.544,1.5,31,+0.5,6-4
Texas Rangers,Unknown,62,63,.496,7.5,50,5.5,2-8
Los Angeles Angels,Unknown,60,64,.484,9.0,-71,7.0,5-5
Athletics,Unknown,56,70,.444,14.0,-95,12.0,6-4
Philadelphia Phillies,Unknown,71,53,.573,-,83,-,6-4
New York Mets,Unknown,66,58,.532,5.0,36,-,3-7
Miami Marlins,Unknown,59,65,.476,12.0,-58,7.0,3-7
Atlanta Braves,Unknown,56,68,.452,15.0,-8,10.0,8-2
Washington Nationals,Unknown,50,74,.403,21.0,-151,16.0,5-5
Milwaukee Brewers,Unknown,78,45,.634,-,161,-,9-1
Chicago Cubs,Unknown,70,53,.569,8.0,117,+4.5,5-5
Cincinnati Reds,Unknown,65,60,.520,14.0,49,1.5,5-5
St. Louis Cardinals,Unknown,61,64,.488,18.0,-30,5.5,4-6
Pittsburgh Pirates,Unknown,52,73,.416,27.0,-87,14.5,3-7
Los Angeles Dodgers,Unknown,71,53,.573,-,88,-,5-5
San Diego Padres,Unknown,69,55,.556,2.0,44,+3.0,6-4
San Francisco Giants,Unknown,60,64,.484,11.0,-2,6.0,3-7
Arizona Diamondbacks,Unknown,60,65,.480,11.5,5,6.5,6-4
Colorado Rockies,Unknown,35,89,.282,36.0,-327,31.0,5-5
