team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,73,53,.579,-,50,-,5-5
New York Yankees,Unknown,67,57,.540,5.0,99,-,7-3
Boston Red Sox,Unknown,68,58,.540,5.0,91,-,4-6
Tampa Bay Rays,Unknown,61,64,.488,11.5,39,6.5,5-5
Baltimore Orioles,Unknown,58,67,.464,14.5,-65,9.5,6-4
Detroit Tigers,Unknown,74,53,.583,-,90,-,7-3
Cleveland Guardians,Unknown,64,60,.516,8.5,-32,3.0,5-5
Kansas City Royals,Unknown,64,61,.512,9.0,-3,3.5,7-3
Minnesota Twins,Unknown,58,66,.468,14.5,-37,9.0,4-6
Chicago White Sox,Unknown,45,80,.360,28.0,-80,22.5,3-7
Houston Astros,Unknown,69,56,.552,-,17,-,5-5
Seattle Mariners,Unknown,68,58,.540,1.5,26,-,5-5
Texas Rangers,Unknown,62,64,.492,7.5,49,6.0,2-8
Los Angeles Angels,Unknown,60,65,.480,9.0,-74,7.5,5-5
Athletics,Unknown,56,70,.444,13.5,-95,12.0,6-4
Philadelphia Phillies,Unknown,72,53,.576,-,88,-,6-4
New York Mets,Unknown,66,58,.532,5.5,36,-,3-7
Miami Marlins,Unknown,59,66,.472,13.0,-63,7.5,2-8
Atlanta Braves,Unknown,56,69,.448,16.0,-12,10.5,8-2
Washington Nationals,Unknown,50,74,.403,21.5,-151,16.0,5-5
Milwaukee Brewers,Unknown,79,45,.637,-,168,-,9-1
Chicago Cubs,Unknown,70,54,.565,9.0,110,+4.0,4-6
Cincinnati Reds,Unknown,66,60,.524,14.0,52,1.0,6-4
St. Louis Cardinals,Unknown,62,64,.492,18.0,-25,5.0,4-6
Pittsburgh Pirates,Unknown,53,73,.421,27.0,-84,14.0,3-7
Los Angeles Dodgers,Unknown,71,54,.568,-,87,-,5-5
San Diego Padres,Unknown,69,56,.552,2.0,43,+2.5,5-5
San Francisco Giants,Unknown,61,64,.488,10.0,-1,5.5,3-7
Arizona Diamondbacks,Unknown,60,66,.476,11.5,3,7.0,5-5
Colorado Rockies,Unknown,36,89,.288,35.0,-326,30.5,6-4
