team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,76,55,.580,-,55,-,6-4
Boston Red Sox,Unknown,71,60,.542,5.0,100,+1.0,5-5
New York Yankees,Unknown,70,60,.538,5.5,101,+0.5,6-4
Tampa Bay Rays,Unknown,63,67,.485,12.5,33,6.5,5-5
Baltimore Orioles,Unknown,60,70,.462,15.5,-72,9.5,6-4
Detroit Tigers,Unknown,78,54,.591,-,98,-,8-2
Kansas City Royals,Unknown,67,64,.511,10.5,-3,3.0,7-3
Cleveland Guardians,Unknown,64,65,.496,12.5,-50,5.0,2-8
Minnesota Twins,Unknown,59,71,.454,18.0,-57,10.5,2-8
Chicago White Sox,Unknown,47,83,.362,30.0,-72,22.5,3-7
Houston Astros,Unknown,72,59,.550,-,19,-,4-6
Seattle Mariners,Unknown,70,61,.534,2.0,22,-,3-7
Texas Rangers,Unknown,66,66,.500,6.5,63,4.5,5-5
Los Angeles Angels,Unknown,61,69,.469,10.5,-88,8.5,3-7
Athletics,Unknown,60,72,.455,12.5,-92,10.5,6-4
Philadelphia Phillies,Unknown,76,54,.585,-,101,-,7-3
New York Mets,Unknown,69,61,.531,7.0,47,-,5-5
Miami Marlins,Unknown,61,69,.469,15.0,-64,8.0,3-7
Atlanta Braves,Unknown,59,71,.454,17.0,-21,10.0,7-3
Washington Nationals,Unknown,53,77,.408,23.0,-153,16.0,5-5
Milwaukee Brewers,Unknown,81,50,.618,-,159,-,4-6
Chicago Cubs,Unknown,76,55,.580,5.0,126,+6.5,8-2
Cincinnati Reds,Unknown,68,63,.519,13.0,48,1.5,5-5
St. Louis Cardinals,Unknown,64,67,.489,17.0,-32,5.5,3-7
Pittsburgh Pirates,Unknown,57,74,.435,24.0,-70,12.5,6-4
Los Angeles Dodgers,Unknown,74,57,.565,-,94,+4.5,6-4
San Diego Padres,Unknown,74,57,.565,-,57,+4.5,5-5
Arizona Diamondbacks,Unknown,64,67,.489,10.0,10,5.5,5-5
San Francisco Giants,Unknown,63,68,.481,11.0,-10,6.5,4-6
Colorado Rockies,Unknown,37,94,.282,37.0,-349,32.5,5-5
