team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,61,42,.592,-,39,-,7-3
New York Yankees,Unknown,56,46,.549,4.5,106,+2.0,5-5
Boston Red Sox,Unknown,55,49,.529,6.5,54,-,6-4
Tampa Bay Rays,Unknown,53,50,.515,8.0,64,1.5,3-7
Baltimore Orioles,Unknown,45,57,.441,15.5,-107,9.0,3-7
Detroit Tigers,Unknown,60,44,.577,-,65,-,1-9
Cleveland Guardians,Unknown,51,51,.500,8.0,-35,3.0,7-3
Kansas City Royals,Unknown,50,53,.485,9.5,-22,4.5,5-5
Minnesota Twins,Unknown,49,53,.480,10.0,-9,5.0,4-6
Chicago White Sox,Unknown,37,66,.359,22.5,-72,17.5,6-4
Houston Astros,Unknown,60,43,.583,-,61,-,5-5
Seattle Mariners,Unknown,55,48,.534,5.0,19,+0.5,7-3
Texas Rangers,Unknown,53,50,.515,7.0,61,1.5,8-2
Los Angeles Angels,Unknown,49,54,.476,11.0,-67,5.5,4-6
Athletics,Unknown,43,62,.410,18.0,-143,12.5,4-6
New York Mets,Unknown,59,44,.573,-,45,-,6-4
Philadelphia Phillies,Unknown,58,44,.569,0.5,63,+3.5,5-5
Miami Marlins,Unknown,48,53,.475,10.0,-54,6.0,6-4
Atlanta Braves,Unknown,44,57,.436,14.0,-10,10.0,4-6
Washington Nationals,Unknown,41,61,.402,17.5,-110,13.5,3-7
Milwaukee Brewers,Unknown,61,41,.598,-,98,-,9-1
Chicago Cubs,Unknown,60,42,.588,1.0,117,+5.5,6-4
Cincinnati Reds,Unknown,53,50,.515,8.5,35,2.0,6-4
St. Louis Cardinals,Unknown,53,51,.510,9.0,-2,2.5,3-7
Pittsburgh Pirates,Unknown,42,61,.408,19.5,-62,13.0,4-6
Los Angeles Dodgers,Unknown,60,43,.583,-,66,-,4-6
San Diego Padres,Unknown,55,48,.534,5.0,14,-,5-5
San Francisco Giants,Unknown,54,49,.524,6.0,19,1.0,3-7
Arizona Diamondbacks,Unknown,50,53,.485,10.0,14,5.0,4-6
Colorado Rockies,Unknown,26,76,.255,33.5,-247,28.5,5-5
