team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,64,46,.582,-,23,-,5-5
New York Yankees,Unknown,59,49,.546,4.0,96,+2.5,5-5
Boston Red Sox,Unknown,59,51,.536,5.0,68,+1.5,6-4
Tampa Bay Rays,Unknown,54,55,.495,9.5,53,3.0,2-8
Baltimore Orioles,Unknown,50,59,.459,13.5,-67,7.0,6-4
Detroit Tigers,Unknown,64,46,.582,-,81,-,4-6
Cleveland Guardians,Unknown,54,54,.500,9.0,-29,2.5,6-4
Kansas City Royals,Unknown,54,55,.495,9.5,-18,3.0,7-3
Minnesota Twins,Unknown,51,57,.472,12.0,-33,5.5,4-6
Chicago White Sox,Unknown,40,69,.367,23.5,-64,17.0,6-4
Houston Astros,Unknown,62,47,.569,-,49,-,5-5
Seattle Mariners,Unknown,57,52,.523,5.0,16,-,4-6
Texas Rangers,Unknown,57,52,.523,5.0,72,-,7-3
Los Angeles Angels,Unknown,53,56,.486,9.0,-66,4.0,4-6
Athletics,Unknown,48,63,.432,15.0,-117,10.0,6-4
New York Mets,Unknown,62,47,.569,-,43,-,7-3
Philadelphia Phillies,Unknown,61,47,.565,0.5,67,+1.5,5-5
Miami Marlins,Unknown,52,55,.486,9.0,-47,7.0,6-4
Atlanta Braves,Unknown,45,62,.421,16.0,-24,14.0,2-8
Washington Nationals,Unknown,44,64,.407,17.5,-110,15.5,5-5
Milwaukee Brewers,Unknown,64,44,.593,-,95,-,6-4
Chicago Cubs,Unknown,63,45,.583,1.0,113,+3.5,4-6
Cincinnati Reds,Unknown,57,52,.523,7.5,44,3.0,5-5
St. Louis Cardinals,Unknown,55,55,.500,10.0,-9,5.5,4-6
Pittsburgh Pirates,Unknown,47,62,.431,17.5,-51,13.0,8-2
Los Angeles Dodgers,Unknown,63,46,.578,-,67,-,5-5
San Diego Padres,Unknown,60,49,.550,3.0,32,-,6-4
San Francisco Giants,Unknown,54,55,.495,9.0,5,6.0,2-8
Arizona Diamondbacks,Unknown,51,58,.468,12.0,-12,9.0,2-8
Colorado Rockies,Unknown,28,80,.259,34.5,-277,31.5,4-6
