team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,79,58,.577,-,56,-,5-5
New York Yankees,Unknown,76,61,.555,3.0,134,+3.0,7-3
Boston Red Sox,Unknown,76,62,.551,3.5,102,+2.5,7-3
Tampa Bay Rays,Unknown,67,69,.493,11.5,47,5.5,6-4
Baltimore Orioles,Unknown,61,76,.445,18.0,-88,12.0,2-8
Detroit Tigers,Unknown,80,58,.580,-,90,-,5-5
Kansas City Royals,Unknown,70,67,.511,9.5,-3,3.0,5-5
Cleveland Guardians,Unknown,68,67,.504,10.5,-55,4.0,4-6
Minnesota Twins,Unknown,62,74,.456,17.0,-63,10.5,4-6
Chicago White Sox,Unknown,49,88,.358,30.5,-92,24.0,4-6
Houston Astros,Unknown,75,62,.547,-,15,-,6-4
Seattle Mariners,Unknown,73,64,.533,2.0,25,-,5-5
Texas Rangers,Unknown,71,67,.514,4.5,92,2.5,8-2
Los Angeles Angels,Unknown,64,72,.471,10.5,-101,8.5,4-6
Athletics,Unknown,63,75,.457,12.5,-91,10.5,5-5
Philadelphia Phillies,Unknown,79,58,.577,-,99,-,5-5
New York Mets,Unknown,73,64,.533,6.0,64,-,6-4
Miami Marlins,Unknown,65,72,.474,14.0,-83,8.0,5-5
Atlanta Braves,Unknown,62,75,.453,17.0,-17,11.0,4-6
Washington Nationals,Unknown,53,83,.390,25.5,-180,19.5,2-8
Milwaukee Brewers,Unknown,85,53,.616,-,163,-,5-5
Chicago Cubs,Unknown,78,59,.569,6.5,117,+5.0,5-5
Cincinnati Reds,Unknown,69,68,.504,15.5,33,4.0,2-8
St. Louis Cardinals,Unknown,68,70,.493,17.0,-33,5.5,5-5
Pittsburgh Pirates,Unknown,61,77,.442,24.0,-62,12.5,7-3
Los Angeles Dodgers,Unknown,78,59,.569,-,101,-,6-4
San Diego Padres,Unknown,76,61,.555,2.0,55,+3.0,5-5
San Francisco Giants,Unknown,68,69,.496,10.0,11,5.0,7-3
Arizona Diamondbacks,Unknown,68,70,.493,10.5,17,5.5,6-4
Colorado Rockies,Unknown,39,98,.285,39.0,-353,34.0,2-8
