team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,74,53,.583,-,54,-,6-4
New York Yankees,Unknown,68,57,.544,5.0,109,+1.0,7-3
Boston Red Sox,Unknown,68,59,.535,6.0,90,-,3-7
Tampa Bay Rays,Unknown,61,65,.484,12.5,29,6.5,4-6
Baltimore Orioles,Unknown,59,67,.468,14.5,-64,8.5,6-4
Detroit Tigers,Unknown,75,53,.586,-,91,-,8-2
Kansas City Royals,Unknown,65,61,.516,9.0,0,2.5,8-2
Cleveland Guardians,Unknown,64,61,.512,9.5,-33,3.0,4-6
Minnesota Twins,Unknown,58,67,.464,15.5,-40,9.0,3-7
Chicago White Sox,Unknown,45,81,.357,29.0,-81,22.5,3-7
Houston Astros,Unknown,69,57,.548,-,16,-,4-6
Seattle Mariners,Unknown,68,59,.535,1.5,24,-,4-6
Texas Rangers,Unknown,62,65,.488,7.5,46,6.0,2-8
Los Angeles Angels,Unknown,60,66,.476,9.0,-76,7.5,5-5
Athletics,Unknown,57,70,.449,12.5,-92,11.0,6-4
Philadelphia Phillies,Unknown,73,53,.579,-,90,-,6-4
New York Mets,Unknown,67,58,.536,5.5,43,-,4-6
Miami Marlins,Unknown,59,67,.468,14.0,-66,8.5,2-8
Atlanta Braves,Unknown,57,69,.452,16.0,-11,10.5,8-2
Washington Nationals,Unknown,50,75,.400,22.5,-158,17.0,5-5
Milwaukee Brewers,Unknown,79,47,.627,-,163,-,7-3
Chicago Cubs,Unknown,72,54,.571,7.0,115,+4.5,5-5
Cincinnati Reds,Unknown,67,60,.528,12.5,54,1.0,7-3
St. Louis Cardinals,Unknown,63,64,.496,16.5,-22,5.0,4-6
Pittsburgh Pirates,Unknown,53,74,.417,26.5,-88,15.0,2-8
Los Angeles Dodgers,Unknown,72,54,.571,-,94,-,5-5
San Diego Padres,Unknown,70,56,.556,2.0,47,+2.5,6-4
San Francisco Giants,Unknown,61,65,.484,11.0,-5,6.5,2-8
Arizona Diamondbacks,Unknown,61,66,.480,11.5,4,7.0,5-5
Colorado Rockies,Unknown,36,90,.286,36.0,-333,31.5,6-4
