team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,54,38,.587,-,21,-,10-0
New York Yankees,Unknown,50,41,.549,3.5,102,+2.0,3-7
Tampa Bay Rays,Unknown,49,43,.533,5.0,63,+0.5,3-7
Boston Red Sox,Unknown,48,45,.516,6.5,47,1.0,8-2
Baltimore Orioles,Unknown,40,50,.444,13.0,-83,7.5,6-4
Detroit Tigers,Unknown,59,34,.634,-,112,-,8-2
Kansas City Royals,Unknown,45,48,.484,14.0,-23,4.0,6-4
Minnesota Twins,Unknown,44,47,.484,14.0,-11,4.0,5-5
Cleveland Guardians,Unknown,42,48,.467,15.5,-53,5.5,2-8
Chicago White Sox,Unknown,30,62,.326,28.5,-93,18.5,4-6
Houston Astros,Unknown,55,37,.598,-,65,-,6-4
Seattle Mariners,Unknown,48,43,.527,6.5,15,-,6-4
Texas Rangers,Unknown,45,47,.489,10.0,36,3.5,5-5
Los Angeles Angels,Unknown,44,47,.484,10.5,-60,4.0,4-6
Athletics,Unknown,38,55,.409,17.5,-131,11.0,5-5
New York Mets,Unknown,53,39,.576,-,45,+2.5,5-5
Philadelphia Phillies,Unknown,53,39,.576,-,52,+2.5,5-5
Miami Marlins,Unknown,42,48,.467,10.0,-57,7.5,7-3
Atlanta Braves,Unknown,39,51,.433,13.0,-5,10.5,2-8
Washington Nationals,Unknown,37,54,.407,15.5,-88,13.0,4-6
Chicago Cubs,Unknown,54,37,.593,-,119,-,6-4
Milwaukee Brewers,Unknown,52,40,.565,2.5,67,+1.5,6-4
St. Louis Cardinals,Unknown,49,43,.533,5.5,17,1.5,5-5
Cincinnati Reds,Unknown,46,46,.500,8.5,18,4.5,3-7
Pittsburgh Pirates,Unknown,38,55,.409,17.0,-44,13.0,5-5
Los Angeles Dodgers,Unknown,56,37,.602,-,67,-,4-6
San Francisco Giants,Unknown,51,42,.548,5.0,33,-,6-4
San Diego Padres,Unknown,49,42,.538,6.0,10,1.0,5-5
Arizona Diamondbacks,Unknown,45,47,.489,10.5,2,5.5,4-6
Colorado Rockies,Unknown,21,71,.228,34.5,-243,29.5,3-7
