team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,82,59,.582,-,68,-,6-4
New York Yankees,Unknown,78,63,.553,4.0,137,+5.0,7-3
Boston Red Sox,Unknown,78,64,.549,4.5,96,+4.5,6-4
Tampa Bay Rays,Unknown,71,70,.504,11.0,57,2.0,7-3
Baltimore Orioles,Unknown,65,76,.461,17.0,-80,8.0,5-5
Detroit Tigers,Unknown,81,61,.570,-,83,-,3-7
Kansas City Royals,Unknown,72,69,.511,8.5,-6,1.0,5-5
Cleveland Guardians,Unknown,70,70,.500,10.0,-50,2.5,6-4
Minnesota Twins,Unknown,62,79,.440,18.5,-78,11.0,3-7
Chicago White Sox,Unknown,54,88,.380,27.0,-76,19.5,6-4
Houston Astros,Unknown,77,65,.542,-,10,-,5-5
Seattle Mariners,Unknown,73,68,.518,3.5,8,-,3-7
Texas Rangers,Unknown,73,69,.514,4.0,91,0.5,7-3
Los Angeles Angels,Unknown,66,75,.468,10.5,-108,7.0,4-6
Athletics,Unknown,65,77,.458,12.0,-82,8.5,5-5
Philadelphia Phillies,Unknown,82,59,.582,-,106,-,6-4
New York Mets,Unknown,76,65,.539,6.0,70,-,6-4
Miami Marlins,Unknown,65,76,.461,17.0,-99,11.0,3-7
Atlanta Braves,Unknown,64,77,.454,18.0,-12,12.0,5-5
Washington Nationals,Unknown,56,84,.400,25.5,-176,19.5,3-7
Milwaukee Brewers,Unknown,87,55,.613,-,165,-,5-5
Chicago Cubs,Unknown,81,60,.574,5.5,121,+5.0,5-5
Cincinnati Reds,Unknown,70,71,.496,16.5,26,6.0,2-8
St. Louis Cardinals,Unknown,70,72,.493,17.0,-42,6.5,5-5
Pittsburgh Pirates,Unknown,64,78,.451,23.0,-58,12.5,7-3
Los Angeles Dodgers,Unknown,78,63,.553,-,93,-,4-6
San Diego Padres,Unknown,76,65,.539,2.0,45,-,2-8
San Francisco Giants,Unknown,72,69,.511,6.0,28,4.0,9-1
Arizona Diamondbacks,Unknown,71,71,.500,7.5,24,5.5,7-3
Colorado Rockies,Unknown,40,101,.284,38.0,-361,36.0,3-7
