team,division,wins,losses,winPct,gamesBack,runDiff,wildCardGB,lastTen
Toronto Blue Jays,Unknown,70,50,.583,-,48,-,6-4
Boston Red Sox,Unknown,66,55,.545,4.5,96,+1.5,6-4
New York Yankees,Unknown,64,56,.533,6.0,93,-,4-6
Tampa Bay Rays,Unknown,58,63,.479,12.5,37,6.5,4-6
Baltimore Orioles,Unknown,53,66,.445,16.5,-89,10.5,3-7
Detroit Tigers,Unknown,69,52,.570,-,75,-,5-5
Cleveland Guardians,Unknown,62,56,.525,5.5,-18,1.0,8-2
Kansas City Royals,Unknown,60,60,.500,8.5,-13,4.0,5-5
Minnesota Twins,Unknown,56,63,.471,12.0,-36,7.5,5-5
Chicago White Sox,Unknown,44,76,.367,24.5,-73,20.0,3-7
Houston Astros,Unknown,67,53,.558,-,42,+3.0,5-5
Seattle Mariners,Unknown,67,53,.558,-,38,+3.0,9-1
Texas Rangers,Unknown,61,60,.504,6.5,59,3.5,4-6
Los Angeles Angels,Unknown,58,62,.483,9.0,-66,6.0,5-5
Athletics,Unknown,54,68,.443,14.0,-95,11.0,5-5
Philadelphia Phillies,Unknown,69,50,.580,-,88,-,7-3
New York Mets,Unknown,64,55,.538,5.0,38,-,2-8
Miami Marlins,Unknown,57,62,.479,12.0,-61,7.0,3-7
Atlanta Braves,Unknown,51,68,.429,18.0,-26,13.0,5-5
Washington Nationals,Unknown,47,72,.395,22.0,-149,17.0,3-7
Milwaukee Brewers,Unknown,75,44,.630,-,152,-,10-0
Chicago Cubs,Unknown,67,51,.568,7.5,113,+3.5,4-6
Cincinnati Reds,Unknown,63,58,.521,13.0,43,2.0,5-5
St. Louis Cardinals,Unknown,61,60,.504,15.0,-20,4.0,6-4
Pittsburgh Pirates,Unknown,51,70,.421,25.0,-78,14.0,4-6
Los Angeles Dodgers,Unknown,68,52,.567,-,81,+3.5,4-6
San Diego Padres,Unknown,68,52,.567,-,42,+3.5,7-3
San Francisco Giants,Unknown,59,61,.492,9.0,4,5.5,4-6
Arizona Diamondbacks,Unknown,58,62,.483,10.0,2,6.5,7-3
Colorado Rockies,Unknown,31,88,.261,36.5,-327,33.0,2-8
