Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-07-26,New York Yankees,Marcus Stroman,5.64,1.48,30.1,19,.273,121,3.91,1.23,879.1,886,3299,Philadelphia Phillies,Ranger Suárez,2.66,1.16,88.0,82,.232,328,3.83,1.26,831.1,877,3174
2025-07-26,Kansas City Royals,Michael Wacha,3.62,1.24,112.0,85,.246,426,3.48,1.22,802.1,748,3016,Cleveland Guardians,Gavin Williams,3.54,1.38,104.1,106,.223,385,3.97,1.31,802.0,749,3026
2025-07-26,Kansas City Royals,Kris Bubic,2.38,1.14,113.2,115,.226,421,3.66,1.23,800.9,718,3021,Cleveland Guardians,Tanner Bibee,4.27,1.22,116.0,99,.246,439,3.87,1.33,790.1,756,2972
2025-07-26,Detroit Tigers,Tarik Skubal,2.19,0.81,127.2,164,.192,459,4.06,1.31,802.9,735,3060,Toronto Blue Jays,Kevin Gausman,4.01,1.14,116.2,112,.224,433,4.08,1.25,808.0,814,3046
2025-07-26,Pittsburgh Pirates,Andrew Heaney,5.03,1.31,102.0,74,.254,390,3.64,1.2,816.2,712,3049,Arizona Diamondbacks,Merrill Kelly,3.32,1.06,122.0,118,.205,449,4.7,1.36,805.2,755,3114
2025-07-26,Cincinnati Reds,Andrew Abbott,2.13,1.09,97.1,88,.223,364,4.1,1.26,820.1,759,3097,Tampa Bay Rays,Ryan Pepiot,3.59,1.16,120.1,118,.229,441,3.92,1.22,804.1,743,3032
2025-07-26,Baltimore Orioles,Trevor Rogers,1.74,0.87,41.1,35,.163,147,5.14,1.45,863.0,809,3387,Colorado Rockies,Antonio Senzatela,6.41,1.83,98.1,52,.348,420,5.38,1.54,802.9,625,3186
2025-07-26,Texas Rangers,Kumar Rocker,5.66,1.4,55.2,48,.273,220,2.99,1.14,868.9,790,3209,Atlanta Braves,Grant Holmes,3.81,1.32,111.0,121,.230,408,4.13,1.26,791.2,808,2974
2025-07-26,Houston Astros,Hunter Brown,2.57,0.99,119.0,144,.195,421,3.88,1.22,807.0,852,3034,Athletics,Jacob Lopez,4.6,1.34,60.2,75,.243,235,5.22,1.43,877.8,773,3414
2025-07-26,Minnesota Twins,Joe Ryan,2.63,0.9,116.1,132,.197,417,4.35,1.3,786.1,744,3043,Washington Nationals,Mitchell Parker,5.0,1.4,108.0,70,.260,423,5.18,1.41,797.1,714,3089
2025-07-26,Chicago White Sox,Aaron Civale,4.76,1.4,58.2,42,.259,228,4.03,1.38,847.0,713,3223,Chicago Cubs,Cade Horton,4.04,1.36,62.1,47,.270,237,3.91,1.22,855.1,725,3237
2025-07-26,Milwaukee Brewers,Jose Quintana,3.49,1.31,77.1,53,.241,291,3.6,1.22,838.0,842,3129,Miami Marlins,Janson Junk,3.09,1.03,55.1,39,.252,206,4.54,1.32,853.9,760,3270
2025-07-26,Boston Red Sox,Garrett Crochet,2.19,1.06,135.1,165,.216,501,4.07,1.33,805.1,710,3060,Los Angeles Dodgers,Clayton Kershaw,3.27,1.25,55.0,37,.255,208,4.32,1.32,874.1,879,3309
2025-07-26,St. Louis Cardinals,Matthew Liberatore,4.13,1.25,100.1,80,.263,392,4.2,1.29,827.1,690,3178,San Diego Padres,Randy Vásquez,3.73,1.41,99.0,50,.249,374,3.61,1.22,818.0,828,3049
2025-07-26,San Francisco Giants,Robbie Ray,2.92,1.13,123.1,131,.202,446,3.75,1.29,795.1,752,3020,New York Mets,David Peterson,2.9,1.22,115.0,97,.237,430,3.64,1.31,808.1,793,3043
2025-07-26,Los Angeles Angels,Tyler Anderson,4.43,1.41,107.2,86,.255,424,4.67,1.43,814.8,729,3124,Seattle Mariners,George Kirby,4.65,1.13,60.0,59,.243,226,3.84,1.27,884.2,819,3351
