Date,Home Team,Home Starter,Home ERA,Home WHIP,Home IP,Home SO,Home AVG,Home AB,Home BP ERA,Home BP WHIP,Home BP IP,Home BP SO,Home BP AB,Away Team,Away Starter,Away ERA,Away WHIP,Away IP,Away SO,Away AVG,Away AB,Away BP ERA,Away BP WHIP,Away BP IP,Away BP SO,Away BP AB
2025-08-10,Minnesota Twins,José Ureña,5.24,1.52,22.1,13,.301,93,4.24,1.26,995.9,965,3828,Kansas City Royals,Ryan Bergert,2.83,1.11,41.1,36,.177,147,3.64,1.25,998.0,886,3776
2025-08-10,Baltimore Orioles,Cade Povich,5.25,1.45,70.1,75,.280,279,4.84,1.41,956.0,884,3726,Athletics,Luis Morales,4.5,2.0,2.0,0,.429,7,4.93,1.38,1051.1,958,4049
2025-08-10,Pittsburgh Pirates,Mike Burrows,4.45,1.29,62.2,63,.239,238,3.78,1.2,981.8,847,3687,Cincinnati Reds,Zack Littell,3.46,1.1,140.1,97,.247,531,3.92,1.26,901.1,878,3392
2025-08-10,Atlanta Braves,Joey Wentz,5.34,1.45,57.1,52,.253,221,4.18,1.27,978.1,983,3679,Miami Marlins,Cal Quantrill,5.21,1.37,102.0,79,.278,400,4.41,1.3,937.1,845,3577
2025-08-10,New York Yankees,Max Fried,2.78,1.07,139.0,132,.218,524,4.22,1.29,896.2,905,3378,Houston Astros,Jason Alexander,5.97,1.61,31.2,26,.279,129,3.64,1.18,1008.8,1092,3755
2025-08-10,Detroit Tigers,Casey Mize,3.5,1.29,100.1,88,.263,392,3.89,1.22,945.0,919,3560,Los Angeles Angels,Jack Kochanowicz,5.85,1.63,104.2,70,.293,403,4.45,1.4,933.8,859,3586
2025-08-10,Chicago White Sox,Davis Martin,4.11,1.29,96.1,68,.261,368,4.17,1.38,925.0,817,3512,Cleveland Guardians,Slade Cecconi,3.72,1.19,82.1,69,.240,312,3.81,1.3,951.1,913,3563
2025-08-10,Milwaukee Brewers,Quinn Priester,3.15,1.19,114.1,93,.228,429,3.67,1.25,918.0,917,3428,New York Mets,Sean Manaea,3.52,0.96,23.0,25,.209,86,3.67,1.32,1015.0,971,3838
2025-08-10,Texas Rangers,Patrick Corbin,3.91,1.31,112.2,96,.260,434,3.2,1.15,936.9,872,3453,Philadelphia Phillies,Zack Wheeler,2.64,0.92,139.2,182,.198,506,3.89,1.28,893.9,878,3436
2025-08-10,San Francisco Giants,Justin Verlander,4.29,1.45,94.1,81,.273,373,3.55,1.25,941.9,918,3540,Washington Nationals,MacKenzie Gore,4.29,1.37,126.0,148,.263,480,5.49,1.46,893.1,731,3512
2025-08-10,Arizona Diamondbacks,Brandon Pfaadt,5.02,1.31,122.0,102,.270,489,4.48,1.34,918.2,857,3526,Colorado Rockies,Tanner Gordon,6.59,1.78,28.2,16,.347,124,6.0,1.62,983.9,741,3971
2025-08-10,San Diego Padres,Dylan Cease,4.6,1.3,123.1,162,.238,470,3.5,1.21,912.9,835,3374,Boston Red Sox,Brayan Bello,3.03,1.28,116.0,88,.245,432,3.79,1.3,942.0,882,3570
2025-08-10,Seattle Mariners,Bryan Woo,3.02,0.94,140.0,136,.206,514,3.93,1.27,931.2,870,3521,Tampa Bay Rays,Adrian Houser,2.54,1.29,74.1,50,.264,276,3.99,1.2,970.1,945,3647
2025-08-10,Los Angeles Dodgers,Tyler Glasnow,3.06,1.09,47.0,56,.168,167,4.15,1.32,995.1,982,3779,Toronto Blue Jays,Eric Lauer,2.59,0.98,80.0,79,.205,292,4.42,1.27,965.2,968,3660
2025-08-10,St. Louis Cardinals,Sonny Gray,4.21,1.17,128.1,141,.259,498,4.22,1.31,913.1,710,3522,Chicago Cubs,Shota Imanaga,3.12,1.0,89.1,70,.217,332,3.95,1.24,942.1,807,3562
